ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,12,11,XXX,XX,XX,  Amirpur Union Total,16282,14256,2026,0,0,0,00111
47,12,23,XXX,XX,XX,  Baliadanga Union Total,16813,15936,877,0,0,0,00111
47,12,35,XXX,XX,XX,Batiaghata Union Total,19460,3133,16314,13,0,0,00111
47,12,47,XXX,XX,XX,  Bhanderkote Union Total,15834,12014,3819,1,0,0,00111
47,12,59,XXX,XX,XX,  Gangarampur Union Total,18168,5039,13119,10,0,0,00111
47,12,71,XXX,XX,XX,  Jalma Union Total,59025,42019,16639,361,6,0,00111
47,12,83,XXX,XX,XX,  Surkhali Union Total,26109,17194,8914,1,0,0,00111
47,17,01,XXX,XX,XX,  Ward No-01 Total,976,14,962,0,0,0,00111
47,17,02,XXX,XX,XX,  Ward No-02 Total,1341,901,440,0,0,0,00111
47,17,03,XXX,XX,XX,  Ward No-03 Total,1596,385,1184,27,0,0,00111
47,17,04,XXX,XX,XX,  Ward No-04 Total,1220,1044,176,0,0,0,00111
47,17,05,XXX,XX,XX,  Ward No-05 Total,1411,386,1021,4,0,0,00111
47,17,06,XXX,XX,XX,  Ward No-06 Total,1033,514,519,0,0,0,00111
47,17,07,XXX,XX,XX,  Ward No-07 Total,1876,770,1104,2,0,0,00111
47,17,08,XXX,XX,XX,  Ward No-08 Total,2717,1624,872,221,0,0,00111
47,17,09,XXX,XX,XX,  Ward No-09 Total,2018,1137,782,99,0,0,00111
47,17,10,XXX,XX,XX,  Bajua Union Total,15753,3300,11398,1055,0,0,00111
47,17,13,XXX,XX,XX,  Banishanta Union Total,14606,4162,10022,422,0,0,00111
47,17,21,XXX,XX,XX,  Laudubi Union Total,9222,1731,6925,566,0,0,00111
47,17,42,XXX,XX,XX,  Dacope Union Total,7047,67,6970,10,0,0,00111
47,17,52,XXX,XX,XX,  Kailasganj Union Total,14516,1273,13101,142,0,0,00111
47,17,63,XXX,XX,XX,  Kamarkhola Union Total,13897,6946,6758,193,0,0,00111
47,17,69,XXX,XX,XX,  Pankhali Union Total,15570,10388,5182,0,0,0,00111
47,17,73,XXX,XX,XX,  Sutarkhali Union Total,30060,21975,8038,47,0,0,00111
47,17,84,XXX,XX,XX,  Tildanga Union Total,17006,6292,10633,81,0,0,00111
47,17,97,XXX,XX,XX,  Khulna Range Union Total,451,425,26,0,0,0,00111
47,21,01,XXX,XX,XX,  Ward No-01 Total,18900,16549,1437,913,1,0,00111
47,21,02,XXX,XX,XX,  Ward No-02 (Part) Total,8246,8039,171,36,0,0,00111
47,21,03,XXX,XX,XX,  Ward No-03 Total,21821,20218,1512,91,0,0,00111
47,21,04,XXX,XX,XX,  Ward No-04 Total,15780,15368,412,0,0,0,00111
47,21,05,XXX,XX,XX,  Ward No-05 Total,14835,11385,3436,14,0,0,00111
47,21,06,XXX,XX,XX,  Ward No-06 Total,20734,16707,4006,21,0,0,00111
47,21,10,XXX,XX,XX,  Aranghata Union Total,12126,10754,1355,17,0,0,00111
47,30,11,XXX,XX,XX,  Atlia Union Total,32236,22310,9862,64,0,0,00111
47,30,13,XXX,XX,XX,  Bhandar Para Union Total,16749,7055,9655,22,0,17,00111
47,30,20,XXX,XX,XX,  Dhamalia Union Total,22240,18006,4234,0,0,0,00111
47,30,27,XXX,XX,XX,Dumuria Union Total,29242,21894,7295,49,4,0,00111
47,30,33,XXX,XX,XX,  Gutudia Union Total,26143,11214,14907,22,0,0,00111
47,30,40,XXX,XX,XX,  Kharnia Union Total,20585,16605,3975,5,0,0,00111
47,30,47,XXX,XX,XX,  Magurkhali Union Total,13891,1515,12373,3,0,0,00111
47,30,54,XXX,XX,XX,  Maguraghona Union Total,23115,20541,2283,62,0,229,00111
47,30,61,XXX,XX,XX,  Raghunathpur Union Total,25817,15059,10730,23,5,0,00111
47,30,67,XXX,XX,XX,  Rangpur Union Total,18053,2398,15600,54,0,1,00111
47,30,74,XXX,XX,XX,  Rudaghara Union Total,23148,16893,6223,22,0,10,00111
47,30,81,XXX,XX,XX,  Sahas Union Total,18647,14985,3655,7,0,0,00111
47,30,88,XXX,XX,XX,  Sarappur Union Total,16101,11097,5004,0,0,0,00111
47,30,94,XXX,XX,XX,  Sovna Union Total,19708,9047,10655,6,0,0,00111
47,40,17,XXX,XX,XX,  Barakpur Union Total,22907,17246,5656,5,0,0,00111
47,40,57,XXX,XX,XX,  Dighalia Union Total,29518,28273,1234,4,0,7,00111
47,40,66,XXX,XX,XX,  Gazir Hat Union Total,19433,11852,7577,4,0,0,00111
47,40,85,XXX,XX,XX,  Senhati Union Total,43727,40489,2743,495,0,0,00111
47,45,07,XXX,XX,XX,  Ward No-07 Total,10645,10359,277,7,2,0,00111
47,45,08,XXX,XX,XX,  Ward No-08 Total,9308,8921,387,0,0,0,00111
