ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
47.0,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,540504,18.3,23.0,56.6,2.0,41.4,36.6,18.4,3.6,00111
47.0,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,40659,6.2,11.9,79.3,2.6,56.7,30.7,9.7,2.9,00111
47.0,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,3879,2.9,13.7,81.3,2.1,63.1,24.7,10.3,1.9,00111
47.0,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,4025,2.2,8.4,80.7,8.7,60.4,29.7,6.6,3.3,00111
47.0,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,4702,9.5,12.7,76.5,1.3,81.8,13.4,3.3,1.6,00111
47.0,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,3964,3.4,6.2,88.5,1.8,54.7,34.9,7.5,2.9,00111
47.0,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,4647,5.0,4.4,90.0,0.6,70.9,22.4,2.8,3.9,00111
47.0,12.0,71.0,XXX,XX,XX,  Jalma Union Total,13152,9.1,20.3,68.2,2.4,52.4,32.9,13.3,1.4,00111
47.0,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,6290,4.8,3.9,88.8,2.5,31.3,46.6,15.4,6.6,00111
47.0,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,36369,2.9,5.7,87.6,3.8,45.0,22.3,18.9,13.7,00111
4.0,47.0,17.0,XXX,XX,XX,Chalna Paurashava,3374,7.9,26.8,60.9,4.4,69.4,18.4,8.1,4.0,00111
47.0,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,225,1.3,5.3,88.4,4.9,49.8,20.0,19.6,10.7,00111
47.0,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,326,1.5,7.4,89.3,1.8,45.1,31.0,10.1,13.8,00111
47.0,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,352,3.1,19.0,77.3,0.6,79.8,16.8,2.8,0.6,00111
47.0,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,281,1.4,6.0,92.2,0.4,44.1,9.6,40.9,5.3,00111
47.0,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,346,17.6,48.8,33.5,0.0,81.2,15.3,2.0,1.4,00111
47.0,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,274,12.0,46.7,25.2,16.1,72.6,16.4,10.2,0.7,00111
47.0,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,444,4.5,20.7,74.3,0.5,69.1,29.3,0.2,1.4,00111
47.0,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,637,18.8,46.6,34.1,0.5,85.6,11.3,2.8,0.3,00111
47.0,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,489,2.0,20.2,61.6,16.2,71.0,18.4,3.5,7.2,00111
47.0,17.0,10.0,XXX,XX,XX,  Bajua Union Total,3556,3.1,4.0,91.5,1.4,54.6,29.1,7.3,9.0,00111
47.0,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,3371,1.9,0.9,93.8,3.4,54.8,21.5,13.5,10.2,00111
47.0,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,2035,4.5,4.5,89.2,1.8,71.2,17.0,6.8,5.1,00111
47.0,17.0,42.0,XXX,XX,XX,  Dacope Union Total,1816,2.3,4.0,92.5,1.3,82.2,11.8,3.5,2.5,00111
47.0,17.0,52.0,XXX,XX,XX,  Kailasganj Union Total,3435,1.7,4.4,73.6,20.3,54.6,27.3,6.1,12.0,00111
47.0,17.0,63.0,XXX,XX,XX,  Kamarkhola Union Total,3540,2.4,2.8,94.7,0.1,36.0,11.6,15.0,37.4,00111
47.0,17.0,69.0,XXX,XX,XX,  Pankhali Union Total,3729,2.4,6.1,89.6,1.9,37.9,40.3,16.7,5.0,00111
47.0,17.0,73.0,XXX,XX,XX,  Sutarkhali Union Total,7439,1.2,1.0,95.4,2.4,5.3,16.2,53.6,25.0,00111
47.0,17.0,84.0,XXX,XX,XX,  Tildanga Union Total,4074,4.5,6.5,87.9,1.1,57.6,27.6,8.2,6.6,00111
47.0,17.0,97.0,XXX,XX,XX,  Khulna Range Union Total,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00111
47.0,21.0,XX.0,XXX,XX,XX,Daulatpur Thana Total,25839,27.9,36.5,34.1,1.5,43.1,43.9,11.9,1.1,00111
47.0,21.0,1.0,XXX,XX,XX,  Ward No-01 Total,4471,33.8,32.7,33.1,0.4,60.3,31.8,7.3,0.6,00111
47.0,21.0,2.0,XXX,XX,XX,  Ward No-02 (Part) Total,2225,20.0,35.1,44.7,0.3,64.8,29.8,5.4,0.0,00111
47.0,21.0,3.0,XXX,XX,XX,  Ward No-03 Total,4977,26.4,36.2,36.7,0.7,53.3,33.3,12.1,1.3,00111
47.0,21.0,4.0,XXX,XX,XX,  Ward No-04 Total,3668,28.8,33.6,33.5,4.1,19.7,59.5,18.4,2.4,00111
47.0,21.0,5.0,XXX,XX,XX,  Ward No-05 Total,3325,32.5,42.8,21.1,3.6,38.0,56.1,5.8,0.2,00111
47.0,21.0,6.0,XXX,XX,XX,  Ward No-06 Total,4274,27.8,39.8,31.3,1.0,24.3,59.1,16.5,0.1,00111
47.0,21.0,10.0,XXX,XX,XX,  Aranghata Union Total,2899,21.4,35.9,42.4,0.4,45.9,35.6,15.6,2.9,00111
47.0,30.0,XX.0,XXX,XX,XX,Dumuria Upazila Total,71682,11.1,20.0,67.6,1.4,50.4,31.4,13.6,4.7,00111
47.0,30.0,11.0,XXX,XX,XX,  Atlia Union Total,7571,18.6,25.2,55.7,0.5,50.3,25.1,21.4,3.2,00111
47.0,30.0,13.0,XXX,XX,XX,  Bhandar Para Union Total,4072,7.3,15.8,75.5,1.4,71.7,19.3,6.1,2.9,00111
47.0,30.0,20.0,XXX,XX,XX,  Dhamalia Union Total,5169,10.5,33.3,56.0,0.3,53.9,37.3,6.2,2.6,00111
47.0,30.0,27.0,XXX,XX,XX,Dumuria Union Total,6597,14.7,20.9,62.7,1.8,45.9,33.3,18.9,1.9,00111
47.0,30.0,33.0,XXX,XX,XX,  Gutudia Union Total,5952,8.5,15.5,71.6,4.4,58.3,30.7,8.2,2.8,00111
47.0,30.0,40.0,XXX,XX,XX,  Kharnia Union Total,4934,8.7,20.4,67.6,3.4,45.8,33.4,12.7,8.1,00111
47.0,30.0,47.0,XXX,XX,XX,  Magurkhali Union Total,3201,10.2,3.8,85.6,0.3,65.8,15.3,10.0,8.9,00111
47.0,30.0,54.0,XXX,XX,XX,  Maguraghona Union Total,5362,12.6,32.1,54.6,0.7,14.6,40.0,37.6,7.8,00111
47.0,30.0,61.0,XXX,XX,XX,  Raghunathpur Union Total,5925,13.9,27.8,57.2,1.1,52.3,31.5,11.3,4.9,00111
47.0,30.0,67.0,XXX,XX,XX,  Rangpur Union Total,4101,6.7,15.1,75.6,2.7,61.3,23.8,8.3,6.6,00111
47.0,30.0,74.0,XXX,XX,XX,  Rudaghara Union Total,5383,11.0,28.9,59.9,0.3,43.4,43.5,12.1,1.0,00111
47.0,30.0,81.0,XXX,XX,XX,  Sahas Union Total,4496,8.3,8.1,83.4,0.3,55.4,37.3,3.2,4.1,00111
47.0,30.0,88.0,XXX,XX,XX,  Sarappur Union Total,4118,6.8,7.5,85.2,0.5,64.2,19.8,10.0,6.0,00111
47.0,30.0,94.0,XXX,XX,XX,  Sovna Union Total,4801,9.2,9.0,80.9,1.0,38.8,39.2,13.2,8.9,00111
47.0,40.0,XX.0,XXX,XX,XX,Dighalia Upazila Total,26601,11.6,29.9,57.7,0.8,58.4,34.3,6.3,1.0,00111
47.0,40.0,17.0,XXX,XX,XX,  Barakpur Union Total,4804,7.5,15.2,76.9,0.5,65.0,28.3,5.3,1.4,00111
47.0,40.0,57.0,XXX,XX,XX,  Dighalia Union Total,6613,14.6,34.8,48.8,1.8,60.3,32.5,7.1,0.2,00111
47.0,40.0,66.0,XXX,XX,XX,  Gazir Hat Union Total,4369,3.4,19.7,76.5,0.4,68.5,26.1,3.9,1.4,00111
47.0,40.0,85.0,XXX,XX,XX,  Senhati Union Total,10815,15.0,37.5,47.0,0.6,50.3,41.3,7.2,1.2,00111
