ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Source of Drinking Water (%)-Tap,Source of Drinking Water (%)-Tube-Well,Source of Drinking Water (%)-Other,Electricity Connection (%),Housing Tenancy (%)-Owned,Housing Tenancy (%)-Rented,Housing Tenancy (%)-Rent free,check_var
47.0,XX.0,XX.0,XXX,XX,XX,Khulna Zila Total,540504,2.0,83.7,14.3,64.1,72.6,22.9,4.5,00111
47.0,12.0,XX.0,XXX,XX,XX,Batiaghata Upazila Total,40659,0.1,96.4,3.5,39.9,85.5,8.5,6.0,00111
47.0,12.0,11.0,XXX,XX,XX,  Amirpur Union Total,3879,0.1,96.9,3.0,44.0,94.1,0.5,5.3,00111
47.0,12.0,23.0,XXX,XX,XX,  Baliadanga Union Total,4025,0.0,98.4,1.6,27.7,96.1,0.4,3.5,00111
47.0,12.0,35.0,XXX,XX,XX,Batiaghata Union Total,4702,0.0,100.0,0.0,44.4,89.6,6.6,3.8,00111
47.0,12.0,47.0,XXX,XX,XX,  Bhanderkote Union Total,3964,0.0,100.0,0.0,16.5,99.3,0.1,0.6,00111
47.0,12.0,59.0,XXX,XX,XX,  Gangarampur Union Total,4647,0.0,95.3,4.7,25.0,96.5,0.3,3.1,00111
47.0,12.0,71.0,XXX,XX,XX,  Jalma Union Total,13152,0.2,98.6,1.2,58.2,65.6,23.0,11.3,00111
47.0,12.0,83.0,XXX,XX,XX,  Surkhali Union Total,6290,0.0,86.1,13.8,29.0,95.3,0.6,4.0,00111
47.0,17.0,XX.0,XXX,XX,XX,Dacope Upazila Total,36369,0.7,30.6,68.7,28.2,93.3,2.2,4.6,00111
9.7,47.0,17.0,XXX,XX,XX,Chalna Paurashava,3374,0.1,41.5,58.4,62.2,73.0,17.3,9.7,00111
47.0,17.0,1.0,XXX,XX,XX,  Ward No-01 Total,225,0.0,66.7,33.3,52.9,90.7,0.4,8.9,00111
47.0,17.0,2.0,XXX,XX,XX,  Ward No-02 Total,326,0.0,99.4,0.6,13.8,85.6,0.0,14.4,00111
47.0,17.0,3.0,XXX,XX,XX,  Ward No-03 Total,352,0.0,50.3,49.7,64.5,82.1,10.5,7.4,00111
47.0,17.0,4.0,XXX,XX,XX,  Ward No-04 Total,281,0.4,23.8,75.8,45.2,62.6,8.9,28.5,00111
47.0,17.0,5.0,XXX,XX,XX,  Ward No-05 Total,346,0.0,25.7,74.3,90.5,63.0,32.7,4.3,00111
47.0,17.0,6.0,XXX,XX,XX,  Ward No-06 Total,274,0.4,49.6,50.0,73.7,50.0,43.8,6.2,00111
47.0,17.0,7.0,XXX,XX,XX,  Ward No-07 Total,444,0.0,59.2,40.8,78.8,87.2,9.9,2.9,00111
47.0,17.0,8.0,XXX,XX,XX,  Ward No-08 Total,637,0.2,14.6,85.2,85.4,50.4,35.2,14.4,00111
47.0,17.0,9.0,XXX,XX,XX,  Ward No-09 Total,489,0.2,20.4,79.3,35.4,92.4,4.3,3.3,00111
47.0,17.0,10.0,XXX,XX,XX,  Bajua Union Total,3556,0.9,23.8,75.3,35.4,88.0,1.1,10.9,00111
47.0,17.0,13.0,XXX,XX,XX,  Banishanta Union Total,3371,0.4,9.1,90.5,19.7,90.1,1.4,8.5,00111
47.0,17.0,21.0,XXX,XX,XX,  Laudubi Union Total,2035,0.8,21.4,77.7,31.0,93.9,2.7,3.4,00111
