ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,General Households,Percentage of Households comprising-1 person,Percentage of Households comprising-2 persons,Percentage of Households comprising-3 persons,Percentage of Households comprising-4 persons,Percentage of Households comprising-5 persons,Percentage of Households comprising-6 persons,Percentage of Households comprising-7 persons,Percentage of Households comprising-8+ persons,Average size of Household,check_var
47,XX.0,XX.0,XXX,XX,03, Khulna Zila,19091,3.8,10.1,21.7,26.6,18.3,9.6,4.5,5.3,4.2,00110
47,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,1902,4.0,11.5,25.8,27.5,15.8,8.4,3.1,3.9,4.0,00110
47,12.0,35.0,XXX,XX,03,  Batiaghata Union,1902,4.0,11.5,25.8,27.5,15.8,8.4,3.1,3.9,4.0,00110
47,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,4472,3.1,9.4,21.5,28.1,18.8,8.9,4.8,5.4,4.3,00110
47,30.0,27.0,XXX,XX,03,  Dumuria Union,4472,3.1,9.4,21.5,28.1,18.8,8.9,4.8,5.4,4.3,00110
47,53.0,XX.0,XXX,XX,03,  Koyra Upazila,2671,3.6,11.3,21.6,24.0,17.3,10.2,5.6,6.5,4.3,00110
47,53.0,55.0,XXX,XX,03,  Koyra Union,2671,3.6,11.3,21.6,24.0,17.3,10.2,5.6,6.5,4.3,00110
47,69.0,XX.0,XXX,XX,03,  Phultala Upazila,7370,4.8,9.8,22.0,27.1,17.9,9.5,3.7,5.2,4.2,00110
47,69.0,38.0,XXX,XX,03,  Damodar Union,6625,4.6,9.8,21.9,27.1,17.7,9.7,3.8,5.3,4.2,00110
47,69.0,76.0,XXX,XX,03,  Phultala Union,745,6.6,9.7,23.2,26.6,19.6,7.8,2.4,4.2,4.0,00110
47,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,2676,2.6,9.8,18.6,25.0,21.4,11.3,6.1,5.3,4.4,00110
47,94.0,27.0,XXX,XX,03,  Barasat Union,1130,1.8,9.6,19.4,25.7,21.1,11.2,5.8,5.7,4.4,00110
47,94.0,81.0,XXX,XX,03,  Terokhada Union,1546,3.2,9.9,18.0,24.5,21.6,11.4,6.3,5.1,4.4,00110
18,XX.0,XX.0,XXX,XX,03, Chuadanga Zila,31395,2.6,11.2,23.0,29.8,18.2,8.4,3.6,3.3,4.1,00110
18,7.0,XX.0,XXX,XX,03,  Alamdanga Upazila,11267,2.2,11.5,23.2,30.3,17.9,8.2,3.5,3.3,4.1,00110
18,7.0,15.0,XXX,XX,03,  Baradi Union,276,1.1,14.5,23.9,28.3,18.8,7.2,4.0,2.2,4.0,00110
