ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,XX.0,XX.0,XXX,XX,03, Khulna Zila,82655,8.8,10.9,11.6,8.5,9.0,9.6,26.9,6.8,2.7,5.0,00110
47,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,7675,7.3,8.2,9.3,7.2,8.3,9.4,31.0,8.7,3.3,7.2,00110
47,12.0,35.0,XXX,XX,03,  Batiaghata Union,7675,7.3,8.2,9.3,7.2,8.3,9.4,31.0,8.7,3.3,7.2,00110
47,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,19828,9.1,10.4,11.6,8.8,9.5,10.0,26.9,6.4,2.4,4.9,00110
47,30.0,27.0,XXX,XX,03,  Dumuria Union,19828,9.1,10.4,11.6,8.8,9.5,10.0,26.9,6.4,2.4,4.9,00110
47,53.0,XX.0,XXX,XX,03,  Koyra Upazila,11594,8.6,11.9,12.9,9.7,9.2,8.9,25.2,6.3,2.4,4.8,00110
47,53.0,55.0,XXX,XX,03,  Koyra Union,11594,8.6,11.9,12.9,9.7,9.2,8.9,25.2,6.3,2.4,4.8,00110
47,69.0,XX.0,XXX,XX,03,  Phultala Upazila,31581,8.4,10.3,11.3,8.6,9.4,10.1,27.7,6.9,2.7,4.7,00110
47,69.0,38.0,XXX,XX,03,  Damodar Union,28451,8.3,10.2,11.1,8.5,9.5,10.1,27.6,7.0,2.7,4.9,00110
47,69.0,76.0,XXX,XX,03,  Phultala Union,3130,8.8,11.1,12.7,9.0,8.5,10.1,28.2,6.2,2.4,2.9,00110
47,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,11977,10.8,14.3,12.7,7.8,7.3,8.6,24.1,6.6,2.9,5.0,00110
47,94.0,27.0,XXX,XX,03,  Barasat Union,5038,10.4,13.0,12.6,8.0,7.3,8.0,23.9,7.4,3.4,6.1,00110
47,94.0,81.0,XXX,XX,03,  Terokhada Union,6939,11.0,15.2,12.8,7.6,7.3,9.0,24.3,6.0,2.6,4.2,00110
18,XX.0,XX.0,XXX,XX,03, Chuadanga Zila,129409,8.7,10.6,11.0,8.6,8.6,9.9,28.2,6.8,2.8,4.8,00110
18,7.0,XX.0,XXX,XX,03,  Alamdanga Upazila,46324,8.2,10.5,10.5,8.0,8.1,9.7,28.9,7.4,3.1,5.5,00110
18,7.0,15.0,XXX,XX,03,  Baradi Union,1106,8.4,9.0,9.9,8.0,9.0,9.6,29.0,7.1,2.7,7.4,00110
18,7.0,23.0,XXX,XX,03,  Bhangabaria Union,3879,8.3,11.0,10.1,7.6,8.8,10.2,30.0,7.1,2.5,4.4,00110
18,7.0,27.0,XXX,XX,03,  Chithla Union,3722,7.2,10.7,10.5,8.1,7.7,10.7,28.3,7.7,3.3,6.0,00110
18,7.0,47.0,XXX,XX,03,  Hardi Union,12445,8.3,11.0,10.8,9.0,8.2,9.3,28.3,6.9,3.1,4.9,00110
18,7.0,55.0,XXX,XX,03,  Jamjami Union,5764,8.5,10.7,10.8,6.3,7.5,9.5,29.4,7.9,3.2,6.1,00110
18,7.0,63.0,XXX,XX,03,  Jehala Union,10455,8.4,10.3,10.2,7.9,8.4,9.4,29.6,7.4,3.0,5.4,00110
18,7.0,79.0,XXX,XX,03,  Khaskara Union,902,8.8,9.8,11.3,7.4,6.0,8.9,28.7,7.1,4.4,7.6,00110
18,7.0,87.0,XXX,XX,03,  Kumari Union,8051,8.2,9.7,10.5,8.2,8.3,10.2,28.5,7.6,3.0,5.8,00110
18,23.0,XX.0,XXX,XX,03,  Chuadanga Sadar Upazila,43079,9.0,10.4,11.4,8.8,8.7,10.0,28.1,6.4,2.7,4.5,00110
18,23.0,11.0,XXX,XX,03,  Alokdia Union,26296,9.2,10.2,11.7,9.2,9.0,10.0,27.8,6.2,2.6,4.1,00110
18,23.0,47.0,XXX,XX,03,  Kutubpur Union,1952,8.9,13.4,10.0,5.7,8.8,8.2,28.4,6.6,3.7,6.2,00110
18,23.0,59.0,XXX,XX,03,  Mominpur Union,6016,8.7,10.5,10.1,8.7,8.0,9.6,29.6,6.7,2.7,5.4,00110
18,23.0,71.0,XXX,XX,03,  Shankar Chandra Union,5192,8.8,9.5,11.6,8.1,9.7,10.7,27.5,6.9,2.7,4.5,00110
18,23.0,83.0,XXX,XX,03,  Titudaha Union,3623,8.5,11.2,12.3,8.4,6.5,10.4,28.3,6.9,2.8,4.7,00110
18,31.0,XX.0,XXX,XX,03,  Damurhuda Upazila,27372,8.9,10.9,10.8,9.2,9.6,10.4,27.1,6.4,2.4,4.2,00110
18,31.0,11.0,XXX,XX,03,  Damurhuda Union,14331,8.7,10.6,10.5,9.8,9.8,10.3,27.0,6.9,2.3,4.2,00110
18,31.0,35.0,XXX,XX,03,  Howli Union,13041,9.2,11.3,11.0,8.6,9.4,10.5,27.2,5.8,2.6,4.2,00110
18,55.0,XX.0,XXX,XX,03,  Jiban Nagar Upazila,12634,8.7,10.8,11.4,8.9,8.1,9.8,27.8,6.7,2.7,5.1,00110
18,55.0,38.0,XXX,XX,03,  Banka Union,5575,9.1,11.0,11.4,8.6,8.3,10.3,27.1,6.7,2.9,4.6,00110
18,55.0,76.0,XXX,XX,03,  Uthali Union,7059,8.3,10.7,11.4,9.1,8.0,9.5,28.3,6.7,2.6,5.5,00110
65,XX.0,XX.0,XXX,XX,03, Narail Zila,25085,9.6,13.5,12.0,7.6,7.6,8.4,24.2,7.6,3.5,6.1,00110
65,28.0,XX.0,XXX,XX,03,  Kalia Upazila,16066,10.9,15.5,13.1,7.8,7.6,8.1,22.4,6.6,3.0,5.0,00110
65,28.0,14.0,XXX,XX,03,  Boranal Eliasabad Union,2252,12.3,15.2,12.2,6.3,8.3,8.7,21.5,6.7,3.7,5.2,00110
65,28.0,71.0,XXX,XX,03,  Mauli Union,555,12.4,14.2,15.3,8.1,7.4,7.9,20.0,5.4,3.2,5.9,00110
65,28.0,87.0,XXX,XX,03,  Peruli Union,7002,9.9,14.3,12.7,8.7,7.3,7.7,23.8,7.2,3.1,5.3,00110
65,28.0,95.0,XXX,XX,03,  Salamabad Union,6257,11.4,17.0,13.7,7.4,7.8,8.3,21.4,6.0,2.5,4.4,00110
65,76.0,XX.0,XXX,XX,03,  Narail Sadar Upazila,9019,7.3,9.9,10.0,7.1,7.6,8.9,27.4,9.3,4.4,8.2,00110
65,76.0,61.0,XXX,XX,03,  Mulia Union,9019,7.3,9.9,10.0,7.1,7.6,8.9,27.4,9.3,4.4,8.2,00110
44,XX.0,XX.0,XXX,XX,03, Jhenaidah Zila,8971,9.7,11.1,11.4,7.5,8.7,9.4,26.8,6.7,3.1,5.5,00110
44,14.0,XX.0,XXX,XX,03,  Harinakundu Upazila,6264,9.8,11.3,11.2,7.6,8.5,10.0,26.5,6.6,2.9,5.6,00110
44,14.0,31.0,XXX,XX,03,  Daulatpur Union,6264,9.8,11.3,11.2,7.6,8.5,10.0,26.5,6.6,2.9,5.6,00110
44,19.0,XX.0,XXX,XX,03,  Jhenaidah Sadar Upazila,2707,9.6,10.9,11.9,7.3,9.2,8.0,27.4,6.9,3.6,5.2,00110
44,19.0,73.0,XXX,XX,03,  Paglakanai Union,2707,9.6,10.9,11.9,7.3,9.2,8.0,27.4,6.9,3.6,5.2,00110
41,XX.0,XX.0,XXX,XX,03, Jessore Zila,56982,8.4,10.3,10.8,9.4,9.4,10.1,27.9,6.6,2.6,4.5,00110
41,23.0,XX.0,XXX,XX,03,  Jhikargachha Upazila,8665,8.5,10.5,10.1,9.0,8.7,10.0,28.5,6.7,2.9,5.1,00110
41,23.0,25.0,XXX,XX,03,  Bankra Union,2329,7.6,11.9,9.8,9.2,8.2,11.1,29.6,6.1,2.6,4.0,00110
41,23.0,35.0,XXX,XX,03,  Gadkhali Union,3350,8.7,10.6,10.2,9.0,8.6,9.0,27.8,7.7,3.3,5.2,00110
41,23.0,47.0,XXX,XX,03,  Jhikargachha Union,1567,9.6,9.7,9.8,8.2,10.1,9.1,28.6,6.1,3.5,5.2,00110
41,23.0,71.0,XXX,XX,03,  Panisara Union,1419,8.5,8.9,10.6,9.4,8.2,11.6,28.2,6.1,2.0,6.5,00110
41,38.0,XX.0,XXX,XX,03,  Keshabpur Upazila,7551,8.9,11.6,10.9,7.8,8.7,9.1,27.4,6.6,2.9,6.1,00110
41,38.0,28.0,XXX,XX,03,  Keshabpur Union,5839,9.0,11.8,10.7,8.0,8.4,9.3,27.2,6.5,2.8,6.3,00110
41,38.0,38.0,XXX,XX,03,  Majidpur Union,1712,8.5,10.9,11.6,7.1,9.7,8.5,28.0,7.0,3.2,5.5,00110
41,47.0,XX.0,XXX,XX,03,  Jessore Sadar Upazila,35682,8.4,10.0,11.0,9.7,9.7,10.3,27.8,6.5,2.5,4.1,00110
41,47.0,23.0,XXX,XX,03,  Chanchra Union,9791,9.0,9.8,10.8,9.1,9.8,10.6,26.9,6.7,2.7,4.5,00110
41,47.0,41.0,XXX,XX,03,  Fathehpur Union,9345,9.3,10.8,11.8,8.6,10.1,11.3,27.6,5.3,1.9,3.3,00110
41,90.0,XX.0,XXX,XX,03,  Sharsha Upazila,5084,8.2,9.7,10.8,9.9,9.6,10.4,28.3,6.6,2.2,4.3,00110
41,90.0,86.0,XXX,XX,03,  Sharsha Union,5084,8.2,9.7,10.8,9.9,9.6,10.4,28.3,6.6,2.2,4.3,00110
01,XX.0,XX.0,XXX,XX,03, Bagerhat Zila,84680,9.5,11.7,11.9,8.8,8.2,8.9,25.7,6.9,3.0,5.4,00110
01,14.0,XX.0,XXX,XX,03,  Chitalmari Upazila,1272,10.1,12.6,10.9,7.3,7.4,9.2,30.2,5.7,2.8,3.9,00110
01,14.0,31.0,XXX,XX,03,  Chitalmari Union,1272,10.1,12.6,10.9,7.3,7.4,9.2,30.2,5.7,2.8,3.9,00110
01,34.0,XX.0,XXX,XX,03,  Fakirhat Upazila,26981,8.9,10.4,10.8,8.6,8.7,9.6,27.8,7.2,2.9,5.1,00110
01,34.0,10.0,XXX,XX,03,  Bahirdia Mansa Union,10299,9.1,10.2,10.5,8.1,8.5,9.9,27.4,7.6,3.2,5.4,00110
