ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
47.0,XX.0,XX.0,XXX,XX,03, Khulna Zila,33126,36.8,62.5,0.6,0.1,33204,22.4,67.4,8.7,1.5,00110
47.0,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,3211,32.7,66.2,1.1,0.1,3278,20.4,67.5,11.0,1.0,00110
47.0,12.0,35.0,XXX,XX,03,  Batiaghata Union,3211,32.7,66.2,1.1,0.1,3278,20.4,67.5,11.0,1.0,00110
47.0,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,8024,36.9,62.5,0.4,0.1,7934,21.7,68.1,8.9,1.2,00110
47.0,30.0,27.0,XXX,XX,03,  Dumuria Union,8024,36.9,62.5,0.4,0.1,7934,21.7,68.1,8.9,1.2,00110
47.0,53.0,XX.0,XXX,XX,03,  Koyra Upazila,4528,37.2,62.4,0.3,0.1,4690,25.2,65.1,7.6,2.1,00110
47.0,53.0,55.0,XXX,XX,03,  Koyra Union,4528,37.2,62.4,0.3,0.1,4690,25.2,65.1,7.6,2.1,00110
47.0,69.0,XX.0,XXX,XX,03,  Phultala Upazila,12863,37.6,61.4,0.7,0.2,12821,21.9,67.7,8.5,1.8,00110
47.0,69.0,38.0,XXX,XX,03,  Damodar Union,11623,37.6,61.4,0.7,0.3,11555,21.5,68.0,8.6,1.9,00110
47.0,69.0,76.0,XXX,XX,03,  Phultala Union,1240,38.1,61.3,0.6,0.1,1266,25.4,65.2,8.1,1.3,00110
47.0,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,4500,36.4,62.8,0.7,0.1,4481,23.4,67.4,8.5,0.6,00110
47.0,94.0,27.0,XXX,XX,03,  Barasat Union,1922,35.5,63.2,1.1,0.1,1941,22.8,67.7,8.3,1.1,00110
47.0,94.0,81.0,XXX,XX,03,  Terokhada Union,2578,37.1,62.4,0.4,0.0,2540,23.9,67.1,8.7,0.3,00110
