ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
47.0,XX.0,XX.0,XXX,XX,03, Khulna Zila,42073,29701,22324,13662,19749,16039,58.6,62.0,55.2,00110
47.0,12.0,XX.0,XXX,XX,03,  Batiaghata Upazila,4513,2351,2398,997,2115,1354,65.7,70.6,61.0,00110
47.0,12.0,35.0,XXX,XX,03,  Batiaghata Union,4513,2351,2398,997,2115,1354,65.7,70.6,61.0,00110
47.0,30.0,XX.0,XXX,XX,03,  Dumuria Upazila,9265,7942,4970,3722,4295,4220,53.8,57.2,50.4,00110
47.0,30.0,27.0,XXX,XX,03,  Dumuria Union,9265,7942,4970,3722,4295,4220,53.8,57.2,50.4,00110
47.0,53.0,XX.0,XXX,XX,03,  Koyra Upazila,5849,4213,3046,1928,2803,2285,58.1,61.2,55.1,00110
47.0,53.0,55.0,XXX,XX,03,  Koyra Union,5849,4213,3046,1928,2803,2285,58.1,61.2,55.1,00110
47.0,69.0,XX.0,XXX,XX,03,  Phultala Upazila,17253,10402,9237,4647,8016,5755,62.4,66.5,58.2,00110
47.0,69.0,38.0,XXX,XX,03,  Damodar Union,15783,9130,8476,4030,7307,5100,63.4,67.8,58.9,00110
47.0,69.0,76.0,XXX,XX,03,  Phultala Union,1470,1272,761,617,709,655,53.6,55.2,52.0,00110
47.0,94.0,XX.0,XXX,XX,03,  Terokhada Upazila,5193,4793,2673,2368,2520,2425,52.0,53.0,51.0,00110
47.0,94.0,27.0,XXX,XX,03,  Barasat Union,2320,1916,1178,937,1142,979,54.8,55.7,53.8,00110
47.0,94.0,81.0,XXX,XX,03,  Terokhada Union,2873,2877,1495,1431,1378,1446,50.0,51.1,48.8,00110
18.0,XX.0,XX.0,XXX,XX,03, Chuadanga Zila,54054,58645,27785,28425,26269,30220,48.0,49.4,46.5,00110
18.0,7.0,XX.0,XXX,XX,03,  Alamdanga Upazila,18831,21702,9809,10420,9022,11282,46.5,48.5,44.4,00110
18.0,7.0,15.0,XXX,XX,03,  Baradi Union,595,372,314,176,281,196,61.5,64.1,58.9,00110
18.0,7.0,23.0,XXX,XX,03,  Bhangabaria Union,1487,1910,793,941,694,969,43.8,45.7,41.7,00110
18.0,7.0,27.0,XXX,XX,03,  Chithla Union,1771,1516,916,716,855,800,53.9,56.1,51.7,00110
18.0,7.0,47.0,XXX,XX,03,  Hardi Union,4774,6099,2455,2999,2319,3100,43.9,45.0,42.8,00110
18.0,7.0,55.0,XXX,XX,03,  Jamjami Union,2180,2851,1108,1386,1072,1465,43.3,44.4,42.3,00110
18.0,7.0,63.0,XXX,XX,03,  Jehala Union,4781,4382,2539,2042,2242,2340,52.2,55.4,48.9,00110
18.0,7.0,79.0,XXX,XX,03,  Khaskara Union,268,501,117,233,151,268,34.9,33.4,36.0,00110
18.0,7.0,87.0,XXX,XX,03,  Kumari Union,2975,4071,1567,1927,1408,2144,42.2,44.8,39.6,00110
18.0,23.0,XX.0,XXX,XX,03,  Chuadanga Sadar Upazila,18205,19246,9255,9336,8950,9910,48.6,49.8,47.5,00110
18.0,23.0,11.0,XXX,XX,03,  Alokdia Union,11399,11454,5780,5585,5619,5869,49.9,50.9,48.9,00110
18.0,23.0,47.0,XXX,XX,03,  Kutubpur Union,552,1137,274,561,278,576,32.7,32.8,32.6,00110
18.0,23.0,59.0,XXX,XX,03,  Mominpur Union,2323,2920,1178,1383,1145,1537,44.3,46.0,42.7,00110
18.0,23.0,71.0,XXX,XX,03,  Shankar Chandra Union,2516,2002,1292,965,1224,1037,55.7,57.2,54.1,00110
18.0,23.0,83.0,XXX,XX,03,  Titudaha Union,1415,1733,731,842,684,891,44.9,46.5,43.4,00110
18.0,31.0,XX.0,XXX,XX,03,  Damurhuda Upazila,11737,12032,5983,5915,5754,6117,49.4,50.3,48.5,00110
18.0,31.0,11.0,XXX,XX,03,  Damurhuda Union,6710,5792,3463,2842,3247,2950,53.7,54.9,52.4,00110
18.0,31.0,35.0,XXX,XX,03,  Howli Union,5027,6240,2520,3073,2507,3167,44.6,45.1,44.2,00110
18.0,55.0,XX.0,XXX,XX,03,  Jiban Nagar Upazila,5281,5665,2738,2754,2543,2911,48.2,49.9,46.6,00110
18.0,55.0,38.0,XXX,XX,03,  Banka Union,2651,2157,1404,1029,1247,1128,55.1,57.7,52.5,00110
18.0,55.0,76.0,XXX,XX,03,  Uthali Union,2630,3508,1334,1725,1296,1783,42.8,43.6,42.1,00110
65.0,XX.0,XX.0,XXX,XX,03, Narail Zila,12050,9381,6250,4358,5800,5023,56.2,58.9,53.6,00110
65.0,28.0,XX.0,XXX,XX,03,  Kalia Upazila,6258,7140,3092,3532,3166,3608,46.7,46.7,46.7,00110
65.0,28.0,14.0,XXX,XX,03,  Boranal Eliasabad Union,781,1072,417,530,364,542,42.1,44.0,40.2,00110
65.0,28.0,71.0,XXX,XX,03,  Mauli Union,166,293,88,142,78,151,36.2,38.3,34.1,00110
65.0,28.0,87.0,XXX,XX,03,  Peruli Union,3004,2932,1453,1433,1551,1499,50.6,50.3,50.9,00110
65.0,28.0,95.0,XXX,XX,03,  Salamabad Union,2307,2843,1134,1427,1173,1416,44.8,44.3,45.3,00110
65.0,76.0,XX.0,XXX,XX,03,  Narail Sadar Upazila,5792,2241,3158,826,2634,1415,72.1,79.3,65.1,00110
65.0,76.0,61.0,XXX,XX,03,  Mulia Union,5792,2241,3158,826,2634,1415,72.1,79.3,65.1,00110
44.0,XX.0,XX.0,XXX,XX,03, Jhenaidah Zila,3074,4620,1529,2268,1545,2352,40.0,40.3,39.6,00110
44.0,14.0,XX.0,XXX,XX,03,  Harinakundu Upazila,2387,2975,1184,1463,1203,1512,44.5,44.7,44.3,00110
44.0,14.0,31.0,XXX,XX,03,  Daulatpur Union,2387,2975,1184,1463,1203,1512,44.5,44.7,44.3,00110
44.0,19.0,XX.0,XXX,XX,03,  Jhenaidah Sadar Upazila,687,1645,345,805,342,840,29.5,30.0,28.9,00110
44.0,19.0,73.0,XXX,XX,03,  Paglakanai Union,687,1645,345,805,342,840,29.5,30.0,28.9,00110
41.0,XX.0,XX.0,XXX,XX,03, Jessore Zila,32232,17607,16950,8175,15282,9432,64.7,67.5,61.8,00110
41.0,23.0,XX.0,XXX,XX,03,  Jhikargachha Upazila,4336,3168,2246,1479,2090,1689,57.8,60.3,55.3,00110
41.0,23.0,25.0,XXX,XX,03,  Bankra Union,1374,646,727,277,647,369,68.0,72.4,63.7,00110
41.0,23.0,35.0,XXX,XX,03,  Gadkhali Union,1628,1264,840,572,788,692,56.3,59.5,53.2,00110
41.0,23.0,47.0,XXX,XX,03,  Jhikargachha Union,799,542,423,252,376,290,59.6,62.7,56.5,00110
41.0,23.0,71.0,XXX,XX,03,  Panisara Union,535,716,256,378,279,338,42.8,40.4,45.2,00110
41.0,38.0,XX.0,XXX,XX,03,  Keshabpur Upazila,3176,3393,1728,1552,1448,1841,48.3,52.7,44.0,00110
41.0,38.0,28.0,XXX,XX,03,  Keshabpur Union,2539,2534,1378,1169,1161,1365,50.0,54.1,46.0,00110
41.0,38.0,38.0,XXX,XX,03,  Majidpur Union,637,859,350,383,287,476,42.6,47.7,37.6,00110
41.0,47.0,XX.0,XXX,XX,03,  Jessore Sadar Upazila,21927,9377,11465,4380,10462,4997,70.0,72.4,67.7,00110
41.0,47.0,23.0,XXX,XX,03,  Chanchra Union,4862,3661,2532,1772,2330,1889,57.0,58.8,55.2,00110
