ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,12,35,XXX,XX,03,  Batiaghata Union,11,11,162,188,278,272,59,71,244,242,41,26,00110
47,30,27,XXX,XX,03,  Dumuria Union,76,60,524,531,962,844,196,182,797,753,167,77,00110
47,53,55,XXX,XX,03,  Koyra Union,39,33,338,330,582,530,119,116,533,543,128,57,00110
47,69,38,XXX,XX,03,  Damodar Union,121,100,716,690,1249,1236,282,248,1201,979,192,101,00110
47,69,76,XXX,XX,03,  Phultala Union,15,15,70,74,169,143,45,31,103,133,45,19,00110
47,94,27,XXX,XX,03,  Barasat Union,28,16,193,149,281,244,60,82,209,179,46,51,00110
47,94,81,XXX,XX,03,  Terokhada Union,20,12,253,272,410,348,180,149,261,258,101,37,00110
18,07,15,XXX,XX,03,  Baradi Union,4,6,24,27,39,39,15,13,32,40,10,1,00110
18,07,23,XXX,XX,03,  Bhangabaria Union,16,8,91,84,190,185,50,36,116,132,30,13,00110
18,07,27,XXX,XX,03,  Chithla Union,1,3,92,98,166,159,55,48,109,138,24,5,00110
18,07,47,XXX,XX,03,  Hardi Union,40,36,294,295,662,560,110,118,459,458,74,34,00110
18,07,55,XXX,XX,03,  Jamjami Union,6,7,173,146,270,254,66,73,209,206,40,12,00110
18,07,63,XXX,XX,03,  Jehala Union,22,22,283,241,473,439,128,100,342,355,79,26,00110
18,07,79,XXX,XX,03,  Khaskara Union,2,7,32,15,30,39,7,15,26,40,8,6,00110
18,07,87,XXX,XX,03,  Kumari Union,10,8,219,199,291,324,102,88,297,276,59,17,00110
18,23,11,XXX,XX,03,  Alokdia Union,79,83,722,687,1156,1211,270,252,911,1048,308,122,00110
18,23,47,XXX,XX,03,  Kutubpur Union,1,0,62,58,115,99,23,23,67,56,28,10,00110
18,23,59,XXX,XX,03,  Mominpur Union,15,10,164,147,280,270,77,41,182,200,61,10,00110
18,23,71,XXX,XX,03,  Shankar Chandra Union,3,6,161,155,211,187,64,57,199,215,34,25,00110
18,23,83,XXX,XX,03,  Titudaha Union,2,3,123,97,152,158,53,55,141,141,48,15,00110
18,31,11,XXX,XX,03,  Damurhuda Union,50,64,361,366,664,652,149,158,463,474,120,54,00110
18,31,35,XXX,XX,03,  Howli Union,23,24,412,396,542,585,206,175,438,477,151,68,00110
18,55,38,XXX,XX,03,  Banka Union,8,7,151,193,229,230,78,79,234,201,52,27,00110
18,55,76,XXX,XX,03,  Uthali Union,13,13,219,177,256,257,140,115,238,253,92,44,00110
65,28,14,XXX,XX,03,  Boranal Eliasabad Union,4,4,99,84,157,125,50,39,99,58,15,15,00110
65,28,71,XXX,XX,03,  Mauli Union,0,0,25,16,27,21,24,21,25,24,3,6,00110
65,28,87,XXX,XX,03,  Peruli Union,25,16,251,204,399,418,121,93,234,300,101,32,00110
65,28,95,XXX,XX,03,  Salamabad Union,28,20,247,228,411,395,164,136,239,231,88,67,00110
65,76,61,XXX,XX,03,  Mulia Union,28,17,208,215,399,405,75,66,341,287,38,21,00110
44,14,31,XXX,XX,03,  Daulatpur Union,23,22,192,165,316,299,68,71,219,239,49,15,00110
44,19,73,XXX,XX,03,  Paglakanai Union,11,10,85,71,109,118,46,50,86,94,39,14,00110
41,23,25,XXX,XX,03,  Bankra Union,15,18,61,69,108,85,42,37,82,76,9,3,00110
41,23,35,XXX,XX,03,  Gadkhali Union,6,1,99,100,129,138,59,57,101,117,20,15,00110
41,23,47,XXX,XX,03,  Jhikargachha Union,5,10,52,54,71,57,7,9,48,66,10,4,00110
41,23,71,XXX,XX,03,  Panisara Union,2,6,48,31,68,38,11,14,41,50,15,5,00110
41,38,28,XXX,XX,03,  Keshabpur Union,16,16,162,137,323,319,28,34,232,191,40,22,00110
41,38,38,XXX,XX,03,  Majidpur Union,13,5,38,46,99,87,9,13,58,80,7,1,00110
41,47,23,XXX,XX,03,  Chanchra Union,22,32,296,245,416,389,117,101,315,354,89,51,00110
41,47,41,XXX,XX,03,  Fathehpur Union,54,55,237,236,425,414,97,77,365,367,119,51,00110
41,90,86,XXX,XX,03,  Sharsha Union,33,28,129,107,220,211,46,43,191,175,29,19,00110
1,14,31,XXX,XX,03,  Chitalmari Union,12,15,42,24,72,75,7,5,44,45,9,3,00110
1,34,10,XXX,XX,03,  Bahirdia Mansa Union,23,21,288,260,502,456,118,86,302,386,69,31,00110
1,34,31,XXX,XX,03,  Fakirhat Union,25,11,199,192,347,311,123,64,226,225,80,37,00110
1,34,52,XXX,XX,03,  Mulghar Union,23,26,109,123,304,207,43,34,206,185,40,23,00110
1,34,63,XXX,XX,03,  Naldha Maubhog Union,17,5,112,108,207,179,35,30,187,152,33,22,00110
1,38,57,XXX,XX,03,  Kachua Union,37,39,250,241,478,477,88,88,333,352,74,44,00110
1,56,95,XXX,XX,03,  Udaypur Union,36,44,422,418,726,679,215,189,593,563,153,98,00110
1,60,23,XXX,XX,03,  Baraikhali Union,24,25,190,172,237,284,72,47,199,203,46,36,00110
1,73,83,XXX,XX,03,  Rampal Union,18,0,32,48,66,72,26,0,62,70,14,7,00110
1,77,38,XXX,XX,03,  Khontakata Union,45,40,382,369,740,669,133,114,447,473,79,54,00110
1,77,57,XXX,XX,03,  Royenda Union,30,26,541,511,813,759,189,187,573,628,152,59,00110
55,66,52,XXX,XX,03,  Mohammadpur Union,43,61,294,282,564,539,137,96,426,432,87,41,00110
55,85,11,XXX,XX,03,  Arpara Union,17,15,191,200,358,288,70,66,304,249,49,28,00110
55,85,59,XXX,XX,03,  Shalikha Union,0,0,10,8,15,3,3,0,19,8,0,0,00110
55,95,84,XXX,XX,03,  Sreepur Union,5,7,127,140,294,266,26,38,163,180,12,11,00110
50,15,27,XXX,XX,03,  Bahir Char Union,7,7,116,133,187,196,48,49,181,182,39,19,00110
50,15,40,XXX,XX,03,  Chandgram Union,15,12,124,100,175,186,62,41,118,137,46,26,00110
50,39,33,XXX,XX,03,  Daulatpur Union,34,34,205,187,301,318,97,87,236,242,48,22,00110
50,39,61,XXX,XX,03,  Mathurapur Union,47,36,293,302,483,451,202,198,416,376,145,86,00110
50,63,71,XXX,XX,03,  Samaspur Union,6,4,170,152,189,180,62,61,175,173,34,15,00110
50,79,50,XXX,XX,03,  Battail Union,39,43,115,119,200,229,59,64,159,150,68,31,00110
50,94,14,XXX,XX,03,  Amla Union,16,11,100,103,185,170,56,39,139,149,30,11,00110
50,94,80,XXX,XX,03,  Poradaha Union,18,22,124,157,279,242,60,55,189,207,51,26,00110
57,47,10,XXX,XX,03,  Bamandi Union,6,6,78,75,123,108,30,30,83,97,17,4,00110
57,47,69,XXX,XX,03,  Roypur Union,1,1,47,53,128,98,17,3,77,79,8,3,00110
57,60,28,XXX,XX,03,  Bagoan Union,29,36,215,221,400,538,67,62,374,407,49,16,00110
87,04,17,XXX,XX,03,  Assasuni Union,51,27,193,213,470,400,55,66,306,314,56,26,00110
87,25,15,XXX,XX,03,  Debhata Union,6,9,64,68,124,142,15,18,89,92,10,20,00110
87,43,31,XXX,XX,03,  Helatala Union,7,9,51,50,103,104,11,13,87,86,13,2,00110
87,47,13,XXX,XX,03,  Bhara Simla Union,8,4,132,132,192,182,41,25,125,128,39,16,00110
87,47,55,XXX,XX,03,  Kushlia Union,28,38,210,196,335,305,66,52,312,256,82,27,00110
87,47,63,XXX,XX,03,  Mathureshpur Union,16,16,101,108,176,167,41,26,101,126,45,11,00110
87,47,94,XXX,XX,03,  Tarali Union,12,13,52,42,91,72,18,13,42,60,20,10,00110
87,86,94,XXX,XX,03,  Shyamnagar Union,52,56,508,456,747,747,169,142,637,640,107,66,00110
87,90,87,XXX,XX,03,  Tala Union,68,59,197,193,413,391,81,82,384,315,41,21,00110
42,40,85,XXX,XX,03,  Ponabalia Union,7,0,29,35,37,52,15,6,35,44,15,1,00110
42,43,63,XXX,XX,03,  Kanthalia Union,11,8,323,302,493,460,124,119,397,455,63,51,00110
42,84,40,XXX,XX,03,  Mathbari Union,34,48,70,104,156,155,13,17,124,149,30,18,00110
42,84,54,XXX,XX,03,  Rajapur Union,52,47,383,364,707,688,150,164,567,580,76,53,00110
78,38,29,XXX,XX,03,  Bauphal Union,10,9,27,35,76,95,17,10,45,42,26,11,00110
78,38,35,XXX,XX,03,  Daspara Union,28,35,149,124,250,253,49,40,184,176,38,17,00110
78,52,31,XXX,XX,03,  Banshbaria Union,18,19,142,122,254,222,52,40,165,179,38,18,00110
78,52,52,XXX,XX,03,  Dashmina Union,70,62,529,517,746,776,239,222,544,586,141,111,00110
78,55,93,XXX,XX,03,  Sreerampur Union,72,64,351,360,686,651,96,76,528,480,64,48,00110
78,57,50,XXX,XX,03,  Chiknikandi Union,3,5,40,43,77,55,17,26,51,46,9,7,00110
78,57,67,XXX,XX,03,  Galachipa Union,1,1,134,108,153,147,90,68,132,115,26,17,00110
78,66,83,XXX,XX,03,  Tiakhali Union,29,31,303,288,491,464,140,138,306,313,123,84,00110
78,76,13,XXX,XX,03,  Amragachhia Union,25,23,51,52,217,152,8,21,124,117,17,15,00110
78,76,27,XXX,XX,03,  Deuli Subidkhali Union,40,59,292,271,635,532,135,115,488,467,82,44,00110
78,76,81,XXX,XX,03,  Mirzaganj Union,39,42,253,244,525,455,90,66,308,325,62,48,00110
78,95,27,XXX,XX,03,  Jainkati Union,29,37,128,141,296,266,64,49,176,185,37,28,00110
6,02,15,XXX,XX,03,  Bakal Union,31,21,84,73,264,174,41,29,174,140,13,13,00110
6,02,47,XXX,XX,03,  Gaila Union,109,82,133,147,380,394,25,23,299,314,48,24,00110
6,03,81,XXX,XX,03,  Rahmatpur Union,42,52,276,261,520,474,107,72,406,442,65,37,00110
6,07,12,XXX,XX,03,  Bhar Pasha Union,11,17,102,105,184,165,28,20,163,172,21,14,00110
6,07,94,XXX,XX,03,  Rangasree Union,3,4,16,19,27,30,6,10,23,20,6,4,00110
6,10,42,XXX,XX,03,  Chakhar Union,9,20,67,84,167,189,37,20,140,146,25,13,00110
6,10,63,XXX,XX,03,  Salia Bakpur Union,2,0,111,100,222,158,53,46,172,171,17,8,00110
6,36,13,XXX,XX,03,  Bara Jalia Union,62,76,544,491,860,806,241,164,601,648,165,115,00110
6,51,34,XXX,XX,03,  Char Baria Union,9,11,108,105,189,168,31,19,144,165,44,14,00110
6,51,43,XXX,XX,03,  Char Kowa Union,33,33,187,201,327,273,128,155,228,243,114,100,00110
6,62,87,XXX,XX,03,  Mehendiganj Union,12,14,101,127,226,244,55,57,154,159,33,32,00110
6,94,31,XXX,XX,03,  Guthia Union,10,20,53,46,101,124,24,17,99,97,18,9,00110
6,94,84,XXX,XX,03,  Shikarpur Union,57,38,216,219,414,412,73,61,378,391,53,45,00110
79,14,11,XXX,XX,03,  Bhandaria Union,122,112,555,583,1222,1085,138,162,837,808,178,110,00110
79,14,71,XXX,XX,03,  Nudmulla Union,15,12,125,150,215,225,40,37,205,189,26,16,00110
79,47,15,XXX,XX,03,  Amrajuri Union,3,3,67,85,139,130,34,26,111,138,27,17,00110
79,47,47,XXX,XX,03,  Kawkhali Union,32,31,149,136,279,270,67,55,244,261,39,22,00110
79,58,60,XXX,XX,03,  Mathbaria Union,35,37,337,306,573,553,107,102,397,369,93,58,00110
79,76,52,XXX,XX,03,  Nazirpur Union,2,2,173,130,226,219,53,67,204,189,53,27,00110
79,87,76,XXX,XX,03,  Sohagdal Union,24,22,285,310,536,518,120,133,438,479,113,53,00110
79,87,85,XXX,XX,03,  Sutiakati Union,53,68,317,327,608,653,122,103,500,577,143,65,00110
