ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,12,35,XXX,XX,03,  Batiaghata Union,363,293,70,148,11,17,13,128,46,00110
47,30,27,XXX,XX,03,  Dumuria Union,1741,1576,165,748,58,163,18,665,89,00110
47,53,55,XXX,XX,03,  Koyra Union,937,847,90,700,57,27,2,120,31,00110
47,69,38,XXX,XX,03,  Damodar Union,1787,1361,426,405,58,385,180,571,188,00110
47,69,76,XXX,XX,03,  Phultala Union,437,280,157,13,2,41,28,226,127,00110
47,94,27,XXX,XX,03,  Barasat Union,413,392,21,349,12,16,4,27,5,00110
47,94,81,XXX,XX,03,  Terokhada Union,770,758,12,501,3,7,0,250,9,00110
18,07,15,XXX,XX,03,  Baradi Union,118,118,0,106,0,2,0,10,0,00110
18,07,23,XXX,XX,03,  Bhangabaria Union,643,623,20,535,7,11,0,77,13,00110
18,07,27,XXX,XX,03,  Chithla Union,502,495,7,413,2,5,0,77,5,00110
18,07,47,XXX,XX,03,  Hardi Union,1686,1615,71,1436,23,72,10,107,38,00110
18,07,55,XXX,XX,03,  Jamjami Union,986,976,10,901,5,15,1,60,4,00110
18,07,63,XXX,XX,03,  Jehala Union,1171,1099,72,760,12,51,3,288,57,00110
18,07,79,XXX,XX,03,  Khaskara Union,157,153,4,140,2,5,0,8,2,00110
18,07,87,XXX,XX,03,  Kumari Union,1264,1238,26,945,5,147,7,146,14,00110
18,23,11,XXX,XX,03,  Alokdia Union,3115,2846,269,1731,45,70,24,1045,200,00110
18,23,47,XXX,XX,03,  Kutubpur Union,354,349,5,313,4,1,0,35,1,00110
18,23,59,XXX,XX,03,  Mominpur Union,696,650,46,527,21,23,0,100,25,00110
18,23,71,XXX,XX,03,  Shankar Chandra Union,618,564,54,408,36,23,2,133,16,00110
18,23,83,XXX,XX,03,  Titudaha Union,585,559,26,553,12,3,9,3,5,00110
18,31,11,XXX,XX,03,  Damurhuda Union,1434,1360,74,1104,22,91,8,165,44,00110
18,31,35,XXX,XX,03,  Howli Union,1578,1521,57,1280,24,52,3,189,30,00110
18,55,38,XXX,XX,03,  Banka Union,621,591,30,355,2,11,0,225,28,00110
18,55,76,XXX,XX,03,  Uthali Union,1051,1001,50,782,20,35,7,184,23,00110
65,28,14,XXX,XX,03,  Boranal Eliasabad Union,336,333,3,299,1,9,0,25,2,00110
65,28,71,XXX,XX,03,  Mauli Union,98,95,3,92,1,0,0,3,2,00110
65,28,87,XXX,XX,03,  Peruli Union,959,929,30,731,12,8,1,190,17,00110
65,28,95,XXX,XX,03,  Salamabad Union,910,860,50,813,25,21,5,26,20,00110
65,76,61,XXX,XX,03,  Mulia Union,669,630,39,525,33,22,0,83,6,00110
44,14,31,XXX,XX,03,  Daulatpur Union,1071,1066,5,1042,5,8,0,16,0,00110
44,19,73,XXX,XX,03,  Paglakanai Union,511,482,29,337,3,64,6,81,20,00110
41,23,25,XXX,XX,03,  Bankra Union,188,183,5,171,4,8,0,4,1,00110
41,23,35,XXX,XX,03,  Gadkhali Union,336,334,2,225,2,26,0,83,0,00110
41,23,47,XXX,XX,03,  Jhikargachha Union,185,183,2,158,1,8,0,17,1,00110
41,23,71,XXX,XX,03,  Panisara Union,84,82,2,55,0,3,0,24,2,00110
41,38,28,XXX,XX,03,  Keshabpur Union,379,339,40,256,32,39,5,44,3,00110
41,38,38,XXX,XX,03,  Majidpur Union,205,188,17,176,15,10,0,2,2,00110
41,47,23,XXX,XX,03,  Chanchra Union,882,786,96,408,24,64,11,314,61,00110
