ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,XX.0,XX.0,XXX,XX,02, Khulna Zila,694933,7.7,9.2,10.7,10.4,11.1,10.2,27.6,6.7,2.4,4.0,00110
47,17.0,XX.0,XXX,XX,02,  Dacope Upazila,14188,7.1,8.8,10.0,10.9,8.6,9.2,29.7,7.4,2.7,5.6,00110
47,21.0,XX.0,XXX,XX,02,  Daulatpur Thana,100316,7.3,9.3,10.5,10.2,13.0,10.1,26.2,6.6,2.5,4.3,00110
47,45.0,XX.0,XXX,XX,02,  Khalishpur Thana,165299,7.6,9.1,11.0,11.4,10.6,10.2,27.2,6.7,2.3,3.8,00110
47,48.0,XX.0,XXX,XX,02,  Khan Jahan Ali Thana,6930,5.1,5.3,7.6,16.1,19.5,9.5,23.6,7.4,2.9,2.9,00110
47,51.0,XX.0,XXX,XX,02,  Khulna Sadar Thana,224444,7.7,9.2,10.5,9.8,10.9,10.2,28.2,6.8,2.4,4.1,00110
47,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,16017,8.4,9.6,10.2,9.7,9.7,10.1,29.4,6.4,2.3,4.3,00110
47,85.0,XX.0,XXX,XX,02,  Sonadanga Thana,167739,8.0,9.5,10.9,10.0,10.8,10.3,27.7,6.6,2.5,3.9,00110
18,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,176748,8.2,9.8,10.9,9.6,9.2,9.9,28.3,7.0,2.6,4.5,00110
18,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,32048,8.0,9.4,9.9,8.9,8.7,10.0,29.6,7.6,2.9,5.1,00110
18,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,85786,8.1,9.7,10.8,9.7,9.3,9.8,28.4,7.0,2.6,4.5,00110
18,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,33396,8.4,10.0,11.5,9.9,9.3,9.6,27.5,7.3,2.4,4.2,00110
18,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,25518,8.6,10.1,11.8,9.8,9.2,10.3,27.3,6.3,2.6,4.1,00110
65,XX.0,XX.0,XXX,XX,02, Narail Zila,87267,9.0,11.0,11.3,8.9,8.5,9.1,27.3,7.0,2.7,5.1,00110
65,28.0,XX.0,XXX,XX,02,  Kalia Upazila,19678,9.7,12.5,12.5,8.6,8.8,8.5,25.0,6.7,2.8,4.9,00110
65,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,25290,9.3,11.4,11.0,8.7,7.8,9.0,27.3,7.2,3.0,5.3,00110
65,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,42299,8.6,10.1,10.8,9.1,8.8,9.4,28.5,7.1,2.6,5.1,00110
44,XX.0,XX.0,XXX,XX,02, Jhenaidah Zila,271221,8.4,10.1,10.8,9.5,9.2,9.8,28.0,6.9,2.7,4.5,00110
44,14.0,XX.0,XXX,XX,02,  Harinakundu Upazila,22011,9.0,11.2,11.1,7.9,8.0,9.5,28.5,6.8,3.1,4.9,00110
