ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Male,% Male-Never married,% Male-Married,% Male-Widowed,% Male-Divorced/Separated,Total Female,% Female-Never married,% Female-Married,% Female-Widowed,% Female-Divorced/Separated,check_var
47.0,XX.0,XX.0,XXX,XX,02, Khulna Zila,301094,41.7,57.5,0.6,0.1,276346,27.3,64.3,7.3,1.0,00110
47.0,17.0,XX.0,XXX,XX,02,  Dacope Upazila,5983,37.4,61.5,0.9,0.2,5958,24.6,63.3,10.1,1.9,00110
47.0,21.0,XX.0,XXX,XX,02,  Daulatpur Thana,43539,43.9,55.3,0.7,0.1,40097,27.9,63.8,7.5,0.8,00110
47.0,45.0,XX.0,XXX,XX,02,  Khalishpur Thana,74034,42.3,57.0,0.6,0.1,63658,28.0,63.8,7.3,0.9,00110
47.0,48.0,XX.0,XXX,XX,02,  Khan Jahan Ali Thana,4565,51.8,47.9,0.2,0.0,1643,25.7,71.0,2.9,0.5,00110
47.0,51.0,XX.0,XXX,XX,02,  Khulna Sadar Thana,96230,41.1,58.1,0.6,0.2,90207,26.7,64.8,7.4,1.1,00110
47.0,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,6720,35.6,63.7,0.6,0.1,6413,23.2,67.4,7.7,1.6,00110
47.0,85.0,XX.0,XXX,XX,02,  Sonadanga Thana,70023,40.9,58.3,0.7,0.2,68370,27.9,64.1,7.1,0.9,00110
18.0,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,72046,35.1,64.1,0.6,0.2,72937,22.0,68.1,8.6,1.3,00110
18.0,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,12964,33.9,65.4,0.6,0.2,13495,19.7,69.6,9.5,1.1,00110
18.0,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,35108,34.9,64.2,0.7,0.2,35375,22.5,67.1,9.1,1.3,00110
18.0,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,13575,36.6,62.8,0.5,0.2,13705,22.2,68.5,8.3,1.0,00110
18.0,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,10399,35.2,64.1,0.3,0.4,10362,23.2,68.8,6.1,1.9,00110
65.0,XX.0,XX.0,XXX,XX,02, Narail Zila,34352,37.7,61.4,0.7,0.2,35399,23.5,66.4,9.1,1.0,00110
65.0,28.0,XX.0,XXX,XX,02,  Kalia Upazila,7592,39.3,60.0,0.6,0.2,7716,22.6,66.3,10.1,1.0,00110
65.0,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,9513,36.8,62.5,0.6,0.1,10547,23.1,67.3,8.8,0.9,00110
65.0,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,17247,37.6,61.4,0.7,0.2,17136,24.1,65.9,8.9,1.0,00110
44.0,XX.0,XX.0,XXX,XX,02, Jhenaidah Zila,111511,36.7,62.7,0.5,0.2,109574,23.0,68.2,7.8,1.0,00110
44.0,14.0,XX.0,XXX,XX,02,  Harinakundu Upazila,8798,31.8,67.4,0.6,0.2,8784,19.9,71.0,7.9,1.3,00110
44.0,19.0,XX.0,XXX,XX,02,  Jhenaidah Sadar Upazila,45375,39.9,59.5,0.5,0.1,43646,25.1,67.0,7.0,0.9,00110
44.0,33.0,XX.0,XXX,XX,02,  Kaliganj Upazila,18726,35.4,64.1,0.4,0.2,18264,22.5,69.3,7.4,0.9,00110
44.0,42.0,XX.0,XXX,XX,02,  Kotchandpur Upazila,13333,34.4,64.6,0.7,0.2,13579,22.0,67.3,9.5,1.3,00110
44.0,71.0,XX.0,XXX,XX,02,  Maheshpur Upazila,11180,35.2,64.2,0.4,0.2,11148,22.0,67.6,9.1,1.3,00110
44.0,80.0,XX.0,XXX,XX,02,  Shailkupa Upazila,14099,34.3,65.0,0.6,0.1,14153,20.6,70.6,8.0,0.7,00110
41.0,XX.0,XX.0,XXX,XX,02, Jessore Zila,193874,39.0,60.2,0.6,0.2,180389,25.1,66.1,7.4,1.4,00110
41.0,4.0,XX.0,XXX,XX,02,  Abhaynagar Upazila,34974,35.3,63.7,0.7,0.3,34583,21.8,68.1,8.1,2.0,00110
41.0,9.0,XX.0,XXX,XX,02,  Bagherpara Upazila,3304,35.3,64.5,0.2,0.0,3299,22.6,69.3,7.1,1.0,00110
41.0,11.0,XX.0,XXX,XX,02,  Chaugachha Upazila,8598,34.7,64.8,0.4,0.1,8651,22.8,69.3,7.0,0.9,00110
41.0,23.0,XX.0,XXX,XX,02,  Jhikargachha Upazila,12951,35.1,64.1,0.6,0.2,13589,23.1,67.0,8.4,1.5,00110
41.0,38.0,XX.0,XXX,XX,02,  Keshabpur Upazila,10495,34.4,64.7,0.7,0.2,10606,21.4,68.9,8.4,1.3,00110
41.0,47.0,XX.0,XXX,XX,02,  Jessore Sadar Upazila,97369,42.9,56.3,0.6,0.2,83958,28.7,63.2,6.9,1.2,00110
41.0,61.0,XX.0,XXX,XX,02,  Manirampur Upazila,11489,34.2,65.2,0.5,0.1,11257,21.0,70.9,6.9,1.2,00110
41.0,90.0,XX.0,XXX,XX,02,  Sharsha Upazila,14694,36.0,63.2,0.6,0.3,14446,21.9,68.6,7.4,2.2,00110
1.0,XX.0,XX.0,XXX,XX,02, Bagerhat Zila,47137,36.6,62.7,0.6,0.1,44077,26.1,65.4,7.7,0.8,00110
1.0,8.0,XX.0,XXX,XX,02,  Bagerhat Sadar Upazila,20410,38.0,61.3,0.6,0.2,20341,26.5,64.8,7.9,0.8,00110
1.0,58.0,XX.0,XXX,XX,02,  Mongla Upazila,18271,35.4,63.8,0.6,0.1,15030,27.6,64.6,7.1,0.6,00110
1.0,60.0,XX.0,XXX,XX,02,  Morrelganj Upazila,8456,35.6,63.5,0.9,0.0,8706,22.7,68.1,8.3,0.9,00110
55.0,XX.0,XX.0,XXX,XX,02, Magura Zila,39201,38.7,60.6,0.6,0.1,39770,25.1,66.3,7.9,0.8,00110
55.0,57.0,XX.0,XXX,XX,02,  Magura Sadar Upazila,39201,38.7,60.6,0.6,0.1,39770,25.1,66.3,7.9,0.8,00110
50.0,XX.0,XX.0,XXX,XX,02, Kushtia Zila,78981,39.3,59.9,0.7,0.2,76518,25.4,65.1,8.6,0.9,00110
50.0,15.0,XX.0,XXX,XX,02,  Bheramara Upazila,8916,35.5,63.7,0.6,0.2,9258,21.9,67.6,9.4,1.2,00110
50.0,63.0,XX.0,XXX,XX,02,  Khoksa Upazila,7022,35.6,63.9,0.5,0.1,7026,21.0,70.1,8.2,0.7,00110
50.0,71.0,XX.0,XXX,XX,02,  Kumarkhali Upazila,8729,33.6,65.6,0.7,0.1,9065,21.6,68.3,9.3,0.8,00110
50.0,79.0,XX.0,XXX,XX,02,  Kushtia Sadar Upazila,44924,43.0,56.1,0.7,0.2,42276,28.9,61.7,8.4,0.9,00110
50.0,94.0,XX.0,XXX,XX,02,  Mirpur Upazila,9390,33.4,65.9,0.5,0.2,8893,19.6,71.3,8.1,1.0,00110
