ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
47.0,XX.0,XX.0,XXX,XX,02, Khulna Zila,694933,1.4,0.1,0.3,0.1,0.6,0.2,0.1,00110
47.0,17.0,XX.0,XXX,XX,02,  Dacope Upazila,14188,1.7,0.2,0.2,0.2,0.7,0.3,0.1,00110
47.0,21.0,XX.0,XXX,XX,02,  Daulatpur Thana,100316,1.7,0.1,0.5,0.1,0.7,0.2,0.0,00110
47.0,45.0,XX.0,XXX,XX,02,  Khalishpur Thana,165299,1.8,0.2,0.4,0.1,0.7,0.2,0.1,00110
47.0,48.0,XX.0,XXX,XX,02,  Khan Jahan Ali Thana,6930,0.5,0.0,0.1,0.1,0.2,0.1,0.1,00110
47.0,51.0,XX.0,XXX,XX,02,  Khulna Sadar Thana,224444,1.4,0.1,0.2,0.1,0.6,0.2,0.1,00110
47.0,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,16017,0.7,0.1,0.0,0.1,0.3,0.1,0.0,00110
47.0,85.0,XX.0,XXX,XX,02,  Sonadanga Thana,167739,1.2,0.1,0.2,0.1,0.4,0.2,0.1,00110
18.0,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,176748,1.7,0.2,0.4,0.2,0.7,0.2,0.1,00110
18.0,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,32048,1.8,0.2,0.5,0.2,0.6,0.3,0.0,00110
18.0,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,85786,1.8,0.2,0.4,0.2,0.7,0.2,0.1,00110
18.0,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,33396,1.4,0.2,0.2,0.1,0.5,0.3,0.1,00110
18.0,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,25518,1.4,0.1,0.4,0.1,0.6,0.2,0.1,00110
65.0,XX.0,XX.0,XXX,XX,02, Narail Zila,87267,1.2,0.2,0.2,0.1,0.5,0.2,0.1,00110
65.0,28.0,XX.0,XXX,XX,02,  Kalia Upazila,19678,1.5,0.2,0.3,0.1,0.5,0.2,0.1,00110
65.0,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,25290,0.8,0.1,0.1,0.1,0.3,0.1,0.0,00110
65.0,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,42299,1.2,0.1,0.2,0.2,0.5,0.2,0.1,00110
