ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
47.0,XX.0,XX.0,XXX,XX,02, Khulna Zila,159330,37.9,33.3,27.2,1.6,48.5,39.2,11.8,0.5,00110
47.0,17.0,XX.0,XXX,XX,02,  Dacope Upazila,3374,7.9,26.8,60.9,4.4,69.4,18.4,8.1,4.0,00110
47.0,21.0,XX.0,XXX,XX,02,  Daulatpur Thana,22940,28.8,36.6,33.0,1.6,42.8,45.0,11.4,0.8,00110
47.0,45.0,XX.0,XXX,XX,02,  Khalishpur Thana,37557,37.0,35.7,26.3,0.9,46.1,37.4,16.0,0.5,00110
47.0,48.0,XX.0,XXX,XX,02,  Khan Jahan Ali Thana,1088,33.3,21.0,41.7,4.0,41.2,38.5,19.5,0.8,00110
47.0,51.0,XX.0,XXX,XX,02,  Khulna Sadar Thana,52334,43.5,28.9,26.0,1.6,53.4,37.7,8.5,0.4,00110
47.0,64.0,XX.0,XXX,XX,02,  Paikgachha Upazila,3744,24.8,28.7,44.8,1.6,19.4,34.7,45.5,0.4,00110
47.0,85.0,XX.0,XXX,XX,02,  Sonadanga Thana,38293,40.6,36.3,21.2,1.9,48.6,42.0,9.1,0.3,00110
18.0,XX.0,XX.0,XXX,XX,02, Chuadanga Zila,42909,40.2,30.9,26.3,2.7,33.8,30.4,32.8,3.0,00110
18.0,7.0,XX.0,XXX,XX,02,  Alamdanga Upazila,8008,40.5,28.7,29.9,0.9,18.1,38.3,40.0,3.6,00110
18.0,23.0,XX.0,XXX,XX,02,  Chuadanga Sadar Upazila,20311,43.9,29.9,24.1,2.1,45.8,25.8,26.5,2.0,00110
18.0,31.0,XX.0,XXX,XX,02,  Damurhuda Upazila,7944,42.4,26.8,25.1,5.7,22.5,35.4,37.1,5.1,00110
18.0,55.0,XX.0,XXX,XX,02,  Jiban Nagar Upazila,6646,25.5,41.4,30.2,2.9,29.9,28.9,38.6,2.6,00110
65.0,XX.0,XX.0,XXX,XX,02, Narail Zila,20218,24.4,37.1,37.6,0.9,37.1,43.3,18.5,1.1,00110
65.0,28.0,XX.0,XXX,XX,02,  Kalia Upazila,4481,10.7,33.9,54.5,0.8,20.4,47.0,31.0,1.5,00110
65.0,52.0,XX.0,XXX,XX,02,  Lohagara Upazila,5905,22.0,41.5,35.2,1.3,26.7,62.2,10.8,0.3,00110
65.0,76.0,XX.0,XXX,XX,02,  Narail Sadar Upazila,9832,32.0,35.9,31.4,0.7,51.0,30.2,17.3,1.5,00110
44.0,XX.0,XX.0,XXX,XX,02, Jhenaidah Zila,63920,33.7,33.5,28.5,4.3,41.2,28.7,26.8,3.2,00110
44.0,14.0,XX.0,XXX,XX,02,  Harinakundu Upazila,5366,11.4,42.8,45.0,0.8,25.9,28.3,40.9,4.8,00110
44.0,19.0,XX.0,XXX,XX,02,  Jhenaidah Sadar Upazila,24964,41.8,35.2,20.7,2.3,53.8,26.2,17.5,2.5,00110
44.0,33.0,XX.0,XXX,XX,02,  Kaliganj Upazila,10535,46.4,27.4,18.4,7.8,49.2,30.6,18.3,1.8,00110
44.0,42.0,XX.0,XXX,XX,02,  Kotchandpur Upazila,7921,35.2,30.9,23.2,10.7,43.2,30.7,23.1,3.0,00110
44.0,71.0,XX.0,XXX,XX,02,  Maheshpur Upazila,6647,22.1,28.7,43.4,5.8,26.3,24.1,45.1,4.6,00110
44.0,80.0,XX.0,XXX,XX,02,  Shailkupa Upazila,8487,16.1,36.4,47.2,0.3,14.0,35.7,45.2,5.1,00110
41.0,XX.0,XX.0,XXX,XX,02, Jessore Zila,104340,35.9,34.0,24.1,6.0,48.3,32.1,18.5,1.1,00110
41.0,4.0,XX.0,XXX,XX,02,  Abhaynagar Upazila,21063,21.8,46.2,24.6,7.4,26.9,44.8,27.3,1.0,00110
41.0,9.0,XX.0,XXX,XX,02,  Bagherpara Upazila,1915,18.8,34.5,39.7,7.0,28.5,29.2,40.1,2.2,00110
41.0,11.0,XX.0,XXX,XX,02,  Chaugachha Upazila,5103,29.7,38.4,25.1,6.7,39.2,29.8,29.1,1.8,00110
41.0,23.0,XX.0,XXX,XX,02,  Jhikargachha Upazila,7873,37.3,28.8,22.6,11.3,54.9,22.3,20.2,2.6,00110
41.0,38.0,XX.0,XXX,XX,02,  Keshabpur Upazila,6293,24.0,34.5,40.6,0.9,55.5,25.6,17.3,1.6,00110
41.0,47.0,XX.0,XXX,XX,02,  Jessore Sadar Upazila,46608,47.3,28.6,18.4,5.6,64.8,25.6,9.4,0.3,00110
41.0,61.0,XX.0,XXX,XX,02,  Manirampur Upazila,6956,22.1,48.7,25.9,3.2,30.5,38.1,28.7,2.7,00110
41.0,90.0,XX.0,XXX,XX,02,  Sharsha Upazila,8529,34.5,22.7,37.3,5.5,24.2,46.9,26.9,2.0,00110
1.0,XX.0,XX.0,XXX,XX,02, Bagerhat Zila,25443,26.7,19.4,47.1,6.8,51.1,35.0,13.1,0.8,00110
1.0,8.0,XX.0,XXX,XX,02,  Bagerhat Sadar Upazila,11820,39.0,22.9,32.9,5.2,54.9,35.2,9.5,0.4,00110
1.0,58.0,XX.0,XXX,XX,02,  Mongla Upazila,8615,18.6,15.8,56.9,8.7,47.4,36.5,14.7,1.3,00110
1.0,60.0,XX.0,XXX,XX,02,  Morrelganj Upazila,5008,11.7,17.1,64.0,7.2,48.3,31.9,18.9,0.8,00110
55.0,XX.0,XX.0,XXX,XX,02, Magura Zila,21920,23.1,44.4,31.4,1.1,45.6,36.2,16.8,1.4,00110
55.0,57.0,XX.0,XXX,XX,02,  Magura Sadar Upazila,21920,23.1,44.4,31.4,1.1,45.6,36.2,16.8,1.4,00110
50.0,XX.0,XX.0,XXX,XX,02, Kushtia Zila,42344,33.3,38.3,27.3,1.2,53.8,28.6,15.9,1.7,00110
50.0,15.0,XX.0,XXX,XX,02,  Bheramara Upazila,5204,27.0,61.3,11.4,0.3,53.0,33.5,12.8,0.7,00110
50.0,63.0,XX.0,XXX,XX,02,  Khoksa Upazila,4075,9.6,34.8,53.7,1.9,39.3,43.3,16.2,1.3,00110
50.0,71.0,XX.0,XXX,XX,02,  Kumarkhali Upazila,5251,14.8,43.2,39.9,2.0,38.8,27.8,31.2,2.2,00110
50.0,79.0,XX.0,XXX,XX,02,  Kushtia Sadar Upazila,22338,49.4,27.9,21.7,1.0,65.9,25.1,7.7,1.3,00110
50.0,94.0,XX.0,XXX,XX,02,  Mirpur Upazila,5476,8.9,56.7,33.2,1.2,30.4,27.6,37.6,4.4,00110
57.0,XX.0,XX.0,XXX,XX,02, Meherpur Zila,16704,36.6,40.8,21.1,1.5,43.2,24.8,29.6,2.4,00110
57.0,47.0,XX.0,XXX,XX,02,  Gangni Upazila,6441,28.6,52.1,17.6,1.7,39.9,24.1,31.8,4.2,00110
57.0,87.0,XX.0,XXX,XX,02,  Meherpur Sadar Upazila,10263,41.7,33.7,23.3,1.4,45.2,25.3,28.2,1.3,00110
87.0,XX.0,XX.0,XXX,XX,02, Satkhira Zila,33093,36.8,42.1,18.3,2.7,39.1,34.5,25.0,1.5,00110
87.0,43.0,XX.0,XXX,XX,02,  Kalaroa Upazila,6537,33.3,38.8,24.6,3.3,29.1,30.6,36.5,3.7,00110
87.0,82.0,XX.0,XXX,XX,02,  Satkhira Sadar Upazila,26556,37.7,43.0,16.8,2.6,41.6,35.4,22.1,0.9,00110
42.0,XX.0,XX.0,XXX,XX,02, Jhalokati Zila,19260,22.0,25.7,50.7,1.5,44.1,41.7,13.6,0.6,00110
42.0,40.0,XX.0,XXX,XX,02,  Jhalokati Sadar Upazila,12234,28.0,31.1,39.6,1.4,54.3,39.7,5.2,0.8,00110
42.0,73.0,XX.0,XXX,XX,02,  Nalchity Upazila,7026,11.8,16.4,70.1,1.7,26.2,45.2,28.2,0.5,00110
78.0,XX.0,XX.0,XXX,XX,02, Patuakhali Zila,27258,16.5,25.3,56.4,1.8,46.9,35.8,16.5,0.8,00110
78.0,38.0,XX.0,XXX,XX,02,  Bauphal Upazila,2509,12.5,25.7,61.1,0.6,46.4,38.7,14.7,0.2,00110
78.0,38.0,XX.0,XXX,XX,02,Bauphal Paurashava,2509,12.5,25.7,61.1,0.6,46.4,38.7,14.7,0.2,00110
78.0,57.0,XX.0,XXX,XX,02,  Galachipa Upazila,4928,10.2,25.1,62.9,1.7,44.9,28.5,24.8,1.9,00110
78.0,57.0,XX.0,XXX,XX,02,Galachipa  Paurashava,4928,10.2,25.1,62.9,1.7,44.9,28.5,24.8,1.9,00110
