ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,All ages,Percentage of population in the age group 0-4,Percentage of population in the age group 5-9,Percentage of population in the age group 10-14,Percentage of population in the age group 15-19,Percentage of population in the age group 20-24,Percentage of population in the age group 25-29,Percentage of population in the age group 30-49,Percentage of population in the age group 50-59,Percentage of population in the age group 60-64,Percentage of population in the age group 65+,check_var
47,XX.0,XX.0,XXX,XX,01, Khulna Zila,1540939,8.8,10.9,11.0,8.3,9.0,9.3,26.6,7.2,3.0,5.9,00110
47,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,164016,8.7,10.3,10.4,7.9,9.2,9.2,27.2,7.3,3.1,6.6,00110
47,12.0,35.0,XXX,XX,01,  Batiaghata Union,11785,6.6,6.9,8.1,6.8,8.1,9.1,31.0,9.8,4.2,9.4,00110
47,17.0,XX.0,XXX,XX,01,  Dacope Upazila,138128,7.6,9.7,10.9,8.0,8.9,9.3,27.8,8.0,3.2,6.7,00110
47,21.0,XX.0,XXX,XX,01,  Daulatpur Thana,12126,8.0,10.2,10.5,8.6,10.9,10.4,26.1,6.7,3.1,5.3,00110
47,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,285847,8.6,10.4,10.1,7.6,8.6,9.4,28.0,7.6,3.1,6.6,00110
47,30.0,27.0,XXX,XX,01,  Dumuria Union,9414,10.3,11.1,9.9,7.5,8.5,9.7,26.9,7.4,2.7,6.2,00110
47,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,115585,9.1,11.1,12.0,9.7,9.4,9.1,25.5,6.7,2.8,4.6,00110
47,48.0,XX.0,XXX,XX,01,  Khan Jahan Ali Thana,74383,8.4,9.8,11.1,9.9,11.3,9.4,26.7,6.7,2.4,4.2,00110
47,53.0,XX.0,XXX,XX,01,  Koyra Upazila,182337,9.1,12.1,11.7,8.0,8.6,9.0,25.7,7.0,2.9,5.8,00110
47,53.0,55.0,XXX,XX,01,  Koyra Union,21636,9.1,12.0,12.6,9.0,8.8,9.0,24.9,6.5,2.5,5.7,00110
47,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,231966,8.3,10.2,10.6,8.2,8.9,9.2,27.6,7.4,3.0,6.5,00110
47,69.0,XX.0,XXX,XX,01,  Phultala Upazila,52300,8.9,10.8,10.8,8.2,9.0,10.0,26.6,7.1,3.0,5.6,00110
47,69.0,38.0,XXX,XX,01,  Damodar Union,8291,8.5,9.8,11.2,8.7,9.1,9.9,26.8,7.1,2.9,6.0,00110
47,69.0,76.0,XXX,XX,01,  Phultala Union,24871,9.2,10.2,10.3,8.8,9.6,9.9,27.1,6.8,2.8,5.3,00110
47,75.0,XX.0,XXX,XX,01,  Rupsa Upazila,179519,9.0,10.8,11.6,9.4,9.6,9.8,25.8,6.4,2.7,4.9,00110
47,94.0,XX.0,XXX,XX,01,  Terokhada Upazila,104732,11.1,14.4,12.3,7.9,8.0,8.3,22.7,6.6,3.1,5.5,00110
47,94.0,27.0,XXX,XX,01,  Barasat Union,17061,11.4,14.9,12.6,7.7,7.4,7.8,22.5,6.5,3.4,5.8,00110
47,94.0,81.0,XXX,XX,01,  Terokhada Union,14986,12.0,14.9,12.3,7.2,7.7,8.8,22.6,6.0,3.0,5.5,00110
18,XX.0,XX.0,XXX,XX,01, Chuadanga Zila,822858,9.1,10.9,11.1,8.0,8.7,9.9,27.6,6.8,2.8,5.1,00110
18,7.0,XX.0,XXX,XX,01,  Alamdanga Upazila,267550,8.8,10.8,10.5,7.4,8.4,10.1,28.4,7.1,3.0,5.5,00110
18,7.0,15.0,XXX,XX,01,  Baradi Union,18477,9.6,11.2,10.3,7.1,8.2,9.9,28.8,6.9,2.9,5.0,00110
18,7.0,23.0,XXX,XX,01,  Bhangabaria Union,23835,8.8,10.7,10.0,7.8,8.7,10.3,27.7,7.2,3.0,5.8,00110
18,7.0,27.0,XXX,XX,01,  Chithla Union,18891,9.0,11.0,11.0,7.9,9.1,10.3,27.9,6.6,2.5,4.7,00110
18,7.0,47.0,XXX,XX,01,  Hardi Union,17097,8.6,11.1,11.0,7.6,9.5,10.0,27.1,6.8,2.9,5.3,00110
18,7.0,55.0,XXX,XX,01,  Jamjami Union,12734,9.1,11.5,9.9,6.7,7.9,9.3,28.9,7.5,3.2,6.0,00110
18,7.0,63.0,XXX,XX,01,  Jehala Union,11831,8.8,10.8,10.5,7.8,8.2,10.1,28.7,7.1,2.7,5.4,00110
18,7.0,79.0,XXX,XX,01,  Khaskara Union,21963,8.8,10.6,11.3,7.1,7.8,9.9,28.2,7.2,3.4,5.7,00110
18,7.0,87.0,XXX,XX,01,  Kumari Union,10195,8.7,10.6,10.4,7.3,8.7,10.2,28.8,6.6,2.9,5.6,00110
18,23.0,XX.0,XXX,XX,01,  Chuadanga Sadar Upazila,185070,9.1,10.8,11.0,8.1,8.7,9.9,27.5,6.8,2.8,5.2,00110
18,23.0,11.0,XXX,XX,01,  Alokdia Union,2544,8.3,11.2,9.4,8.5,8.2,9.9,28.9,6.2,3.1,6.3,00110
18,23.0,47.0,XXX,XX,01,  Kutubpur Union,31279,8.5,10.4,10.7,8.3,8.6,10.1,28.3,7.1,3.0,5.1,00110
18,23.0,59.0,XXX,XX,01,  Mominpur Union,9635,9.2,11.2,11.1,8.2,7.9,9.1,27.4,7.5,3.1,5.4,00110
18,23.0,71.0,XXX,XX,01,  Shankar Chandra Union,42123,9.0,10.9,10.9,8.2,8.8,9.7,27.7,6.9,2.9,5.0,00110
18,23.0,83.0,XXX,XX,01,  Titudaha Union,37517,9.4,11.0,11.1,7.8,8.6,10.1,27.2,6.9,2.6,5.4,00110
18,31.0,XX.0,XXX,XX,01,  Damurhuda Upazila,228809,9.2,11.1,11.5,8.2,9.1,9.9,27.4,6.4,2.6,4.5,00110
18,31.0,11.0,XXX,XX,01,  Damurhuda Union,27111,8.9,11.6,11.9,8.5,8.9,9.6,27.6,6.1,2.4,4.4,00110
18,31.0,35.0,XXX,XX,01,  Howli Union,26971,9.4,11.4,11.7,8.8,9.5,10.0,26.8,6.2,2.3,3.9,00110
18,55.0,XX.0,XXX,XX,01,  Jiban Nagar Upazila,141429,9.2,10.8,11.6,8.8,8.6,9.8,26.6,6.5,2.6,5.3,00110
18,55.0,38.0,XXX,XX,01,  Banka Union,42816,9.2,11.1,11.4,8.5,8.2,9.9,27.1,6.5,2.7,5.3,00110
18,55.0,76.0,XXX,XX,01,  Uthali Union,41948,9.0,10.8,11.5,9.0,8.8,9.9,26.4,6.6,2.7,5.2,00110
65,XX.0,XX.0,XXX,XX,01, Narail Zila,609316,10.5,13.1,12.0,8.1,8.0,8.4,23.9,7.0,3.2,6.0,00110
65,28.0,XX.0,XXX,XX,01,  Kalia Upazila,184458,10.9,14.2,12.9,8.2,7.7,7.8,22.7,6.8,3.1,5.7,00110
65,28.0,14.0,XXX,XX,01,  Boranal Eliasabad Union,4129,12.8,17.6,12.4,5.9,7.8,8.2,20.7,6.2,3.1,5.4,00110
65,28.0,71.0,XXX,XX,01,  Mauli Union,15894,11.7,14.1,12.0,7.6,7.9,8.0,22.8,7.0,3.0,5.9,00110
65,28.0,87.0,XXX,XX,01,  Peruli Union,21295,11.0,14.4,13.0,7.6,7.4,7.5,22.7,7.5,3.2,5.6,00110
65,28.0,95.0,XXX,XX,01,  Salamabad Union,6211,10.6,14.2,13.7,8.0,8.3,7.4,22.9,7.1,2.7,5.2,00110
65,52.0,XX.0,XXX,XX,01,  Lohagara Upazila,203304,11.1,13.4,12.2,8.1,8.0,8.5,23.0,6.7,3.2,5.8,00110
65,76.0,XX.0,XXX,XX,01,  Narail Sadar Upazila,221554,9.6,11.9,11.1,7.9,8.1,8.7,25.6,7.4,3.2,6.4,00110
44,XX.0,XX.0,XXX,XX,01, Jhenaidah Zila,1491112,9.1,11.2,11.1,8.1,8.8,9.7,26.6,6.9,3.0,5.5,00110
44,14.0,XX.0,XXX,XX,01,  Harinakundu Upazila,169448,8.9,11.2,10.9,7.4,8.2,9.4,27.5,7.4,3.3,5.7,00110
44,14.0,31.0,XXX,XX,01,  Daulatpur Union,17566,9.2,11.0,10.4,7.6,8.5,10.2,26.6,7.2,3.3,5.8,00110
44,19.0,XX.0,XXX,XX,01,  Jhenaidah Sadar Upazila,345391,9.1,11.1,11.1,8.0,8.7,9.8,26.6,6.8,3.0,5.7,00110
44,19.0,73.0,XXX,XX,01,  Paglakanai Union,15172,8.7,10.8,10.6,8.9,9.7,10.5,27.3,6.3,2.6,4.7,00110
44,33.0,XX.0,XXX,XX,01,  Kaliganj Upazila,237025,9.1,11.1,11.1,8.1,8.8,9.8,26.9,6.9,2.8,5.3,00110
44,42.0,XX.0,XXX,XX,01,  Kotchandpur Upazila,108027,8.9,11.1,11.0,8.1,8.7,9.8,27.6,6.7,2.8,5.2,00110
44,71.0,XX.0,XXX,XX,01,  Maheshpur Upazila,304844,9.0,11.2,12.1,8.6,9.2,10.0,25.9,6.3,2.6,5.0,00110
44,80.0,XX.0,XXX,XX,01,  Shailkupa Upazila,326377,9.3,11.5,10.5,8.0,8.7,9.1,26.2,7.4,3.3,6.1,00110
41,XX.0,XX.0,XXX,XX,01, Jessore Zila,2250995,9.0,10.8,11.1,8.6,8.8,9.5,26.7,7.0,2.9,5.5,00110
41,4.0,XX.0,XXX,XX,01,  Abhaynagar Upazila,176578,8.9,10.9,10.8,8.0,8.5,9.2,27.2,7.5,3.0,6.0,00110
41,9.0,XX.0,XXX,XX,01,  Bagherpara Upazila,208607,9.1,11.1,11.5,8.3,8.4,9.3,26.0,7.0,3.0,6.3,00110
41,11.0,XX.0,XXX,XX,01,  Chaugachha Upazila,209948,9.1,11.1,11.1,8.3,8.9,9.8,26.5,6.9,2.9,5.4,00110
