ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Literate (can write a letter)-Both-Yes,Literate (can write a letter)-Both-No,Literate (can write a letter)-Male-Yes,Literate (can write a letter)-Male-No,Literate (can write a letter)-Female-Yes,Literate (can write a letter)-Female-No,Literacy Rate (%)-Both,Literacy Rate (%)-Male,Literacy Rate (%)-Female,check_var
47.0,XX.0,XX.0,XXX,XX,01, Khulna Zila,725508,614082,392875,277025,332633,337057,54.2,58.6,49.7,00110
47.0,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,77784,65252,42204,29958,35580,35294,54.4,58.5,50.2,00110
47.0,12.0,35.0,XXX,XX,01,  Batiaghata Union,6656,3989,3720,1573,2936,2416,62.5,70.3,54.9,00110
47.0,17.0,XX.0,XXX,XX,01,  Dacope Upazila,67470,54931,38080,23178,29390,31753,55.1,62.2,48.1,00110
47.0,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,131006,118573,71594,52998,59412,65575,52.5,57.5,47.5,00110
47.0,30.0,27.0,XXX,XX,01,  Dumuria Union,4531,3467,2415,1545,2116,1922,56.7,61.0,52.4,00110
47.0,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,54320,45762,29041,22287,25279,23475,54.3,56.6,51.9,00110
47.0,53.0,XX.0,XXX,XX,01,  Koyra Upazila,78450,78882,42512,34199,35938,44683,49.9,55.4,44.6,00110
47.0,53.0,55.0,XXX,XX,01,  Koyra Union,9216,9465,4767,4303,4449,5162,49.3,52.6,46.3,00110
47.0,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,105625,97808,58299,42768,47326,55040,51.9,57.7,46.2,00110
47.0,69.0,XX.0,XXX,XX,01,  Phultala Upazila,25890,19558,13583,8867,12307,10691,57.0,60.5,53.5,00110
47.0,69.0,38.0,XXX,XX,01,  Damodar Union,3695,3570,1944,1641,1751,1929,50.9,54.2,47.6,00110
47.0,69.0,76.0,XXX,XX,01,  Phultala Union,13455,8142,6979,3724,6476,4418,62.3,65.2,59.4,00110
47.0,75.0,XX.0,XXX,XX,01,  Rupsa Upazila,90611,65008,47467,30498,43144,34510,58.2,60.9,55.6,00110
47.0,94.0,XX.0,XXX,XX,01,  Terokhada Upazila,41673,45047,21380,21757,20293,23290,48.1,49.6,46.6,00110
47.0,94.0,27.0,XXX,XX,01,  Barasat Union,6186,7788,3121,3647,3065,4141,44.3,46.1,42.5,00110
