ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,12,35,XXX,XX,01,  Batiaghata Union,16,12,221,254,342,325,76,105,350,330,43,19,00110
47,30,27,XXX,XX,01,  Dumuria Union,18,18,328,315,395,386,139,104,297,310,75,46,00110
47,53,55,XXX,XX,01,  Koyra Union,107,88,585,614,1049,1065,287,266,848,959,248,114,00110
47,69,38,XXX,XX,01,  Damodar Union,18,24,185,221,343,341,95,92,323,328,46,33,00110
47,69,76,XXX,XX,01,  Phultala Union,57,48,698,615,1121,1145,232,163,835,887,176,71,00110
47,94,27,XXX,XX,01,  Barasat Union,62,61,681,623,1051,1034,284,275,611,660,162,99,00110
47,94,81,XXX,XX,01,  Terokhada Union,68,55,564,585,871,822,301,279,575,549,166,72,00110
18,07,15,XXX,XX,01,  Baradi Union,39,35,568,582,792,786,289,248,588,616,169,63,00110
18,07,23,XXX,XX,01,  Bhangabaria Union,51,61,718,675,1035,1010,313,273,758,743,192,91,00110
18,07,27,XXX,XX,01,  Chithla Union,11,13,583,569,719,683,362,348,633,662,251,88,00110
18,07,47,XXX,XX,01,  Hardi Union,16,37,526,492,719,700,328,249,584,622,135,45,00110
18,07,55,XXX,XX,01,  Jamjami Union,17,15,362,417,558,515,204,174,420,403,112,31,00110
18,07,63,XXX,XX,01,  Jehala Union,23,21,347,344,452,462,208,223,402,347,113,57,00110
18,07,79,XXX,XX,01,  Khaskara Union,19,35,664,645,880,894,389,351,836,802,153,74,00110
18,07,87,XXX,XX,01,  Kumari Union,19,26,278,261,465,435,125,86,371,351,79,18,00110
18,23,11,XXX,XX,01,  Alokdia Union,6,6,75,71,91,115,36,34,76,71,22,12,00110
18,23,47,XXX,XX,01,  Kutubpur Union,52,60,887,805,1409,1313,377,326,1147,1058,259,103,00110
18,23,59,XXX,XX,01,  Mominpur Union,17,23,265,282,420,459,148,114,320,364,89,36,00110
18,23,71,XXX,XX,01,  Shankar Chandra Union,65,68,1328,1276,1852,1739,600,512,1347,1528,442,182,00110
18,23,83,XXX,XX,01,  Titudaha Union,30,21,1215,1153,1662,1624,562,490,1286,1371,362,140,00110
18,31,11,XXX,XX,01,  Damurhuda Union,41,45,858,815,1266,1256,441,369,978,965,337,135,00110
18,31,35,XXX,XX,01,  Howli Union,52,60,844,781,1271,1231,387,333,882,1079,347,128,00110
18,55,38,XXX,XX,01,  Banka Union,86,80,1388,1359,1831,1806,625,560,1565,1649,443,158,00110
18,55,76,XXX,XX,01,  Uthali Union,68,84,1191,1262,1746,1765,641,535,1549,1671,391,181,00110
65,28,14,XXX,XX,01,  Boranal Eliasabad Union,15,8,182,199,311,263,70,67,156,138,61,23,00110
65,28,71,XXX,XX,01,  Mauli Union,19,33,667,638,861,842,283,222,623,554,155,104,00110
65,28,87,XXX,XX,01,  Peruli Union,66,70,770,756,1254,1275,352,309,787,869,272,132,00110
65,28,95,XXX,XX,01,  Salamabad Union,17,17,202,251,376,337,117,71,319,268,44,36,00110
44,14,31,XXX,XX,01,  Daulatpur Union,38,40,534,481,749,750,290,200,532,618,166,64,00110
44,19,73,XXX,XX,01,  Paglakanai Union,63,70,421,363,719,694,186,131,499,521,138,57,00110
41,23,25,XXX,XX,01,  Bankra Union,90,100,540,523,945,852,189,188,750,775,149,100,00110
41,23,35,XXX,XX,01,  Gadkhali Union,106,96,696,670,1084,1008,247,236,850,825,162,82,00110
41,23,47,XXX,XX,01,  Jhikargachha Union,130,158,731,773,1382,1207,261,236,1015,953,205,101,00110
41,23,71,XXX,XX,01,  Panisara Union,109,98,556,548,975,998,164,169,681,739,125,63,00110
41,38,28,XXX,XX,01,  Keshabpur Union,71,65,382,393,746,679,118,98,574,564,80,35,00110
41,38,38,XXX,XX,01,  Majidpur Union,114,113,623,665,1186,1006,212,213,843,697,150,96,00110
