ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total Population,Type of disability (%)-All,Type of disability (%)-Speech,Type of disability (%)-Vision,Type of disability (%)-Hearing,Type of disability (%)-Physical,Type of disability (%)-Mental,Type of disability (%)-Autism,check_var
47.0,XX.0,XX.0,XXX,XX,01, Khulna Zila,1540939,1.8,0.2,0.4,0.2,0.7,0.2,0.1,00110
47.0,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,164016,2.0,0.2,0.5,0.3,0.7,0.2,0.1,00110
47.0,12.0,35.0,XXX,XX,01,  Batiaghata Union,11785,1.9,0.2,0.4,0.3,0.6,0.2,0.1,00110
47.0,17.0,XX.0,XXX,XX,01,  Dacope Upazila,138128,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00110
47.0,21.0,XX.0,XXX,XX,01,  Daulatpur Thana,12126,0.9,0.2,0.1,0.0,0.4,0.1,0.1,00110
47.0,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,285847,1.7,0.2,0.3,0.2,0.7,0.2,0.1,00110
47.0,30.0,27.0,XXX,XX,01,  Dumuria Union,9414,1.6,0.3,0.2,0.2,0.6,0.2,0.1,00110
47.0,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,115585,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
47.0,48.0,XX.0,XXX,XX,01,  Khan Jahan Ali Thana,74383,2.0,0.2,0.4,0.2,0.9,0.2,0.1,00110
47.0,53.0,XX.0,XXX,XX,01,  Koyra Upazila,182337,2.2,0.3,0.5,0.2,0.9,0.2,0.1,00110
47.0,53.0,55.0,XXX,XX,01,  Koyra Union,21636,2.2,0.3,0.6,0.2,0.7,0.3,0.1,00110
47.0,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,231966,2.0,0.2,0.5,0.2,0.8,0.2,0.1,00110
47.0,69.0,XX.0,XXX,XX,01,  Phultala Upazila,52300,1.5,0.2,0.2,0.1,0.8,0.2,0.0,00110
47.0,69.0,38.0,XXX,XX,01,  Damodar Union,8291,1.7,0.2,0.3,0.0,0.9,0.2,0.0,00110
47.0,69.0,76.0,XXX,XX,01,  Phultala Union,24871,1.7,0.2,0.3,0.1,0.9,0.2,0.0,00110
47.0,75.0,XX.0,XXX,XX,01,  Rupsa Upazila,179519,1.9,0.2,0.4,0.2,0.7,0.2,0.1,00110
47.0,94.0,XX.0,XXX,XX,01,  Terokhada Upazila,104732,1.8,0.2,0.5,0.2,0.6,0.2,0.1,00110
47.0,94.0,27.0,XXX,XX,01,  Barasat Union,17061,2.8,0.3,1.1,0.3,0.8,0.2,0.2,00110
47.0,94.0,81.0,XXX,XX,01,  Terokhada Union,14986,1.1,0.1,0.2,0.1,0.5,0.2,0.1,00110
18.0,XX.0,XX.0,XXX,XX,01, Chuadanga Zila,822858,1.7,0.2,0.3,0.2,0.7,0.2,0.1,00110
18.0,7.0,XX.0,XXX,XX,01,  Alamdanga Upazila,267550,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
18.0,7.0,15.0,XXX,XX,01,  Baradi Union,18477,1.4,0.2,0.2,0.2,0.5,0.2,0.2,00110
18.0,7.0,23.0,XXX,XX,01,  Bhangabaria Union,23835,1.4,0.2,0.2,0.1,0.6,0.2,0.1,00110
18.0,7.0,27.0,XXX,XX,01,  Chithla Union,18891,0.9,0.2,0.1,0.1,0.4,0.1,0.0,00110
18.0,7.0,47.0,XXX,XX,01,  Hardi Union,17097,1.9,0.2,0.4,0.3,0.7,0.2,0.1,00110
18.0,7.0,55.0,XXX,XX,01,  Jamjami Union,12734,1.2,0.1,0.2,0.1,0.5,0.2,0.0,00110
18.0,7.0,63.0,XXX,XX,01,  Jehala Union,11831,2.0,0.2,0.5,0.3,0.6,0.3,0.1,00110
18.0,7.0,79.0,XXX,XX,01,  Khaskara Union,21963,1.4,0.2,0.3,0.1,0.5,0.2,0.1,00110
18.0,7.0,87.0,XXX,XX,01,  Kumari Union,10195,1.4,0.2,0.2,0.1,0.6,0.1,0.1,00110
18.0,23.0,XX.0,XXX,XX,01,  Chuadanga Sadar Upazila,185070,2.3,0.2,0.6,0.2,0.9,0.2,0.1,00110
18.0,23.0,11.0,XXX,XX,01,  Alokdia Union,2544,1.0,0.1,0.2,0.1,0.6,0.1,0.0,00110
18.0,23.0,47.0,XXX,XX,01,  Kutubpur Union,31279,1.2,0.2,0.2,0.1,0.5,0.2,0.0,00110
18.0,23.0,59.0,XXX,XX,01,  Mominpur Union,9635,1.5,0.2,0.2,0.2,0.6,0.2,0.1,00110
18.0,23.0,71.0,XXX,XX,01,  Shankar Chandra Union,42123,2.0,0.3,0.3,0.2,0.9,0.3,0.1,00110
18.0,23.0,83.0,XXX,XX,01,  Titudaha Union,37517,1.3,0.2,0.2,0.2,0.6,0.1,0.1,00110
18.0,31.0,XX.0,XXX,XX,01,  Damurhuda Upazila,228809,1.7,0.2,0.3,0.2,0.7,0.2,0.1,00110
18.0,31.0,11.0,XXX,XX,01,  Damurhuda Union,27111,2.5,0.3,0.9,0.3,0.7,0.3,0.1,00110
18.0,31.0,35.0,XXX,XX,01,  Howli Union,26971,1.3,0.2,0.2,0.1,0.5,0.2,0.1,00110
18.0,55.0,XX.0,XXX,XX,01,  Jiban Nagar Upazila,141429,1.6,0.2,0.3,0.2,0.8,0.2,0.1,00110
18.0,55.0,38.0,XXX,XX,01,  Banka Union,42816,1.4,0.1,0.2,0.1,0.7,0.2,0.0,00110
18.0,55.0,76.0,XXX,XX,01,  Uthali Union,41948,2.2,0.3,0.3,0.2,1.0,0.2,0.1,00110
65.0,XX.0,XX.0,XXX,XX,01, Narail Zila,609316,1.6,0.2,0.3,0.2,0.7,0.2,0.1,00110
65.0,28.0,XX.0,XXX,XX,01,  Kalia Upazila,184458,1.4,0.2,0.3,0.1,0.6,0.1,0.1,00110
65.0,28.0,14.0,XXX,XX,01,  Boranal Eliasabad Union,4129,1.3,0.1,0.3,0.1,0.6,0.1,0.1,00110
65.0,28.0,71.0,XXX,XX,01,  Mauli Union,15894,0.9,0.2,0.1,0.1,0.4,0.1,0.1,00110
65.0,28.0,87.0,XXX,XX,01,  Peruli Union,21295,1.3,0.1,0.2,0.1,0.5,0.1,0.1,00110
65.0,28.0,95.0,XXX,XX,01,  Salamabad Union,6211,1.2,0.3,0.2,0.1,0.4,0.2,0.0,00110
65.0,52.0,XX.0,XXX,XX,01,  Lohagara Upazila,203304,1.8,0.2,0.4,0.2,0.8,0.2,0.1,00110
65.0,76.0,XX.0,XXX,XX,01,  Narail Sadar Upazila,221554,1.7,0.2,0.3,0.2,0.7,0.2,0.1,00110
44.0,XX.0,XX.0,XXX,XX,01, Jhenaidah Zila,1491112,1.6,0.2,0.3,0.1,0.7,0.2,0.1,00110
44.0,14.0,XX.0,XXX,XX,01,  Harinakundu Upazila,169448,1.5,0.2,0.3,0.1,0.7,0.2,0.1,00110
44.0,14.0,31.0,XXX,XX,01,  Daulatpur Union,17566,1.1,0.2,0.1,0.1,0.5,0.1,0.1,00110
