ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,12,35,XXX,XX,01,  Batiaghata Union,2525,897,1628,669,50,5,2,37,1145.0,186,431,00110
47,30,27,XXX,XX,01,  Dumuria Union,2360,977,1383,810,50,4,2,9,1072.0,154,259,00110
47,53,55,XXX,XX,01,  Koyra Union,5360,2264,3096,1763,136,71,27,24,2248.0,406,685,00110
47,69,38,XXX,XX,01,  Damodar Union,2167,904,1263,740,100,3,1,11,876.0,150,286,00110
47,69,76,XXX,XX,01,  Phultala Union,4771,2016,2755,1654,289,1,2,28,1919.0,333,545,00110
47,94,27,XXX,XX,01,  Barasat Union,4609,2126,2483,1745,56,6,2,31,1952.0,344,473,00110
47,94,81,XXX,XX,01,  Terokhada Union,3651,1715,1936,1358,32,2,5,9,1568.0,346,331,00110
18,07,15,XXX,XX,01,  Baradi Union,7235,3592,3643,3249,82,5,7,28,3192.0,310,362,00110
18,07,23,XXX,XX,01,  Bhangabaria Union,8486,4199,4287,3780,117,10,9,48,3674.0,361,487,00110
18,07,27,XXX,XX,01,  Chithla Union,6355,3161,3194,2786,102,23,11,24,2594.0,328,487,00110
18,07,47,XXX,XX,01,  Hardi Union,6177,2989,3188,2639,54,10,3,13,2753.0,327,378,00110
18,07,55,XXX,XX,01,  Jamjami Union,4594,2127,2467,1932,37,1,2,9,2240.0,185,188,00110
18,07,63,XXX,XX,01,  Jehala Union,4858,2353,2505,2001,76,10,6,15,2001.0,327,422,00110
18,07,79,XXX,XX,01,  Khaskara Union,8260,3937,4323,3520,42,4,1,25,3889.0,388,391,00110
18,07,87,XXX,XX,01,  Kumari Union,3564,1737,1827,1584,34,0,2,10,1643.0,143,148,00110
18,23,11,XXX,XX,01,  Alokdia Union,887,451,436,399,5,3,0,0,348.0,49,83,00110
18,23,47,XXX,XX,01,  Kutubpur Union,10397,4755,5642,4246,149,106,7,24,4941.0,379,545,00110
18,23,59,XXX,XX,01,  Mominpur Union,3553,1728,1825,1537,118,1,1,6,1458.0,184,248,00110
18,23,71,XXX,XX,01,  Shankar Chandra Union,14828,7239,7589,6387,154,19,11,42,6330.0,791,1094,00110
18,23,83,XXX,XX,01,  Titudaha Union,14331,6985,7346,6141,179,29,10,31,6166.0,784,991,00110
18,31,11,XXX,XX,01,  Damurhuda Union,9186,4512,4674,3876,111,17,3,16,3783.0,603,777,00110
18,31,35,XXX,XX,01,  Howli Union,7642,3652,3990,3127,165,9,4,21,3146.0,495,675,00110
18,55,38,XXX,XX,01,  Banka Union,12649,6123,6526,5237,197,9,9,23,5112.0,854,1208,00110
18,55,76,XXX,XX,01,  Uthali Union,13463,6645,6818,5689,383,8,6,38,5218.0,910,1211,00110
65,28,14,XXX,XX,01,  Boranal Eliasabad Union,1263,636,627,506,11,1,1,3,490.0,126,125,00110
65,28,71,XXX,XX,01,  Mauli Union,4140,1892,2248,1606,84,16,8,19,1745.0,251,411,00110
65,28,87,XXX,XX,01,  Peruli Union,6448,2978,3470,2273,93,14,2,80,2669.0,611,706,00110
65,28,95,XXX,XX,01,  Salamabad Union,1729,783,946,621,21,1,2,7,757.0,154,166,00110
44,14,31,XXX,XX,01,  Daulatpur Union,6989,3381,3608,2973,71,9,7,66,3211.0,333,319,00110
44,19,73,XXX,XX,01,  Paglakanai Union,4422,2041,2381,1717,190,11,6,11,1653.0,302,532,00110
41,23,25,XXX,XX,01,  Bankra Union,4695,1940,2755,1667,34,6,5,18,2263.0,249,453,00110
41,23,35,XXX,XX,01,  Gadkhali Union,5902,2580,3322,2253,166,2,5,16,2552.0,309,599,00110
41,23,47,XXX,XX,01,  Jhikargachha Union,5399,2389,3010,2086,116,6,12,21,2321.0,276,561,00110
41,23,71,XXX,XX,01,  Panisara Union,4986,2150,2836,1815,55,4,1,126,2395.0,205,385,00110
41,38,28,XXX,XX,01,  Keshabpur Union,2812,1100,1712,922,83,3,6,8,1262.0,167,361,00110
41,38,38,XXX,XX,01,  Majidpur Union,5948,2526,3422,2165,125,16,10,15,2721.0,330,566,00110
41,47,23,XXX,XX,01,  Chanchra Union,7955,3610,4345,3106,281,8,5,37,3162.0,459,897,00110
41,47,41,XXX,XX,01,  Fathehpur Union,8454,3758,4696,3022,505,7,2,32,3287.0,697,902,00110
41,90,86,XXX,XX,01,  Sharsha Union,8618,3737,4881,3218,502,7,3,17,3575.0,495,801,00110
1,14,31,XXX,XX,01,  Chitalmari Union,5384,2496,2888,1952,116,11,6,23,1966.0,510,800,00110
1,34,10,XXX,XX,01,  Bahirdia Mansa Union,704,314,390,260,10,0,0,2,297.0,52,83,00110
1,34,31,XXX,XX,01,  Fakirhat Union,2221,1031,1190,768,40,13,2,19,820.0,231,328,00110
1,34,52,XXX,XX,01,  Mulghar Union,1611,625,986,475,35,2,3,27,651.0,121,297,00110
1,34,63,XXX,XX,01,  Naldha Maubhog Union,2877,1353,1524,1115,64,4,2,6,1119.0,228,339,00110
1,38,57,XXX,XX,01,  Kachua Union,652,280,372,233,9,0,0,7,279.0,40,84,00110
1,56,95,XXX,XX,01,  Udaypur Union,1958,953,1005,789,23,2,3,17,725.0,145,254,00110
1,60,23,XXX,XX,01,  Baraikhali Union,1599,694,905,562,47,3,1,28,681.0,101,176,00110
1,73,83,XXX,XX,01,  Rampal Union,5819,2777,3042,2267,231,12,16,46,2198.0,452,597,00110
1,77,38,XXX,XX,01,  Khontakata Union,2210,1115,1095,662,51,18,8,47,707.0,388,329,00110
1,77,57,XXX,XX,01,  Royenda Union,2252,1152,1100,949,35,11,2,9,819.0,183,244,00110
55,66,52,XXX,XX,01,  Mohammadpur Union,4687,2130,2557,1719,51,5,2,90,2190.0,316,314,00110
55,85,11,XXX,XX,01,  Arpara Union,5199,2274,2925,1887,51,3,3,17,2386.0,367,485,00110
55,85,59,XXX,XX,01,  Shalikha Union,4121,1910,2211,1680,22,8,4,8,1793.0,214,392,00110
55,95,84,XXX,XX,01,  Sreepur Union,5441,2415,3026,2118,66,8,2,26,2508.0,263,450,00110
50,15,27,XXX,XX,01,  Bahir Char Union,5691,2854,2837,2355,139,29,10,39,2228.0,431,460,00110
50,15,40,XXX,XX,01,  Chandgram Union,4031,1945,2086,1682,71,6,5,12,1693.0,245,317,00110
50,39,33,XXX,XX,01,  Daulatpur Union,11710,5599,6111,5027,167,18,4,26,5319.0,528,621,00110
50,39,61,XXX,XX,01,  Mathurapur Union,9965,4810,5155,4221,205,16,3,70,4369.0,503,578,00110
50,63,71,XXX,XX,01,  Samaspur Union,2860,1288,1572,1172,193,2,4,7,1231.0,107,144,00110
50,79,50,XXX,XX,01,  Battail Union,13182,6047,7135,5146,981,19,10,28,4946.0,854,1198,00110
50,94,14,XXX,XX,01,  Amla Union,8866,4268,4598,3865,82,6,12,25,4038.0,372,466,00110
50,94,80,XXX,XX,01,  Poradaha Union,12496,5990,6506,5353,175,19,10,47,5510.0,571,811,00110
