ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,12,35,XXX,XX,01,  Batiaghata Union,11785,632,11140,13,0,0,00110
47,30,27,XXX,XX,01,  Dumuria Union,9414,6077,3332,5,0,0,00110
47,53,55,XXX,XX,01,  Koyra Union,21636,18726,2627,41,0,242,00110
47,69,38,XXX,XX,01,  Damodar Union,8291,7025,1266,0,0,0,00110
47,69,76,XXX,XX,01,  Phultala Union,24871,22425,2445,1,0,0,00110
47,94,27,XXX,XX,01,  Barasat Union,17061,14341,2720,0,0,0,00110
47,94,81,XXX,XX,01,  Terokhada Union,14986,13204,1782,0,0,0,00110
18,07,15,XXX,XX,01,  Baradi Union,18477,18197,262,0,0,18,00110
18,07,23,XXX,XX,01,  Bhangabaria Union,23835,23508,298,0,0,29,00110
18,07,27,XXX,XX,01,  Chithla Union,18891,18741,150,0,0,0,00110
18,07,47,XXX,XX,01,  Hardi Union,17097,17034,57,0,0,6,00110
18,07,55,XXX,XX,01,  Jamjami Union,12734,12521,213,0,0,0,00110
18,07,63,XXX,XX,01,  Jehala Union,11831,11324,507,0,0,0,00110
18,07,79,XXX,XX,01,  Khaskara Union,21963,21501,434,0,0,28,00110
18,07,87,XXX,XX,01,  Kumari Union,10195,10159,34,0,0,2,00110
18,23,11,XXX,XX,01,  Alokdia Union,2544,2544,0,0,0,0,00110
18,23,47,XXX,XX,01,  Kutubpur Union,31279,30420,855,3,0,1,00110
18,23,59,XXX,XX,01,  Mominpur Union,9635,9557,78,0,0,0,00110
18,23,71,XXX,XX,01,  Shankar Chandra Union,42123,41514,598,10,1,0,00110
18,23,83,XXX,XX,01,  Titudaha Union,37517,36274,1243,0,0,0,00110
18,31,11,XXX,XX,01,  Damurhuda Union,27111,26647,464,0,0,0,00110
18,31,35,XXX,XX,01,  Howli Union,26971,26410,561,0,0,0,00110
18,55,38,XXX,XX,01,  Banka Union,42816,41527,1289,0,0,0,00110
18,55,76,XXX,XX,01,  Uthali Union,41948,40951,969,0,1,27,00110
65,28,14,XXX,XX,01,  Boranal Eliasabad Union,4129,4121,8,0,0,0,00110
65,28,71,XXX,XX,01,  Mauli Union,15894,11441,4450,0,3,0,00110
65,28,87,XXX,XX,01,  Peruli Union,21295,19632,1663,0,0,0,00110
65,28,95,XXX,XX,01,  Salamabad Union,6211,4438,1773,0,0,0,00110
44,14,31,XXX,XX,01,  Daulatpur Union,17566,16963,603,0,0,0,00110
44,19,73,XXX,XX,01,  Paglakanai Union,15172,14432,740,0,0,0,00110
41,23,25,XXX,XX,01,  Bankra Union,19436,18093,1342,1,0,0,00110
41,23,35,XXX,XX,01,  Gadkhali Union,23542,22246,753,543,0,0,00110
41,23,47,XXX,XX,01,  Jhikargachha Union,26056,25217,839,0,0,0,00110
41,23,71,XXX,XX,01,  Panisara Union,20409,19338,1050,21,0,0,00110
41,38,28,XXX,XX,01,  Keshabpur Union,14681,10457,4219,2,0,3,00110
41,38,38,XXX,XX,01,  Majidpur Union,22069,19259,2787,4,0,19,00110
41,47,23,XXX,XX,01,  Chanchra Union,34448,30646,3780,22,0,0,00110
41,47,41,XXX,XX,01,  Fathehpur Union,38205,33222,4877,85,0,21,00110
41,90,86,XXX,XX,01,  Sharsha Union,39721,38333,1351,37,0,0,00110
1,14,31,XXX,XX,01,  Chitalmari Union,26794,15817,10943,27,0,7,00110
1,34,10,XXX,XX,01,  Bahirdia Mansa Union,4374,3719,655,0,0,0,00110
1,34,31,XXX,XX,01,  Fakirhat Union,17689,15940,1747,0,0,2,00110
1,34,52,XXX,XX,01,  Mulghar Union,9995,1960,7868,17,0,150,00110
1,34,63,XXX,XX,01,  Naldha Maubhog Union,12188,8113,4065,10,0,0,00110
1,38,57,XXX,XX,01,  Kachua Union,4795,3326,1469,0,0,0,00110
1,56,95,XXX,XX,01,  Udaypur Union,10117,6711,3398,8,0,0,00110
1,60,23,XXX,XX,01,  Baraikhali Union,17480,16168,1308,4,0,0,00110
1,73,83,XXX,XX,01,  Rampal Union,22556,18153,4399,0,3,1,00110
1,77,38,XXX,XX,01,  Khontakata Union,20322,19969,349,0,4,0,00110
1,77,57,XXX,XX,01,  Royenda Union,17261,16573,688,0,0,0,00110
55,66,52,XXX,XX,01,  Mohammadpur Union,17423,16833,585,5,0,0,00110
55,85,11,XXX,XX,01,  Arpara Union,18914,13210,5704,0,0,0,00110
55,85,59,XXX,XX,01,  Shalikha Union,14256,11866,2390,0,0,0,00110
55,95,84,XXX,XX,01,  Sreepur Union,18677,15876,2801,0,0,0,00110
50,15,27,XXX,XX,01,  Bahir Char Union,20378,20297,78,3,0,0,00110
50,15,40,XXX,XX,01,  Chandgram Union,12988,12625,363,0,0,0,00110
50,39,33,XXX,XX,01,  Daulatpur Union,28808,28675,133,0,0,0,00110
50,39,61,XXX,XX,01,  Mathurapur Union,27867,27623,241,3,0,0,00110
50,63,71,XXX,XX,01,  Samaspur Union,8508,7770,738,0,0,0,00110
50,79,50,XXX,XX,01,  Battail Union,40215,39656,445,0,0,114,00110
50,94,14,XXX,XX,01,  Amla Union,23583,23440,143,0,0,0,00110
50,94,80,XXX,XX,01,  Poradaha Union,33133,32184,949,0,0,0,00110
57,47,10,XXX,XX,01,  Bamandi Union,24269,24105,164,0,0,0,00110
57,47,69,XXX,XX,01,  Roypur Union,18433,18127,306,0,0,0,00110
57,60,28,XXX,XX,01,  Bagoan Union,29686,27672,109,1891,4,10,00110
87,04,17,XXX,XX,01,  Assasuni Union,15039,6484,8540,14,0,1,00110
87,25,15,XXX,XX,01,  Debhata Union,13255,11633,1622,0,0,0,00110
87,43,31,XXX,XX,01,  Helatala Union,18254,17612,524,118,0,0,00110
87,47,13,XXX,XX,01,  Bhara Simla Union,20293,18272,2019,0,1,1,00110
87,47,55,XXX,XX,01,  Kushlia Union,15894,12715,3179,0,0,0,00110
87,47,63,XXX,XX,01,  Mathureshpur Union,22791,19617,3174,0,0,0,00110
87,47,94,XXX,XX,01,  Tarali Union,20205,15593,4605,0,0,7,00110
87,86,94,XXX,XX,01,  Shyamnagar Union,13975,11164,2668,2,0,141,00110
87,90,87,XXX,XX,01,  Tala Union,23499,19468,3753,278,0,0,00110
42,40,85,XXX,XX,01,  Ponabalia Union,15485,15021,463,0,1,0,00110
42,43,63,XXX,XX,01,  Kanthalia Union,9172,8317,854,0,0,1,00110
42,84,40,XXX,XX,01,  Mathbari Union,19160,18508,652,0,0,0,00110
42,84,54,XXX,XX,01,  Rajapur Union,21429,20863,566,0,0,0,00110
78,38,29,XXX,XX,01,  Bauphal Union,19952,17815,2137,0,0,0,00110
78,38,35,XXX,XX,01,  Daspara Union,14713,13911,802,0,0,0,00110
78,52,31,XXX,XX,01,  Banshbaria Union,14108,13772,335,1,0,0,00110
78,52,52,XXX,XX,01,  Dashmina Union,12286,11725,561,0,0,0,00110
78,55,93,XXX,XX,01,  Sreerampur Union,6027,5668,359,0,0,0,00110
78,57,50,XXX,XX,01,  Chiknikandi Union,14195,12558,1637,0,0,0,00110
78,57,67,XXX,XX,01,  Galachipa Union,15709,14937,768,4,0,0,00110
78,66,83,XXX,XX,01,  Tiakhali Union,5497,5438,37,0,21,1,00110
78,76,13,XXX,XX,01,  Amragachhia Union,19771,18438,1333,0,0,0,00110
78,76,27,XXX,XX,01,  Deuli Subidkhali Union,10588,9884,704,0,0,0,00110
78,76,81,XXX,XX,01,  Mirzaganj Union,14669,14031,638,0,0,0,00110
78,95,27,XXX,XX,01,  Jainkati Union,12677,12188,489,0,0,0,00110
6,02,15,XXX,XX,01,  Bakal Union,22218,8041,13750,427,0,0,00110
6,02,47,XXX,XX,01,  Gaila Union,24969,18768,5738,457,6,0,00110
6,03,81,XXX,XX,01,  Rahmatpur Union,14512,13663,846,3,0,0,00110
6,07,12,XXX,XX,01,  Bhar Pasha Union,15333,14466,839,28,0,0,00110
6,07,94,XXX,XX,01,  Rangasree Union,32190,28759,3431,0,0,0,00110
6,10,42,XXX,XX,01,  Chakhar Union,12927,12411,512,4,0,0,00110
6,10,63,XXX,XX,01,  Salia Bakpur Union,16158,15710,444,4,0,0,00110
6,36,13,XXX,XX,01,  Bara Jalia Union,17459,16263,1196,0,0,0,00110
6,51,34,XXX,XX,01,  Char Baria Union,19255,18717,537,1,0,0,00110
6,51,43,XXX,XX,01,  Char Kowa Union,22851,22492,359,0,0,0,00110
6,62,87,XXX,XX,01,  Mehendiganj Union,11302,10858,444,0,0,0,00110
6,94,31,XXX,XX,01,  Guthia Union,22542,20894,1607,40,1,0,00110
6,94,84,XXX,XX,01,  Shikarpur Union,19585,17071,2283,227,4,0,00110
79,14,11,XXX,XX,01,  Bhandaria Union,5146,4282,864,0,0,0,00110
79,14,71,XXX,XX,01,  Nudmulla Union,17731,17168,563,0,0,0,00110
79,47,15,XXX,XX,01,  Amrajuri Union,5500,2657,2843,0,0,0,00110
79,47,47,XXX,XX,01,  Kawkhali Union,19153,17341,1807,5,0,0,00110
79,58,60,XXX,XX,01,  Mathbaria Union,11591,11096,495,0,0,0,00110
79,76,52,XXX,XX,01,  Nazirpur Union,14625,10520,4095,10,0,0,00110
79,87,76,XXX,XX,01,  Sohagdal Union,17879,17494,373,11,0,1,00110
79,87,85,XXX,XX,01,  Sutiakati Union,15586,15333,242,0,7,4,00110
79,87,95,XXX,XX,01,  Nesarabad (Swarupkati) Union,10557,10025,532,0,0,0,00110
79,90,51,XXX,XX,01,  Pattashi Union,22261,19160,3077,1,0,23,00110
9,18,12,XXX,XX,01,  Alinagar Union,15929,15630,299,0,0,0,00110
9,18,14,XXX,XX,01,  Bapta Union,5634,5324,310,0,0,0,00110
9,18,36,XXX,XX,01,  Dhania Union,24113,23972,141,0,0,0,00110
9,21,16,XXX,XX,01,  Bara Manika Union,27046,26370,676,0,0,0,00110
9,21,57,XXX,XX,01,  Kutba Union,6833,6321,512,0,0,0,00110
9,65,23,XXX,XX,01,  Hajirhat Union,24467,23118,1347,2,0,0,00110
9,91,57,XXX,XX,01,  Chandpur Union,21866,19236,2626,4,0,0,00110
4,09,13,XXX,XX,01,  Amtali Union,19658,19162,496,0,0,0,00110
4,19,23,XXX,XX,01,  Bamna Union,12341,11544,797,0,0,0,00110
4,47,11,XXX,XX,01,  Betagi Union,13175,12780,395,0,0,0,00110
4,85,23,XXX,XX,01,  Kakchira Union,16985,15965,1020,0,0,0,00110
4,85,35,XXX,XX,01,  Kalmegha Union,18649,17234,1390,25,0,0,00110
4,85,71,XXX,XX,01,  Patharghata Union,28127,26720,1407,0,0,0,00110
52,02,10,XXX,XX,01,  Bhadai Union,6463,4102,2361,0,0,0,00110
52,33,76,XXX,XX,01,  Shingimari Union,23146,22517,611,2,0,16,00110
52,39,95,XXX,XX,01,  Tushbhandar Union,29047,26260,2768,6,0,13,00110
77,04,67,XXX,XX,01,  Radhanagar Union,13076,7931,5087,4,0,54,00110
77,04,81,XXX,XX,01,  Taria Union,20793,18464,2118,205,1,5,00110
77,25,73,XXX,XX,01,  Maidan Dighi Union,21071,15804,5150,37,0,80,00110
77,34,47,XXX,XX,01,  Debiganj Union,13562,10511,2988,59,0,4,00110
77,73,36,XXX,XX,01,  Dhakkamara Union,25104,23277,1797,30,0,0,00110
77,90,81,XXX,XX,01,  Tentulia Union,14699,14510,153,22,0,14,00110
85,27,31,XXX,XX,01,  Gangachara Union,26939,22704,4231,4,0,0,00110
85,58,49,XXX,XX,01,  Durgapur Union,43676,34965,7741,330,350,290,00110
85,73,76,XXX,XX,01,  Pirgachha Union,31802,29997,1800,5,0,0,00110
85,76,69,XXX,XX,01,  Pirganj Union,22503,21460,1042,1,0,0,00110
85,76,75,XXX,XX,01,  Roypur Union,20357,19028,1319,1,0,9,00110
85,92,71,XXX,XX,01,  Kursha Union,22120,17386,4696,0,0,38,00110
49,06,19,XXX,XX,01,  Bhurungamari Union,17502,16494,1008,0,0,0,00110
49,08,19,XXX,XX,01,  Char Rajibpur Union,19826,19767,50,0,0,9,00110
49,09,83,XXX,XX,01,  Thanahat Union,21991,20089,1888,0,0,14,00110
49,18,40,XXX,XX,01,  Phulbari Union,19061,16319,2737,0,0,5,00110
49,52,17,XXX,XX,01,  Belgachha Union,22438,18984,3443,0,3,8,00110
49,77,21,XXX,XX,01,  Chakirpashar Union,23126,16527,6599,0,0,0,00110
49,77,73,XXX,XX,01,  Rajarhat Union,29364,23452,5911,0,0,1,00110
49,79,71,XXX,XX,01,  Raumari Union,20857,20823,34,0,0,0,00110
32,21,47,XXX,XX,01,  Gazaria Union,12921,12286,529,0,0,106,00110
32,24,14,XXX,XX,01,  Ballamjhar Union,40377,38366,2009,2,0,0,00110
32,24,21,XXX,XX,01,  Boali Union,34765,31475,3286,0,4,0,00110
32,24,58,XXX,XX,01,  Kholahati Union,25965,23481,2394,0,1,89,00110
32,24,85,XXX,XX,01,  Mollar Char Union,6451,6428,23,0,0,0,00110
32,67,85,XXX,XX,01,  Palashbari Union,13372,12931,441,0,0,0,00110
32,82,13,XXX,XX,01,  Banagram Union,18923,17322,1596,0,0,5,00110
32,82,60,XXX,XX,01,  Jamalpur Union,27552,26735,815,1,0,1,00110
32,88,19,XXX,XX,01,  Bonar Para Union,22574,19052,3522,0,0,0,00110
32,88,85,XXX,XX,01,  Saghata Union,16709,15420,1264,0,0,25,00110
32,91,31,XXX,XX,01,  Dahabanda Union,19825,19139,681,0,0,5,00110
73,12,19,XXX,XX,01,  Dimla Union,25855,20777,5045,0,0,33,00110
73,15,19,XXX,XX,01,  Bhogdabari Union,27941,27352,589,0,0,0,00110
73,15,28,XXX,XX,01,  Boragari Union,21483,9563,11898,14,0,8,00110
73,15,38,XXX,XX,01,  Domar Union,10971,10354,617,0,0,0,00110
73,45,51,XXX,XX,01,  Kishoreganj Union,27554,25547,2007,0,0,0,00110
73,85,23,XXX,XX,01,  Bangalipur Union,16938,13953,2984,1,0,0,00110
94,08,21,XXX,XX,01,  Barabari Union,16647,13264,3208,175,0,0,00110
94,08,73,XXX,XX,01,  Duosuo Union,20023,19447,476,100,0,0,00110
94,51,81,XXX,XX,01,  Haripur Union,17004,16010,943,0,0,51,00110
94,94,52,XXX,XX,01,  Jamalpur Union,19586,13888,5693,5,0,0,00110
94,94,58,XXX,XX,01,  Mohammadpur Union,17499,13551,3888,60,0,0,00110
94,94,68,XXX,XX,01,  Rahimanpur Union,29024,23791,4821,183,0,229,00110
27,10,71,XXX,XX,01,  Khanpur Union,17575,12164,2437,2757,1,216,00110
27,10,83,XXX,XX,01,  Pali Prayagpur Union,7772,6672,625,330,0,145,00110
27,17,28,XXX,XX,01,  Biral Union,25677,21884,3768,11,0,14,00110
27,30,13,XXX,XX,01,  Abdulpur Union,30848,26864,3984,0,0,0,00110
27,43,38,XXX,XX,01,  Ghoraghat Union,10515,9458,222,643,0,192,00110
27,56,31,XXX,XX,01,  Mukundapur Union,23575,16918,5545,494,0,618,00110
27,60,15,XXX,XX,01,  Alokjhari Union,24715,17898,6790,24,0,3,00110
27,64,69,XXX,XX,01,  Shashara Union,24279,21504,2463,2,0,310,00110
27,64,77,XXX,XX,01,  Sekhpura Union,30319,19272,10006,602,0,439,00110
27,69,17,XXX,XX,01,  Binodnagar Union,29277,24775,3279,637,4,582,00110
27,69,43,XXX,XX,01,  Golapganj Union,27697,24677,1137,1256,5,622,00110
27,77,86,XXX,XX,01,  Rampur Union,26134,23495,2629,6,0,4,00110
