ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Number of Households,Type of Structure (%)-Pucka,Type of Structure (%)-Semi-pucka,Type of Structure (%)-Kutcha,Type of Structure (%)-Jhupri,Toilet Facility (%)-Sanitary (water-sealed),Toilet Facility (%)-Sanitary (non water-sealed),Toilet Facility (%)-Non-sanitary,Toilet Facility (%)-None,check_var
47.0,XX.0,XX.0,XXX,XX,01, Khulna Zila,362083,9.8,18.2,69.8,2.1,38.1,35.5,21.4,5.0,00110
47.0,12.0,XX.0,XXX,XX,01,  Batiaghata Upazila,38757,5.8,11.6,79.9,2.7,55.2,31.7,10.1,2.9,00110
47.0,12.0,35.0,XXX,XX,01,  Batiaghata Union,2800,7.1,9.2,82.6,1.1,77.9,16.7,4.3,1.2,00110
47.0,17.0,XX.0,XXX,XX,01,  Dacope Upazila,32995,2.4,3.5,90.4,3.7,42.5,22.7,20.0,14.7,00110
47.0,21.0,XX.0,XXX,XX,01,  Daulatpur Thana,2899,21.4,35.9,42.4,0.4,45.9,35.6,15.6,2.9,00110
47.0,30.0,XX.0,XXX,XX,01,  Dumuria Upazila,67210,10.6,20.0,68.1,1.3,50.7,31.2,13.2,4.9,00110
47.0,30.0,27.0,XXX,XX,01,  Dumuria Union,2125,8.6,21.7,67.9,1.7,45.9,31.2,19.4,3.5,00110
47.0,40.0,XX.0,XXX,XX,01,  Dighalia Upazila,26601,11.6,29.9,57.7,0.8,58.4,34.3,6.3,1.0,00110
47.0,48.0,XX.0,XXX,XX,01,  Khan Jahan Ali Thana,17205,33.5,36.4,28.2,2.0,40.9,39.3,18.3,1.4,00110
47.0,53.0,XX.0,XXX,XX,01,  Koyra Upazila,42977,4.2,5.4,87.6,2.8,26.5,31.2,33.6,8.7,00110
47.0,53.0,55.0,XXX,XX,01,  Koyra Union,5090,3.6,6.2,84.8,5.5,33.3,28.0,25.1,13.6,00110
47.0,64.0,XX.0,XXX,XX,01,  Paikgachha Upazila,55945,11.6,17.4,70.1,1.0,21.8,36.1,37.2,5.0,00110
47.0,69.0,XX.0,XXX,XX,01,  Phultala Upazila,12158,13.8,41.1,43.4,1.6,30.0,45.4,23.2,1.4,00110
47.0,69.0,38.0,XXX,XX,01,  Damodar Union,1859,14.1,39.2,43.5,3.3,36.5,31.1,31.1,1.2,00110
