ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,40779,40659,25,95,171691,86685,85006.0,102.0,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,36597,36369,29,199,152316,76291,76025.0,100.0,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,71909,71682,29,198,305675,153111,152564.0,100.0,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,26797,26601,15,181,115585,59220,56365.0,105.0,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,45750,45648,8,94,193931,95393,98538.0,97.0,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,59873,59689,34,150,247983,123900,124083.0,100.0,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,19555,19528,12,15,83881,41843,42038.0,100.0,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,41895,41763,34,98,179519,90189,89330.0,101.0,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,26340,26249,16,75,116709,58363,58346.0,100.0,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,86299,86167,38,94,345922,172932,172990.0,100.0,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,77144,76902,34,208,313935,156782,157153.0,100.0,01111
18,31,XX,XXX,XX,XX,Damurhuda Upazila Total,69836,69737,36,63,289577,145266,144311.0,101.0,01111
18,55,XX,XXX,XX,XX,Jiban Nagar Upazila Total,44185,44104,21,60,179581,89839,89742.0,100.0,01111
65,28,XX,XXX,XX,XX,Kalia Upazila Total,48579,48498,17,64,220202,109070,111132.0,98.0,01111
65,52,XX,XXX,XX,XX,Lohagara Upazila Total,51233,51154,24,55,228594,109450,119144.0,92.0,01111
65,76,XX,XXX,XX,XX,Narail Sadar Upazila Total,62795,62647,33,115,272872,135007,137865.0,98.0,01111
44,14,XX,XXX,XX,XX,Harinakundu Upazila Total,48209,48137,11,61,197723,99285,98438.0,101.0,01111
44,19,XX,XXX,XX,XX,Jhenaidah Sadar Upazila Total,108924,108361,75,488,455932,228155,227777.0,100.0,01111
44,33,XX,XXX,XX,XX,Kaliganj Upazila Total,67841,67696,27,118,282366,141287,141079.0,100.0,01111
44,42,XX,XXX,XX,XX,Kotchandpur Upazila Total,34249,34220,7,22,141121,70585,70536.0,100.0,01111
44,71,XX,XXX,XX,XX,Maheshpur Upazila Total,79761,79692,14,55,332514,166291,166223.0,100.0,01111
44,80,XX,XXX,XX,XX,Shailkupa Upazila Total,83348,83194,39,115,361648,180799,180849.0,100.0,01111
41,04,XX,XXX,XX,XX,Abhaynagar Upazila Total,62189,61956,35,198,262434,131846,130588.0,101.0,01111
41,09,XX,XXX,XX,XX,Bagherpara Upazila Total,49971,49832,11,128,216897,107568,109329.0,98.0,01111
41,11,XX,XXX,XX,XX,Chaugachha Upazila Total,56440,56351,9,80,231370,115907,115463.0,100.0,01111
41,23,XX,XXX,XX,XX,Jhikargachha Upazila Total,72266,72189,26,51,298908,147127,151781.0,97.0,01111
41,38,XX,XXX,XX,XX,Keshabpur Upazila Total,62309,62232,16,61,253291,126656,126635.0,100.0,01111
41,47,XX,XXX,XX,XX,Jessore Sadar Upazila Total,169164,167138,246,1780,742898,380314,362584.0,105.0,01111
41,61,XX,XXX,XX,XX,Manirampur Upazila Total,101239,101012,92,135,417421,206842,210579.0,98.0,01111
41,90,XX,XXX,XX,XX,Sharsha Upazila Total,82835,82713,34,88,341328,170033,171295.0,99.0,01111
1,08,XX,XXX,XX,XX,Bagerhat Sadar Upazila Total,64022,63807,70,145,266389,133690,132699.0,101.0,01111
1,14,XX,XXX,XX,XX,Chitalmari Upazila Total,30264,30224,14,26,138810,69416,69394.0,100.0,01111
1,34,XX,XXX,XX,XX,Fakirhat Upazila Total,33133,33076,20,37,137789,69402,68387.0,101.0,01111
1,38,XX,XXX,XX,XX,Kachua Upazila Total,23201,23159,9,33,97011,47778,49233.0,97.0,01111
1,56,XX,XXX,XX,XX,Mollahat Upazila Total,28498,28417,34,47,130878,65205,65673.0,99.0,01111
