ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,422,433,4573,4369,6949,6719,2304,2057,6140,5766,1579,896,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,579,616,3556,3393,6496,6384,1368,1228,5568,5443,1128,705,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,1188,1164,7897,7742,13868,13083,3108,2820,10655,10399,1896,1110,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,416,397,3219,3039,5712,5539,1275,1110,4490,4609,1052,547,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,653,639,5979,5631,9667,9248,2408,2103,7793,8047,1803,941,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,681,666,6464,6152,10234,9987,2857,2595,9323,9110,1956,1114,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,289,247,2207,2114,3917,3855,827,711,3209,3038,582,272,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,764,756,4884,4651,8466,8303,1989,1746,6273,6663,1968,995,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,492,431,4280,4053,6807,6459,2117,1903,4199,4287,1397,751,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,538,519,9987,9690,14210,14002,5387,4787,11410,11576,3015,1272,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,619,581,9073,8634,13338,12927,4274,3896,10312,10920,3722,1800,01111
