ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,37425,16164,21261,11655,1062,139,51,327,14926.0,4043,5222,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,32306,11975,20331,9360,1280,83,52,159,14189.0,2373,4810,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,76918,31608,45310,26592,2601,108,68,323,34138.0,4585,8503,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,24773,11425,13348,8970,920,88,34,116,9186.0,2251,3208,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,47694,18618,29076,14647,1311,252,141,226,21539.0,3493,6085,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,61462,24178,37284,19373,2156,92,72,226,26989.0,4487,8067,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,17085,6955,10130,5632,1099,16,23,89,6908.0,1218,2100,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,33305,14856,18449,11747,2594,87,39,201,11471.0,2821,4345,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,32760,15658,17102,12667,688,106,40,144,13151.0,2741,3223,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,121336,57895,63441,51394,1803,149,96,361,53546.0,5991,7996,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,95351,45427,49924,39518,2296,237,66,244,40395.0,5428,7167,01111
18,31,XX,XXX,XX,XX,Damurhuda Upazila Total,88443,42970,45473,36928,1465,140,74,249,36463.0,5653,7471,01111
18,55,XX,XXX,XX,XX,Jiban Nagar Upazila Total,53199,25615,27584,21716,1126,39,37,133,21522.0,3727,4899,01111
