ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,12717,11655,1062,8546,408,791,199,2318,455,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,10640,9360,1280,7085,365,297,47,1978,868,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,29193,26592,2601,21314,1519,1556,417,3722,665,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,9890,8970,920,3877,196,3088,430,2005,294,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,15958,14647,1311,13250,984,324,52,1073,275,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,21529,19373,2156,15281,1375,624,101,3468,680,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,6731,5632,1099,2750,167,828,385,2054,547,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,14341,11747,2594,4138,269,1976,792,5633,1533,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,13355,12667,688,10449,236,907,266,1311,186,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,53197,51394,1803,45103,664,1557,317,4734,822,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,41814,39518,2296,30038,583,1556,268,7924,1445,01111
18,31,XX,XXX,XX,XX,Damurhuda Upazila Total,38393,36928,1465,30305,531,1334,221,5289,713,01111
18,55,XX,XXX,XX,XX,Jiban Nagar Upazila Total,22842,21716,1126,17334,408,576,86,3806,632,01111
65,28,XX,XXX,XX,XX,Kalia Upazila Total,23554,22468,1086,19050,429,744,104,2674,553,01111
65,52,XX,XXX,XX,XX,Lohagara Upazila Total,21830,20898,932,16709,242,1125,167,3064,523,01111
65,76,XX,XXX,XX,XX,Narail Sadar Upazila Total,25040,23817,1223,19454,540,869,103,3494,580,01111
44,14,XX,XXX,XX,XX,Harinakundu Upazila Total,33098,32321,777,29867,425,1085,169,1369,183,01111
44,19,XX,XXX,XX,XX,Jhenaidah Sadar Upazila Total,55418,52510,2908,38782,567,3407,503,10321,1838,01111
44,33,XX,XXX,XX,XX,Kaliganj Upazila Total,29437,28041,1396,21876,253,1332,226,4833,917,01111
44,42,XX,XXX,XX,XX,Kotchandpur Upazila Total,17410,16748,662,13286,209,542,60,2920,393,01111
44,71,XX,XXX,XX,XX,Maheshpur Upazila Total,44105,42557,1548,37308,536,1392,142,3857,870,01111
