ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,12,XX,XXX,XX,XX,Batiaghata Upazila Total,171691,109591,61708,386,6,0,01111
47,17,XX,XXX,XX,XX,Dacope Upazila Total,152316,63334,86113,2869,0,0,01111
47,30,XX,XXX,XX,XX,Dumuria Upazila Total,305675,188619,116451,339,9,257,01111
47,40,XX,XXX,XX,XX,Dighalia Upazila Total,115585,97860,17210,508,0,7,01111
47,53,XX,XXX,XX,XX,Koyra Upazila Total,193931,152980,40197,476,0,278,01111
47,64,XX,XXX,XX,XX,Paikgachha Upazila Total,247983,166564,80332,1087,0,0,01111
47,69,XX,XXX,XX,XX,Phultala Upazila Total,83881,74271,9595,13,0,2,01111
47,75,XX,XXX,XX,XX,Rupsa Upazila Total,179519,152641,26494,345,0,39,01111
47,94,XX,XXX,XX,XX,Terokhada Upazila Total,116709,94477,22220,12,0,0,01111
18,07,XX,XXX,XX,XX,Alamdanga Upazila Total,345922,336715,9050,0,0,157,01111
18,23,XX,XXX,XX,XX,Chuadanga Sadar Upazila Total,313935,305290,8422,172,17,34,01111
18,31,XX,XXX,XX,XX,Damurhuda Upazila Total,289577,283241,4585,1416,4,331,01111
18,55,XX,XXX,XX,XX,Jiban Nagar Upazila Total,179581,175084,4457,5,1,34,01111
65,28,XX,XXX,XX,XX,Kalia Upazila Total,220202,185082,35063,49,3,5,01111
65,52,XX,XXX,XX,XX,Lohagara Upazila Total,228594,202933,25618,4,1,38,01111
65,76,XX,XXX,XX,XX,Narail Sadar Upazila Total,272872,198573,73913,205,2,179,01111
44,14,XX,XXX,XX,XX,Harinakundu Upazila Total,197723,188683,8740,25,0,275,01111
44,19,XX,XXX,XX,XX,Jhenaidah Sadar Upazila Total,455932,407778,47743,133,6,272,01111
44,33,XX,XXX,XX,XX,Kaliganj Upazila Total,282366,236453,45179,658,0,76,01111
44,42,XX,XXX,XX,XX,Kotchandpur Upazila Total,141121,126479,14550,0,1,91,01111
44,71,XX,XXX,XX,XX,Maheshpur Upazila Total,332514,319576,12759,64,2,113,01111
44,80,XX,XXX,XX,XX,Shailkupa Upazila Total,361648,322117,38909,95,19,508,01111
41,04,XX,XXX,XX,XX,Abhaynagar Upazila Total,262434,211646,49082,270,5,1431,01111
41,09,XX,XXX,XX,XX,Bagherpara Upazila Total,216897,181319,35321,25,0,232,01111
41,11,XX,XXX,XX,XX,Chaugachha Upazila Total,231370,213963,17332,26,0,49,01111
41,23,XX,XXX,XX,XX,Jhikargachha Upazila Total,298908,281762,14408,2649,0,89,01111
41,38,XX,XXX,XX,XX,Keshabpur Upazila Total,253291,207901,44903,227,0,260,01111
41,47,XX,XXX,XX,XX,Jessore Sadar Upazila Total,742898,674059,66490,1958,94,297,01111
41,61,XX,XXX,XX,XX,Manirampur Upazila Total,417421,342997,74205,128,2,89,01111
41,90,XX,XXX,XX,XX,Sharsha Upazila Total,341328,332515,8443,273,11,86,01111
1,08,XX,XXX,XX,XX,Bagerhat Sadar Upazila Total,266389,219207,46547,561,4,70,01111
1,14,XX,XXX,XX,XX,Chitalmari Upazila Total,138810,92739,46003,58,2,8,01111
1,34,XX,XXX,XX,XX,Fakirhat Upazila Total,137789,104951,32628,57,0,153,01111
1,38,XX,XXX,XX,XX,Kachua Upazila Total,97011,78645,18347,19,0,0,01111
1,56,XX,XXX,XX,XX,Mollahat Upazila Total,130878,104335,26302,89,0,152,01111
1,58,XX,XXX,XX,XX,Mongla Upazila Total,136588,102298,29426,4837,21,6,01111
1,60,XX,XXX,XX,XX,Morrelganj Upazila Total,294576,263332,31136,34,2,72,01111
1,73,XX,XXX,XX,XX,Rampal Upazila Total,154965,123250,31253,448,10,4,01111
1,77,XX,XXX,XX,XX,Sarankhola Upazila Total,119084,109836,9232,12,4,0,01111
55,57,XX,XXX,XX,XX,Magura Sadar Upazila Total,380107,312835,66862,306,6,98,01111
55,66,XX,XXX,XX,XX,Mohammadpur Upazila Total,207905,186672,21142,6,0,85,01111
