ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,1908,7675,7675,0,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,4510,19828,19810,18,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,2687,11594,11594,0,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,7390,31581,31499,82,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,2693,11977,11977,0,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,11292,46324,46284,40,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,10455,43079,43074,5,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,6645,27372,27372,0,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,3114,12634,12633,1,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,3429,16066,16065,1,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,2052,9019,9019,0,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,1540,6264,6264,0,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,677,2707,2707,0,01110
41,23,XX,XXX,XX,03,  Jhikargachha Upazila,2183,8665,8665,0,01110
41,38,XX,XXX,XX,03,  Keshabpur Upazila,1881,7551,7550,1,01110
41,47,XX,XXX,XX,03,  Jessore Sadar Upazila,8566,35682,35651,31,01110
41,90,XX,XXX,XX,03,  Sharsha Upazila,1237,5084,5080,4,01110
1,14,XX,XXX,XX,03,  Chitalmari Upazila,333,1272,1272,0,01110
1,34,XX,XXX,XX,03,  Fakirhat Upazila,6474,26981,26979,2,01110
1,38,XX,XXX,XX,03,  Kachua Upazila,2296,9473,9473,0,01110
1,56,XX,XXX,XX,03,  Mollahat Upazila,2657,12874,12840,34,01110
1,60,XX,XXX,XX,03,  Morrelganj Upazila,1416,5389,5389,0,01110
1,73,XX,XXX,XX,03,  Rampal Upazila,453,1720,1712,8,01110
1,77,XX,XXX,XX,03,  Sarankhola Upazila,6418,26971,26969,2,01110
55,66,XX,XXX,XX,03,  Mohammadpur Upazila,2240,10010,10010,0,01110
55,85,XX,XXX,XX,03,  Shalikha Upazila,1648,7155,7155,0,01110
55,95,XX,XXX,XX,03,  Sreepur Upazila,1123,4894,4894,0,01110
50,15,XX,XXX,XX,03,  Bheramara Upazila,2102,8623,8623,0,01110
50,39,XX,XXX,XX,03,  Daulatpur Upazila,4996,19446,19446,0,01110
50,63,XX,XXX,XX,03,  Khoksa Upazila,1184,4587,4587,0,01110
50,79,XX,XXX,XX,03,  Kushtia Sadar Upazila,1360,5435,5434,1,01110
50,94,XX,XXX,XX,03,  Mirpur Upazila,2560,10385,10385,0,01110
57,47,XX,XXX,XX,03,  Gangni Upazila,1163,4739,4739,0,01110
57,60,XX,XXX,XX,03,  Mujib Nagar Upazila,2499,10021,10021,0,01110
87,04,XX,XXX,XX,03,  Assasuni Upazila,2020,8585,8585,0,01110
87,25,XX,XXX,XX,03,  Debhata Upazila,703,2781,2778,3,01110
87,43,XX,XXX,XX,03,  Kalaroa Upazila,505,2033,2033,0,01110
87,47,XX,XXX,XX,03,  Kaliganj Upazila,3857,16863,16777,86,01110
87,86,XX,XXX,XX,03,  Shyamnagar Upazila,3939,17254,17254,0,01110
87,90,XX,XXX,XX,03,  Tala Upazila,2360,9528,9528,0,01110
42,40,XX,XXX,XX,03,  Jhalokati Sadar Upazila,182,875,875,0,01110
42,43,XX,XXX,XX,03,  Kanthalia Upazila,2602,10161,10161,0,01110
42,84,XX,XXX,XX,03,  Rajapur Upazila,3601,16133,16133,0,01110
78,38,XX,XXX,XX,03,  Bauphal Upazila,1167,5481,5481,0,01110
78,52,XX,XXX,XX,03,  Dashmina Upazila,4238,19252,19252,0,01110
78,55,XX,XXX,XX,03,  Dumki Upazila,2547,12200,12200,0,01110
