ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,12,XX,XXX,XX,03,  Batiaghata Upazila,171,173,89,118,73,56,202,308,18,7,298,399,01110
47,30,XX,XXX,XX,03,  Dumuria Upazila,507,406,344,496,176,86,619,1003,31,9,852,1085,01110
47,53,XX,XXX,XX,03,  Koyra Upazila,248,259,289,324,49,28,363,632,11,3,477,546,01110
47,69,XX,XXX,XX,03,  Phultala Upazila,827,694,549,635,254,203,975,1534,54,25,1429,1672,01110
47,94,XX,XXX,XX,03,  Terokhada Upazila,203,211,260,256,38,15,318,499,8,3,449,567,01110
18,07,XX,XXX,XX,03,  Alamdanga Upazila,1129,904,844,843,255,151,1325,2044,52,26,1905,2502,01110
18,23,XX,XXX,XX,03,  Chuadanga Sadar Upazila,847,808,1078,1043,200,142,1335,2077,51,20,1928,2309,01110
18,31,XX,XXX,XX,03,  Damurhuda Upazila,628,500,698,693,145,71,974,1446,18,9,1279,1533,01110
18,55,XX,XXX,XX,03,  Jiban Nagar Upazila,275,251,289,304,49,42,381,554,14,7,562,657,01110
65,28,XX,XXX,XX,03,  Kalia Upazila,322,225,340,372,39,21,459,706,13,2,570,715,01110
65,76,XX,XXX,XX,03,  Narail Sadar Upazila,203,210,113,115,92,49,228,314,38,15,321,430,01110
44,14,XX,XXX,XX,03,  Harinakundu Upazila,127,115,113,122,21,13,202,295,12,4,288,325,01110
44,19,XX,XXX,XX,03,  Jhenaidah Sadar Upazila,36,33,66,63,6,7,93,142,1,1,98,117,01110
41,23,XX,XXX,XX,03,  Jhikargachha Upazila,197,182,184,214,61,28,282,383,10,5,380,472,01110
41,38,XX,XXX,XX,03,  Keshabpur Upazila,161,116,144,169,37,19,250,353,8,2,288,389,01110
41,47,XX,XXX,XX,03,  Jessore Sadar Upazila,1196,880,673,716,547,332,920,1667,188,69,1531,1899,01110
41,90,XX,XXX,XX,03,  Sharsha Upazila,139,118,111,137,26,40,171,249,11,1,214,303,01110
1,14,XX,XXX,XX,03,  Chitalmari Upazila,26,40,13,14,8,5,14,67,3,0,46,68,01110
1,34,XX,XXX,XX,03,  Fakirhat Upazila,604,602,582,526,172,132,783,1251,56,32,1115,1386,01110
1,38,XX,XXX,XX,03,  Kachua Upazila,211,208,196,222,42,48,256,433,9,6,372,468,01110
1,56,XX,XXX,XX,03,  Mollahat Upazila,311,302,368,345,79,41,398,539,13,8,397,551,01110
1,60,XX,XXX,XX,03,  Morrelganj Upazila,85,88,135,106,25,10,147,245,0,0,215,292,01110
1,73,XX,XXX,XX,03,  Rampal Upazila,41,30,21,23,14,10,35,61,3,2,77,97,01110
1,77,XX,XXX,XX,03,  Sarankhola Upazila,592,548,581,612,103,83,746,1180,28,10,969,1340,01110
55,66,XX,XXX,XX,03,  Mohammadpur Upazila,324,280,181,169,63,46,252,451,12,8,328,472,01110
55,85,XX,XXX,XX,03,  Shalikha Upazila,217,170,139,123,65,51,169,292,13,15,287,349,01110
55,95,XX,XXX,XX,03,  Sreepur Upazila,168,129,67,73,24,29,129,211,6,4,167,227,01110
50,15,XX,XXX,XX,03,  Bheramara Upazila,152,171,219,205,40,21,285,454,4,3,398,437,01110
50,39,XX,XXX,XX,03,  Daulatpur Upazila,479,382,368,427,123,65,623,941,8,12,782,1043,01110
50,63,XX,XXX,XX,03,  Khoksa Upazila,103,97,79,94,27,18,107,203,3,2,166,229,01110
50,79,XX,XXX,XX,03,  Kushtia Sadar Upazila,121,117,139,156,45,30,195,308,10,7,268,301,01110
50,94,XX,XXX,XX,03,  Mirpur Upazila,218,228,223,233,58,33,310,489,26,8,438,569,01110
57,47,XX,XXX,XX,03,  Gangni Upazila,80,87,103,101,23,23,134,217,3,5,197,239,01110
57,60,XX,XXX,XX,03,  Mujib Nagar Upazila,249,260,167,153,75,45,248,374,16,5,335,441,01110
87,04,XX,XXX,XX,03,  Assasuni Upazila,274,242,136,175,79,38,242,417,9,6,371,449,01110
87,25,XX,XXX,XX,03,  Debhata Upazila,85,59,38,90,20,10,85,126,6,1,121,144,01110
87,43,XX,XXX,XX,03,  Kalaroa Upazila,59,51,37,39,10,11,47,105,1,1,91,103,01110
87,47,XX,XXX,XX,03,  Kaliganj Upazila,372,371,450,480,114,53,642,917,26,7,757,855,01110
87,86,XX,XXX,XX,03,  Shyamnagar Upazila,550,543,266,352,171,149,448,838,39,10,716,837,01110
87,90,XX,XXX,XX,03,  Tala Upazila,313,283,135,186,94,43,223,493,17,8,360,495,01110
42,40,XX,XXX,XX,03,  Jhalokati Sadar Upazila,14,11,19,17,3,0,20,36,0,1,48,50,01110
42,43,XX,XXX,XX,03,  Kanthalia Upazila,228,271,193,168,63,46,271,357,12,8,339,433,01110
42,84,XX,XXX,XX,03,  Rajapur Upazila,415,423,295,346,105,76,418,705,17,10,518,800,01110
78,38,XX,XXX,XX,03,  Bauphal Upazila,127,100,84,95,20,13,150,267,5,1,180,276,01110
78,52,XX,XXX,XX,03,  Dashmina Upazila,473,358,352,386,77,69,450,844,28,7,654,984,01110
78,55,XX,XXX,XX,03,  Dumki Upazila,556,385,160,188,358,138,258,484,20,11,402,606,01110
78,57,XX,XXX,XX,03,  Galachipa Upazila,96,109,86,106,19,9,145,205,6,1,186,244,01110
78,66,XX,XXX,XX,03,  Kala Para Upazila,106,91,216,172,20,10,273,442,5,1,342,428,01110
78,76,XX,XXX,XX,03,  Mirzaganj Upazila,543,553,435,392,152,102,559,895,40,11,739,1091,01110
78,95,XX,XXX,XX,03,  Patuakhali Sadar Upazila,93,67,90,115,23,8,100,232,5,0,160,206,01110
6,02,XX,XXX,XX,03,  Agailjhara Upazila,333,328,212,210,58,48,304,452,14,7,378,508,01110
6,03,XX,XXX,XX,03,  Babuganj Upazila,341,280,163,186,203,99,251,356,28,13,319,438,01110
6,07,XX,XXX,XX,03,  Bakerganj Upazila,95,85,77,82,30,18,104,164,3,0,146,141,01110
6,10,XX,XXX,XX,03,  Banari Para Upazila,166,170,94,135,47,34,132,236,10,3,165,307,01110
6,36,XX,XXX,XX,03,  Hizla Upazila,304,291,343,399,67,42,393,603,14,7,471,644,01110
6,51,XX,XXX,XX,03,  Barisal Sadar Upazila,224,261,322,291,56,41,380,539,7,2,456,532,01110
6,62,XX,XXX,XX,03,  Mehendiganj Upazila,55,82,95,117,10,18,83,157,1,2,112,145,01110
6,94,XX,XXX,XX,03,  Wazirpur Upazila,319,395,195,250,124,101,338,516,28,14,413,543,01110
79,14,XX,XXX,XX,03,  Bhandaria Upazila,560,608,476,596,135,112,736,1141,26,9,989,1227,01110
79,47,XX,XXX,XX,03,  Kawkhali Upazila,252,315,142,176,81,94,216,324,33,28,340,480,01110
79,58,XX,XXX,XX,03,  Mathbaria Upazila,195,163,246,242,41,14,335,482,10,1,386,552,01110
