ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,3449,3374,17,58,14188,7065,7123.0,99.0,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,3788,3744,11,33,16017,8204,7813.0,105.0,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,8078,8008,17,53,32048,15774,16274.0,97.0,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,20472,20311,19,142,85786,42940,42846.0,100.0,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,7968,7944,9,15,33396,16682,16714.0,100.0,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,6699,6646,10,43,25518,12770,12748.0,100.0,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,4485,4481,3,1,19678,9900,9778.0,101.0,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,5919,5905,5,9,25290,12193,13097.0,93.0,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,9945,9832,14,99,42299,21338,20961.0,102.0,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,5385,5366,5,14,22011,11024,10987.0,100.0,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,25286,24964,33,289,107834,55047,52787.0,104.0,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,10637,10535,11,91,45341,22966,22375.0,103.0,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,7943,7921,3,19,33094,16467,16627.0,99.0,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,6687,6647,7,33,27670,13916,13754.0,101.0,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,8507,8487,0,20,35271,17671,17600.0,100.0,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,21267,21063,23,181,85856,43405,42451.0,102.0,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,1923,1915,3,5,8290,4194,4096.0,102.0,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,5144,5103,1,40,21422,10783,10639.0,101.0,01110
