ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,88,93,251,282,531,602,90,65,480,500,106,44,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,88,73,376,366,664,637,137,121,561,577,116,76,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,52,36,777,778,1176,1184,466,415,976,1018,247,154,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,252,202,2140,2034,3512,3425,966,849,3079,3061,807,392,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,79,108,855,875,1437,1345,375,334,1290,1267,278,161,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,98,104,674,604,1160,1148,215,234,929,1072,198,102,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,93,101,620,534,1058,973,316,257,760,677,205,161,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,159,136,636,685,1303,1194,259,200,929,926,169,110,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,213,176,1072,1043,1994,1852,385,346,1606,1516,230,135,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,118,112,598,576,1090,1012,252,222,741,804,194,68,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,542,488,2398,2332,4841,4444,944,825,4281,3799,698,440,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,210,202,1106,1057,2028,1998,435,340,1530,1623,331,188,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,192,172,802,770,1464,1385,330,275,1090,1119,219,132,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,84,81,714,712,1292,1234,313,256,966,1006,210,71,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,93,97,1022,1023,1493,1469,527,436,1230,1174,247,129,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,539,443,2051,1944,4163,3868,747,627,3025,3013,606,322,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,40,59,228,210,401,355,107,57,342,320,55,33,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,93,76,602,564,847,811,283,212,810,842,172,107,01110
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,171,176,774,838,1495,1479,326,280,1074,1158,286,144,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,135,144,664,624,1278,1200,268,227,901,921,210,88,01110
41,47,XX,XXX,XX,02,  Jessore Sadar Upazila,1212,1197,4594,4555,8873,8359,1675,1462,6817,7027,1751,1041,01110
41,61,XX,XXX,XX,02,  Manirampur Upazila,47,53,801,761,1160,1122,416,396,886,947,204,87,01110
41,90,XX,XXX,XX,02,  Sharsha Upazila,191,172,1025,995,1747,1655,372,311,1270,1304,356,174,01110
1,08,XX,XXX,XX,02,  Bagerhat Sadar Upazila,235,226,1066,1091,2075,2043,404,389,1575,1628,368,306,01110
1,58,XX,XXX,XX,02,  Mongla Upazila,224,216,757,755,1798,1620,300,307,1593,1768,306,173,01110
1,60,XX,XXX,XX,02,  Morrelganj Upazila,122,99,643,624,1080,1010,258,172,830,834,178,142,01110
55,57,XX,XXX,XX,02,  Magura Sadar Upazila,292,320,2674,2563,4625,4398,1128,1014,3789,3750,664,347,01110
50,15,XX,XXX,XX,02,  Bheramara Upazila,88,74,504,473,1008,855,200,210,744,729,141,111,01110
50,63,XX,XXX,XX,02,  Khoksa Upazila,69,60,522,461,850,800,216,176,683,659,142,66,01110
50,71,XX,XXX,XX,02,  Kumarkhali Upazila,57,66,567,514,953,960,242,247,717,698,136,90,01110
50,79,XX,XXX,XX,02,  Kushtia Sadar Upazila,615,599,1791,1816,3955,3689,713,756,3294,3106,607,496,01110
50,94,XX,XXX,XX,02,  Mirpur Upazila,58,67,564,530,931,930,269,243,732,737,198,106,01110
57,47,XX,XXX,XX,02,  Gangni Upazila,96,100,626,564,1220,1039,264,230,891,877,186,85,01110
57,87,XX,XXX,XX,02,  Meherpur Sadar Upazila,182,225,946,984,1837,1737,320,275,1510,1487,327,151,01110
87,43,XX,XXX,XX,02,  Kalaroa Upazila,101,123,673,619,1149,1115,276,229,883,970,184,93,01110
87,82,XX,XXX,XX,02,  Satkhira Sadar Upazila,583,521,2648,2588,5268,4667,854,794,3955,3884,752,503,01110
42,40,XX,XXX,XX,02,  Jhalokati Sadar Upazila,335,308,1271,1244,2916,2594,430,401,2318,1949,327,290,01110
42,73,XX,XXX,XX,02,  Nalchity Upazila,216,225,764,753,1637,1687,300,283,1251,1381,286,194,01110
78,38,XX,XXX,XX,02,  Bauphal Upazila,74,44,283,288,546,574,98,100,436,476,69,50,01110
78,57,XX,XXX,XX,02,  Galachipa Upazila,56,24,558,560,901,811,334,300,790,714,211,138,01110
78,66,XX,XXX,XX,02,  Kala Para Upazila,111,102,730,666,1262,1232,231,217,966,934,262,167,01110
78,95,XX,XXX,XX,02,  Patuakhali Sadar Upazila,313,341,1459,1408,2852,2586,564,579,2428,2259,431,365,01110
6,07,XX,XXX,XX,02,  Bakerganj Upazila,103,93,384,395,889,780,133,115,647,626,105,68,01110
6,10,XX,XXX,XX,02,  Banari Para Upazila,35,33,277,250,514,476,70,57,426,336,70,36,01110
6,32,XX,XXX,XX,02,  Gaurnadi Upazila,239,278,1118,1107,2311,2044,480,378,1793,1763,369,280,01110
6,51,XX,XXX,XX,02,  Barisal Sadar Upazila,1993,2031,7563,7318,15186,13848,2967,2675,11944,11357,2813,2302,01110
6,62,XX,XXX,XX,02,  Mehendiganj Upazila,145,159,907,816,1741,1737,320,282,1102,1350,333,199,01110
6,69,XX,XXX,XX,02,  Muladi Upazila,104,123,665,643,1119,1098,270,269,807,861,267,134,01110
79,58,XX,XXX,XX,02,  Mathbaria Upazila,141,142,434,475,1004,875,146,123,778,696,140,87,01110
79,80,XX,XXX,XX,02,  Pirojpur Sadar Upazila,366,332,1508,1405,3005,2819,411,386,2349,2272,410,248,01110
79,87,XX,XXX,XX,02,  Nesarabad Upazila,83,59,457,436,939,853,202,136,1274,741,142,52,01110
9,18,XX,XXX,XX,02,  Bhola Sadar Upazila,256,243,1166,1179,2344,2148,423,507,2022,1910,354,522,01110
9,21,XX,XXX,XX,02,  Burhanuddin Upazila,46,39,433,380,655,564,222,225,535,512,131,141,01110
9,25,XX,XXX,XX,02,  Char Fasson Upazila,92,83,576,556,1116,970,223,226,809,764,161,154,01110
9,29,XX,XXX,XX,02,  Daulat Khan Upazila,62,41,578,553,855,878,316,310,634,688,257,172,01110
9,54,XX,XXX,XX,02,  Lalmohan Upazila,78,93,651,606,1101,995,343,367,865,789,224,248,01110
4,09,XX,XXX,XX,02,  Amtali Upazila,127,116,405,437,874,826,185,190,651,559,110,120,01110
4,28,XX,XXX,XX,02,  Barguna Sadar Upazila,146,137,738,746,1456,1398,236,238,1302,1087,192,141,01110
4,47,XX,XXX,XX,02,  Betagi Upazila,49,54,268,287,469,446,98,91,420,369,50,48,01110
4,85,XX,XXX,XX,02,  Patharghata Upazila,88,84,434,467,848,765,164,154,618,641,151,76,01110
52,55,XX,XXX,XX,02,  Lalmonirhat Sadar Upazila,231,199,1754,1696,2760,2634,721,717,2035,2235,520,360,01110
52,70,XX,XXX,XX,02,  Patgram Upazila,57,74,1196,1136,1691,1688,562,531,1086,1201,374,235,01110
77,25,XX,XXX,XX,02,  Boda Upazila,54,41,460,471,794,755,100,101,520,525,84,57,01110
77,73,XX,XXX,XX,02,  Panchagarh Sadar Upazila,274,199,1203,1093,2148,2017,393,383,1658,1686,456,294,01110
85,03,XX,XXX,XX,02,  Badarganj Upazila,53,64,855,731,1064,978,395,383,849,811,248,185,01110
85,42,XX,XXX,XX,02,  Kaunia Upazila,143,157,2029,1990,2754,2563,1461,1373,1873,1979,983,710,01110
85,49,XX,XXX,XX,02,  Rangpur Sadar Upazila,1500,1438,6643,6383,12819,11886,2956,3131,10711,10437,2476,2610,01110
49,52,XX,XXX,XX,02,  Kurigram Sadar Upazila,216,197,2199,2128,3193,3169,976,933,2683,2800,714,518,01110
49,61,XX,XXX,XX,02,  Nageshwari Upazila,154,154,2136,2051,2803,2675,1123,1067,2079,2194,609,424,01110
49,94,XX,XXX,XX,02,  Ulipur Upazila,70,83,1464,1395,2219,2119,642,543,1736,1648,256,190,01110
32,24,XX,XXX,XX,02,  Gaibandha Sadar Upazila,218,219,1820,1744,2995,2764,766,859,2527,2362,501,572,01110
32,30,XX,XXX,XX,02,  Gobindaganj Upazila,134,142,1166,1074,1763,1536,668,575,1191,1189,340,256,01110
32,91,XX,XXX,XX,02,  Sundarganj Upazila,49,37,590,531,759,743,303,294,556,584,172,95,01110
73,15,XX,XXX,XX,02,  Domar Upazila,78,91,498,500,870,847,257,187,554,613,152,101,01110
73,36,XX,XXX,XX,02,  Jaldhaka Upazila,138,162,1915,1794,2237,2157,980,905,1532,1614,507,356,01110
73,64,XX,XXX,XX,02,  Nilphamari Sadar Upazila,174,177,1250,1189,2122,1980,487,504,1660,1602,393,444,01110
73,85,XX,XXX,XX,02,  Saidpur Upazila,680,677,3094,3084,5881,5627,1655,1390,4339,4734,1836,1317,01110
94,82,XX,XXX,XX,02,  Pirganj Upazila,60,74,861,797,1291,1238,414,361,1055,971,208,172,01110
94,86,XX,XXX,XX,02,  Ranisankail Upazila,61,45,567,530,902,852,211,212,796,721,146,86,01110
94,94,XX,XXX,XX,02,  Thakurgaon Sadar Upazila,440,451,1882,1855,3787,3506,616,709,2947,3023,553,527,01110
27,10,XX,XXX,XX,02,  Birampur Upazila,225,204,1235,1213,1946,1977,558,516,1550,1557,375,212,01110
27,12,XX,XXX,XX,02,  Birganj Upazila,85,77,559,517,939,862,201,190,767,723,157,173,01110
27,21,XX,XXX,XX,02,  Bochaganj Upazila,94,72,748,759,1231,1085,362,313,977,927,236,141,01110
27,38,XX,XXX,XX,02,  Fulbari Upazila,171,185,869,890,1517,1499,380,295,1057,1117,249,192,01110
27,43,XX,XXX,XX,02,  Ghoraghat Upazila,95,103,709,694,1210,1081,348,304,940,812,217,102,01110
27,47,XX,XXX,XX,02,  Hakimpur Upazila,117,97,761,742,1277,1322,336,245,1470,929,254,134,01110
27,64,XX,XXX,XX,02,  Dinajpur Sadar Upazila,868,815,4158,4048,7751,7037,1551,1723,6297,6024,1483,1521,01110
27,77,XX,XXX,XX,02,  Parbatipur Upazila,86,105,755,743,1193,1170,406,361,1041,1018,273,187,01110
10,06,XX,XXX,XX,02,  Adamdighi Upazila,135,124,811,695,1211,1110,295,264,935,969,250,144,01110
10,20,XX,XXX,XX,02,  Bogra Sadar Upazila,1685,1587,8166,7723,14685,13351,3756,3574,12147,11204,2921,2261,01110
10,27,XX,XXX,XX,02,  Dhunat Upazila,46,64,413,383,714,655,209,183,481,492,109,86,01110
10,33,XX,XXX,XX,02,  Dhupchanchia Upazila,61,62,643,601,990,839,327,273,688,667,212,99,01110
10,40,XX,XXX,XX,02,  Gabtali Upazila,69,82,659,597,952,931,253,195,607,762,143,83,01110
10,54,XX,XXX,XX,02,  Kahaloo Upazila,54,45,376,378,619,573,163,140,427,440,127,35,01110
10,67,XX,XXX,XX,02,  Nandigram Upazila,95,87,466,440,848,753,316,229,634,541,263,176,01110
10,81,XX,XXX,XX,02,  Sariakandi Upazila,108,82,530,501,905,865,250,195,741,642,148,69,01110
10,85,XX,XXX,XX,02,  Shajahanpur Upazila,337,288,1482,1368,2549,2482,522,474,1924,2089,433,267,01110
10,88,XX,XXX,XX,02,  Sherpur Upazila,150,147,518,468,1131,1025,180,186,856,828,124,144,01110
10,94,XX,XXX,XX,02,  Shibganj Upazila,79,69,598,564,895,866,331,312,658,628,224,124,01110
10,95,XX,XXX,XX,02,  Sonatola Upazila,62,46,813,828,1152,1036,395,409,787,785,189,150,01110
88,11,XX,XXX,XX,02,  Belkuchi Upazila,225,184,2726,2656,3576,3324,1683,1471,2216,2353,973,633,01110
88,50,XX,XXX,XX,02,  Kazipur Upazila,49,42,418,424,664,598,180,202,469,405,53,35,01110
88,61,XX,XXX,XX,02,  Royganj Upazila,101,80,469,456,913,789,222,154,603,609,143,100,01110
88,67,XX,XXX,XX,02,  Shahjadpur Upazila,206,173,2097,2005,2904,2732,1033,899,1955,2018,752,480,01110
88,78,XX,XXX,XX,02,  Sirajganj Sadar Upazila,817,761,4076,3940,7485,7299,1986,1606,5451,5698,1631,956,01110
88,94,XX,XXX,XX,02,  Ullah Para Upazila,176,146,1480,1381,2280,2109,742,661,1700,1643,393,304,01110
81,10,XX,XXX,XX,02,  Bagha Upazila,102,118,1170,1106,1842,1728,522,453,1557,1553,315,138,01110
81,12,XX,XXX,XX,02,  Baghmara Upazila,112,102,844,825,1609,1494,371,339,1262,1214,211,106,01110
81,25,XX,XXX,XX,02,  Charghat Upazila,62,73,946,982,1499,1480,350,364,1428,1306,229,85,01110
81,25,XX,XXX,XX,02,  Charghat Upazila,62,73,946,982,1499,1480,350,364,1428,1306,229,85,01110
81,31,XX,XXX,XX,02,  Durgapur Upazila,61,61,644,630,1086,1082,251,224,942,973,129,54,01110
81,34,XX,XXX,XX,02,  Godagari Upazila,162,186,1817,1745,2981,2828,690,590,2026,2372,628,228,01110
81,53,XX,XXX,XX,02,  Mohanpur Upazila,45,53,515,456,907,863,232,216,718,697,144,53,01110
81,72,XX,XXX,XX,02,  Paba Upazila,436,389,2147,2024,4014,3875,860,723,2951,3033,745,252,01110
81,82,XX,XXX,XX,02,  Puthia Upazila,57,66,558,504,920,909,213,161,661,679,138,67,01110
81,94,XX,XXX,XX,02,  Tanore Upazila,189,205,1484,1369,2422,2395,746,578,1766,1838,494,227,01110
64,28,XX,XXX,XX,02,  Dhamoirhat Upazila,22,6,430,419,556,505,304,264,549,444,142,56,01110
64,60,XX,XXX,XX,02,  Naogaon Sadar Upazila,593,557,3618,3317,5999,5661,1780,1566,4664,4736,1143,753,01110
64,75,XX,XXX,XX,02,  Patnitala Upazila,87,80,566,466,861,844,231,170,658,649,121,85,01110
76,05,XX,XXX,XX,02,  Atgharia Upazila,57,51,376,356,590,647,165,121,441,570,105,29,01110
76,16,XX,XXX,XX,02,  Bera Upazila,167,165,1769,1779,2491,2350,898,843,1869,1823,563,357,01110
76,19,XX,XXX,XX,02,  Bhangura Upazila,86,79,624,610,960,885,302,255,719,741,169,121,01110
76,22,XX,XXX,XX,02,  Chatmohar Upazila,92,81,297,338,695,659,111,82,472,510,69,51,01110
76,33,XX,XXX,XX,02,  Faridpur Upazila,71,52,366,394,679,640,184,175,456,486,117,72,01110
76,39,XX,XXX,XX,02,  Ishwardi Upazila,337,302,1641,1438,3059,2784,593,432,2120,2297,618,385,01110
76,55,XX,XXX,XX,02,  Pabna Sadar Upazila,680,633,3070,3267,5923,5430,1254,1187,5001,4601,854,614,01110
76,72,XX,XXX,XX,02,  Santhia Upazila,120,122,1225,1305,1831,1763,676,611,1258,1242,371,212,01110
76,83,XX,XXX,XX,02,  Sujanagar Upazila,38,56,960,896,1082,1079,680,547,778,843,278,149,01110
70,37,XX,XXX,XX,02,  Gomastapur Upazila,104,101,1021,908,1637,1614,367,327,1328,1439,361,135,01110
70,56,XX,XXX,XX,02,  Nachole Upazila,53,91,517,451,852,797,236,176,638,666,198,86,01110
70,66,XX,XXX,XX,02,  Chapai Nawabganj Sadar Upazila,873,863,4546,4456,8252,8162,1890,1599,6601,7320,1972,907,01110
70,88,XX,XXX,XX,02,  Shibganj Upazila,145,172,1148,1157,1928,1888,692,540,1443,1652,502,218,01110
69,09,XX,XXX,XX,02,  Bagatipara Upazila,33,21,240,253,456,477,73,70,368,360,34,15,01110
69,15,XX,XXX,XX,02,  Baraigram Upazila,212,221,950,963,1831,1680,357,297,1341,1266,205,122,01110
69,41,XX,XXX,XX,02,  Gurudaspur Upazila,123,116,943,913,1550,1308,421,390,1029,1046,297,128,01110
69,44,XX,XXX,XX,02,  Lalpur Upazila,86,95,536,474,907,891,220,161,648,657,147,60,01110
69,63,XX,XXX,XX,02,  Natore Sadar Upazila,394,408,1975,1848,3706,3644,682,641,2999,3021,508,387,01110
69,91,XX,XXX,XX,02,  Singra Upazila,73,95,857,864,1436,1400,474,467,1128,1090,264,192,01110
38,13,XX,XXX,XX,02,  Akkelpur Upazila,67,95,705,605,1112,1053,225,194,801,756,127,83,01110
