ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,2447,893,1554,689,167,9,3,33,1049.0,162,335,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,2737,1024,1713,793,208,2,3,8,1079.0,221,423,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,7408,3101,4307,2546,378,16,9,17,3010.0,522,910,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,18154,8207,9947,6541,827,30,18,50,7043.0,1586,2059,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,7627,3295,4332,2643,285,31,16,22,3178.0,599,853,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,5606,2530,3076,2174,258,4,5,15,2238.0,337,575,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,5232,2347,2885,1857,181,7,10,35,2165.0,448,529,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,4315,1845,2470,1524,174,10,2,24,1743.0,287,551,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,6221,2685,3536,1965,426,13,5,16,2109.0,691,996,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,7430,3556,3874,3069,186,5,5,22,3058.0,460,625,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,20633,9053,11580,7327,1013,55,35,83,8275.0,1588,2257,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,8088,3403,4685,2780,447,5,7,32,3138.0,586,1093,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,7383,3209,4174,2801,254,8,3,27,3155.0,373,762,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,6947,3178,3769,2733,173,6,6,14,2829.0,425,761,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,11982,5670,6312,4727,273,16,14,38,4954.0,889,1071,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,16257,6936,9321,5435,1945,39,23,55,5398.0,1407,1955,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,1660,749,911,568,26,1,3,15,697.0,165,185,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,4289,1857,2432,1525,125,6,5,5,1771.0,321,531,01110
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,6143,2539,3604,2096,435,14,10,23,2407.0,406,752,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,5390,2200,3190,1813,260,9,2,34,2376.0,344,552,01110
41,47,XX,XXX,XX,02,  Jessore Sadar Upazila,29511,12699,16812,9620,3091,43,29,90,9744.0,2946,3948,01110
41,61,XX,XXX,XX,02,  Manirampur Upazila,5580,2465,3115,2016,269,13,7,14,2326.0,422,513,01110
41,90,XX,XXX,XX,02,  Sharsha Upazila,8678,3739,4939,3042,447,13,11,18,3515.0,666,966,01110
1,08,XX,XXX,XX,02,  Bagerhat Sadar Upazila,5290,2224,3066,1675,566,5,4,60,1617.0,484,879,01110
1,58,XX,XXX,XX,02,  Mongla Upazila,7179,3680,3499,2979,427,33,6,49,2304.0,619,762,01110
1,60,XX,XXX,XX,02,  Morrelganj Upazila,2700,1265,1435,958,102,38,5,34,1036.0,235,292,01110
55,57,XX,XXX,XX,02,  Magura Sadar Upazila,19500,8427,11073,6855,781,40,45,74,8055.0,1458,2192,01110
50,15,XX,XXX,XX,02,  Bheramara Upazila,3289,1328,1961,1041,195,3,6,11,1303.0,273,457,01110
50,63,XX,XXX,XX,02,  Khoksa Upazila,4422,1983,2439,1705,103,10,6,16,1967.0,252,363,01110
50,71,XX,XXX,XX,02,  Kumarkhali Upazila,4591,1987,2604,1663,225,8,7,17,1880.0,299,492,01110
50,79,XX,XXX,XX,02,  Kushtia Sadar Upazila,13722,5746,7976,4375,1587,39,28,52,4506.0,1280,1855,01110
50,94,XX,XXX,XX,02,  Mirpur Upazila,6460,3206,3254,2776,218,9,4,27,2597.0,394,435,01110
57,47,XX,XXX,XX,02,  Gangni Upazila,6339,2975,3364,2606,117,10,4,14,2842.0,345,401,01110
57,87,XX,XXX,XX,02,  Meherpur Sadar Upazila,7717,3367,4350,2694,379,8,11,15,3104.0,650,856,01110
87,43,XX,XXX,XX,02,  Kalaroa Upazila,5334,2175,3159,1819,215,7,3,14,2266.0,335,675,01110
87,82,XX,XXX,XX,02,  Satkhira Sadar Upazila,17435,6927,10508,5600,1601,32,24,57,6598.0,1238,2285,01110
42,40,XX,XXX,XX,02,  Jhalokati Sadar Upazila,5127,2429,2698,1554,200,26,14,44,1611.0,805,873,01110
42,73,XX,XXX,XX,02,  Nalchity Upazila,4247,1883,2364,1410,83,8,6,28,1684.0,437,591,01110
78,38,XX,XXX,XX,02,  Bauphal Upazila,1552,643,909,503,36,7,0,5,660.0,128,213,01110
78,57,XX,XXX,XX,02,  Galachipa Upazila,3139,1437,1702,1127,258,5,2,17,999.0,288,443,01110
78,66,XX,XXX,XX,02,  Kala Para Upazila,3289,1551,1738,1186,130,13,5,65,1166.0,287,437,01110
78,95,XX,XXX,XX,02,  Patuakhali Sadar Upazila,6689,2724,3965,2005,693,29,13,37,2014.0,653,1245,01110
6,07,XX,XXX,XX,02,  Bakerganj Upazila,1491,622,869,457,63,11,3,6,558.0,148,245,01110
6,10,XX,XXX,XX,02,  Banari Para Upazila,804,330,474,247,59,4,1,5,243.0,74,171,01110
6,32,XX,XXX,XX,02,  Gaurnadi Upazila,6047,2583,3464,1855,135,22,12,67,2355.0,639,962,01110
6,51,XX,XXX,XX,02,  Barisal Sadar Upazila,34627,15746,18881,11794,3176,198,55,281,10613.0,3473,5037,01110
6,62,XX,XXX,XX,02,  Mehendiganj Upazila,4763,2211,2552,1781,94,14,12,29,1939.0,387,507,01110
6,69,XX,XXX,XX,02,  Muladi Upazila,4370,2112,2258,1617,170,15,15,29,1570.0,451,503,01110
79,58,XX,XXX,XX,02,  Mathbaria Upazila,1070,494,576,322,67,3,3,20,309.0,149,197,01110
79,80,XX,XXX,XX,02,  Pirojpur Sadar Upazila,5578,2590,2988,1890,224,31,7,97,1949.0,572,808,01110
79,87,XX,XXX,XX,02,  Nesarabad Upazila,1262,558,704,376,45,1,3,3,344.0,178,312,01110
9,18,XX,XXX,XX,02,  Bhola Sadar Upazila,4834,2117,2717,1421,156,23,4,48,1842.0,625,715,01110
9,21,XX,XXX,XX,02,  Burhanuddin Upazila,2200,944,1256,696,142,6,4,7,799.0,235,311,01110
9,25,XX,XXX,XX,02,  Char Fasson Upazila,2219,980,1239,760,88,1,3,19,847.0,200,301,01110
9,29,XX,XXX,XX,02,  Daulat Khan Upazila,3901,1965,1936,1546,115,11,4,17,1346.0,391,471,01110
9,54,XX,XXX,XX,02,  Lalmohan Upazila,4355,1993,2362,1427,154,41,17,21,1628.0,504,563,01110
