ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,856,689,167,298,33,14,7,377,127,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,1001,793,208,320,61,26,0,447,147,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,2924,2546,378,1027,25,411,139,1108,214,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,7368,6541,827,2381,65,718,133,3442,629,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,2928,2643,285,1335,51,329,32,979,202,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,2432,2174,258,1006,35,101,8,1067,215,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,2038,1857,181,1148,19,152,18,557,144,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,1698,1524,174,622,10,182,35,720,129,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,2391,1965,426,824,54,147,27,994,345,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,3255,3069,186,2529,64,243,66,297,56,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,8340,7327,1013,2071,56,722,64,4534,893,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,3227,2780,447,806,12,324,75,1650,360,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,3055,2801,254,1320,27,283,33,1198,194,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,2906,2733,173,1765,31,293,44,675,98,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,5000,4727,273,2426,26,122,8,2179,239,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,7380,5435,1945,1503,70,1583,1069,2349,806,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,594,568,26,381,7,18,9,169,10,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,1650,1525,125,722,40,95,6,708,79,01110
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,2531,2096,435,370,21,108,23,1618,391,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,2073,1813,260,1126,85,165,34,522,141,01110
