ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,17,XX,XXX,XX,02,  Dacope Upazila,14188,6775,7060,353,0,0,01110
47,64,XX,XXX,XX,02,  Paikgachha Upazila,16017,11118,4580,319,0,0,01110
18,07,XX,XXX,XX,02,  Alamdanga Upazila,32048,28390,3635,0,0,23,01110
18,23,XX,XXX,XX,02,  Chuadanga Sadar Upazila,85786,82677,3075,22,5,7,01110
18,31,XX,XXX,XX,02,  Damurhuda Upazila,33396,31772,1245,46,3,330,01110
18,55,XX,XXX,XX,02,  Jiban Nagar Upazila,25518,24851,657,4,0,6,01110
65,28,XX,XXX,XX,02,  Kalia Upazila,19678,14870,4781,26,0,1,01110
65,52,XX,XXX,XX,02,  Lohagara Upazila,25290,19979,5277,0,0,34,01110
65,76,XX,XXX,XX,02,  Narail Sadar Upazila,42299,31570,10685,44,0,0,01110
44,14,XX,XXX,XX,02,  Harinakundu Upazila,22011,20214,1790,7,0,0,01110
44,19,XX,XXX,XX,02,  Jhenaidah Sadar Upazila,107834,94064,13701,66,3,0,01110
44,33,XX,XXX,XX,02,  Kaliganj Upazila,45341,36484,8387,467,0,3,01110
44,42,XX,XXX,XX,02,  Kotchandpur Upazila,33094,28762,4241,0,0,91,01110
44,71,XX,XXX,XX,02,  Maheshpur Upazila,27670,24711,2855,2,0,102,01110
44,80,XX,XXX,XX,02,  Shailkupa Upazila,35271,31229,4022,4,1,15,01110
41,04,XX,XXX,XX,02,  Abhaynagar Upazila,85856,77481,8133,236,5,1,01110
41,09,XX,XXX,XX,02,  Bagherpara Upazila,8290,6971,1210,4,0,105,01110
41,11,XX,XXX,XX,02,  Chaugachha Upazila,21422,18827,2594,0,0,1,01110
41,23,XX,XXX,XX,02,  Jhikargachha Upazila,32774,30271,2483,15,0,5,01110
41,38,XX,XXX,XX,02,  Keshabpur Upazila,26229,21888,4201,136,0,4,01110
41,47,XX,XXX,XX,02,  Jessore Sadar Upazila,217337,192470,23927,855,76,9,01110
41,61,XX,XXX,XX,02,  Manirampur Upazila,28138,21560,6557,10,0,11,01110
41,90,XX,XXX,XX,02,  Sharsha Upazila,36524,35524,991,3,6,0,01110
1,08,XX,XXX,XX,02,  Bagerhat Sadar Upazila,49073,38759,10284,21,4,5,01110
1,58,XX,XXX,XX,02,  Mongla Upazila,39837,35285,2802,1734,16,0,01110
1,60,XX,XXX,XX,02,  Morrelganj Upazila,21741,19536,2179,21,0,5,01110
55,57,XX,XXX,XX,02,  Magura Sadar Upazila,98355,82627,15575,144,6,3,01110
50,15,XX,XXX,XX,02,  Bheramara Upazila,22124,20299,1784,5,36,0,01110
50,63,XX,XXX,XX,02,  Khoksa Upazila,17607,15680,1916,11,0,0,01110
50,71,XX,XXX,XX,02,  Kumarkhali Upazila,21914,19264,2648,0,0,2,01110
50,79,XX,XXX,XX,02,  Kushtia Sadar Upazila,102988,92523,9945,130,29,361,01110
50,94,XX,XXX,XX,02,  Mirpur Upazila,22417,20267,2142,0,3,5,01110
57,47,XX,XXX,XX,02,  Gangni Upazila,25500,24853,468,155,0,24,01110
57,87,XX,XXX,XX,02,  Meherpur Sadar Upazila,43133,40862,2175,90,1,5,01110
87,43,XX,XXX,XX,02,  Kalaroa Upazila,27250,24579,2650,21,0,0,01110
87,82,XX,XXX,XX,02,  Satkhira Sadar Upazila,113322,101274,11408,632,8,0,01110
42,40,XX,XXX,XX,02,  Jhalokati Sadar Upazila,54029,45332,8683,0,6,8,01110
42,73,XX,XXX,XX,02,  Nalchity Upazila,30805,29064,1734,7,0,0,01110
78,38,XX,XXX,XX,02,  Bauphal Upazila,11435,9017,2411,5,2,0,01110
78,57,XX,XXX,XX,02,  Galachipa Upazila,21200,17263,3927,8,1,1,01110
78,66,XX,XXX,XX,02,  Kala Para Upazila,26509,23206,3114,29,159,1,01110
78,95,XX,XXX,XX,02,  Patuakhali Sadar Upazila,65000,55955,8984,9,43,9,01110
6,07,XX,XXX,XX,02,  Bakerganj Upazila,15418,13385,2033,0,0,0,01110
6,10,XX,XXX,XX,02,  Banari Para Upazila,10366,8342,2021,3,0,0,01110
6,32,XX,XXX,XX,02,  Gaurnadi Upazila,42438,37002,5105,309,19,3,01110
6,51,XX,XXX,XX,02,  Barisal Sadar Upazila,328278,293155,31832,3228,57,6,01110
6,62,XX,XXX,XX,02,  Mehendiganj Upazila,30067,26345,3719,3,0,0,01110
6,69,XX,XXX,XX,02,  Muladi Upazila,20490,19453,1028,1,8,0,01110
79,58,XX,XXX,XX,02,  Mathbaria Upazila,18375,15395,2966,6,8,0,01110
79,80,XX,XXX,XX,02,  Pirojpur Sadar Upazila,60056,49569,10475,10,2,0,01110
79,87,XX,XXX,XX,02,  Nesarabad Upazila,20019,18107,1905,1,6,0,01110
9,18,XX,XXX,XX,02,  Bhola Sadar Upazila,47477,41133,6318,23,3,0,01110
9,21,XX,XXX,XX,02,  Burhanuddin Upazila,13110,11818,1283,9,0,0,01110
9,25,XX,XXX,XX,02,  Char Fasson Upazila,19595,16851,2744,0,0,0,01110
9,29,XX,XXX,XX,02,  Daulat Khan Upazila,16728,15413,1314,0,1,0,01110
9,54,XX,XXX,XX,02,  Lalmohan Upazila,20522,19325,1193,4,0,0,01110
4,09,XX,XXX,XX,02,  Amtali Upazila,17311,15063,2241,0,6,1,01110
4,28,XX,XXX,XX,02,  Barguna Sadar Upazila,32235,26320,5883,13,17,2,01110
4,47,XX,XXX,XX,02,  Betagi Upazila,10204,8285,1919,0,0,0,01110
4,85,XX,XXX,XX,02,  Patharghata Upazila,17177,15203,1973,0,0,1,01110
52,55,XX,XXX,XX,02,  Lalmonirhat Sadar Upazila,60322,51978,8085,257,1,1,01110
52,70,XX,XXX,XX,02,  Patgram Upazila,30565,29188,1375,2,0,0,01110
77,25,XX,XXX,XX,02,  Boda Upazila,14787,13212,1558,7,0,10,01110
77,73,XX,XXX,XX,02,  Panchagarh Sadar Upazila,45589,43620,1947,17,4,1,01110
85,03,XX,XXX,XX,02,  Badarganj Upazila,25286,18614,6547,19,3,103,01110
85,42,XX,XXX,XX,02,  Kaunia Upazila,61425,61299,118,8,0,0,01110
85,49,XX,XXX,XX,02,  Rangpur Sadar Upazila,300659,278591,21608,127,56,277,01110
49,52,XX,XXX,XX,02,  Kurigram Sadar Upazila,77252,71679,5516,50,1,6,01110
49,61,XX,XXX,XX,02,  Nageshwari Upazila,62289,58347,3934,7,0,1,01110
49,94,XX,XXX,XX,02,  Ulipur Upazila,45933,40749,5167,0,1,16,01110
32,24,XX,XXX,XX,02,  Gaibandha Sadar Upazila,67833,60223,7594,16,0,0,01110
32,30,XX,XXX,XX,02,  Gobindaganj Upazila,38415,33191,5199,25,0,0,01110
32,91,XX,XXX,XX,02,  Sundarganj Upazila,17168,13536,3632,0,0,0,01110
73,15,XX,XXX,XX,02,  Domar Upazila,17027,15254,1773,0,0,0,01110
73,36,XX,XXX,XX,02,  Jaldhaka Upazila,46211,39421,6741,12,1,36,01110
73,64,XX,XXX,XX,02,  Nilphamari Sadar Upazila,45386,38903,6138,170,7,168,01110
73,85,XX,XXX,XX,02,  Saidpur Upazila,127104,122522,4257,277,14,34,01110
94,82,XX,XXX,XX,02,  Pirganj Upazila,27700,25169,2389,39,0,103,01110
94,86,XX,XXX,XX,02,  Ranisankail Upazila,17762,14464,3205,57,0,36,01110
94,94,XX,XXX,XX,02,  Thakurgaon Sadar Upazila,80589,70454,9051,375,118,591,01110
27,10,XX,XXX,XX,02,  Birampur Upazila,45334,40797,3302,544,0,691,01110
27,12,XX,XXX,XX,02,  Birganj Upazila,19467,15221,3868,196,1,181,01110
27,21,XX,XXX,XX,02,  Bochaganj Upazila,27335,21767,5345,18,8,197,01110
27,38,XX,XXX,XX,02,  Fulbari Upazila,34786,30516,4031,40,0,199,01110
27,43,XX,XXX,XX,02,  Ghoraghat Upazila,22717,18888,1968,701,6,1154,01110
27,47,XX,XXX,XX,02,  Hakimpur Upazila,28411,25452,2159,375,0,425,01110
27,64,XX,XXX,XX,02,  Dinajpur Sadar Upazila,186727,160659,22382,3226,29,431,01110
27,77,XX,XXX,XX,02,  Parbatipur Upazila,29143,26512,2396,38,3,194,01110
10,06,XX,XXX,XX,02,  Adamdighi Upazila,31037,28299,2726,12,0,0,01110
10,20,XX,XXX,XX,02,  Bogra Sadar Upazila,350397,326939,22758,618,55,27,01110
10,27,XX,XXX,XX,02,  Dhunat Upazila,14206,12189,2009,8,0,0,01110
10,33,XX,XXX,XX,02,  Dhupchanchia Upazila,22406,19242,3160,4,0,0,01110
10,40,XX,XXX,XX,02,  Gabtali Upazila,21455,20818,637,0,0,0,01110
10,54,XX,XXX,XX,02,  Kahaloo Upazila,13887,12721,1166,0,0,0,01110
10,67,XX,XXX,XX,02,  Nandigram Upazila,18496,16709,1787,0,0,0,01110
10,81,XX,XXX,XX,02,  Sariakandi Upazila,18543,16835,1707,1,0,0,01110
10,85,XX,XXX,XX,02,  Shajahanpur Upazila,62140,58995,3060,32,34,19,01110
