ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,12,XX,XXX,XX,01,  Batiaghata Upazila,38871,164016,164003,13,01110
47,17,XX,XXX,XX,01,  Dacope Upazila,33148,138128,138000,128,01110
47,30,XX,XXX,XX,01,  Dumuria Upazila,67399,285847,285766,81,01110
47,40,XX,XXX,XX,01,  Dighalia Upazila,26797,115585,115547,38,01110
47,53,XX,XXX,XX,01,  Koyra Upazila,43063,182337,182313,24,01110
47,64,XX,XXX,XX,01,  Paikgachha Upazila,56085,231966,231935,31,01110
47,69,XX,XXX,XX,01,  Phultala Upazila,12165,52300,52299,1,01110
47,75,XX,XXX,XX,01,  Rupsa Upazila,41895,179519,179513,6,01110
47,94,XX,XXX,XX,01,  Terokhada Upazila,23647,104732,104722,10,01110
18,07,XX,XXX,XX,01,  Alamdanga Upazila,66929,267550,267536,14,01110
18,23,XX,XXX,XX,01,  Chuadanga Sadar Upazila,46217,185070,185062,8,01110
18,31,XX,XXX,XX,01,  Damurhuda Upazila,55223,228809,228808,1,01110
18,55,XX,XXX,XX,01,  Jiban Nagar Upazila,34372,141429,141429,0,01110
65,28,XX,XXX,XX,01,  Kalia Upazila,40665,184458,184428,30,01110
65,52,XX,XXX,XX,01,  Lohagara Upazila,45314,203304,203235,69,01110
65,76,XX,XXX,XX,01,  Narail Sadar Upazila,50798,221554,221537,17,01110
44,14,XX,XXX,XX,01,  Harinakundu Upazila,41284,169448,169433,15,01110
44,19,XX,XXX,XX,01,  Jhenaidah Sadar Upazila,82961,345391,345317,74,01110
44,33,XX,XXX,XX,01,  Kaliganj Upazila,57204,237025,237012,13,01110
44,42,XX,XXX,XX,01,  Kotchandpur Upazila,26306,108027,108011,16,01110
44,71,XX,XXX,XX,01,  Maheshpur Upazila,73074,304844,304807,37,01110
44,80,XX,XXX,XX,01,  Shailkupa Upazila,74841,326377,326373,4,01110
41,04,XX,XXX,XX,01,  Abhaynagar Upazila,40922,176578,176578,0,01110
41,09,XX,XXX,XX,01,  Bagherpara Upazila,48048,208607,208578,29,01110
41,11,XX,XXX,XX,01,  Chaugachha Upazila,51296,209948,209931,17,01110
41,23,XX,XXX,XX,01,  Jhikargachha Upazila,62193,257469,257417,52,01110
41,38,XX,XXX,XX,01,  Keshabpur Upazila,54098,219511,219461,50,01110
41,47,XX,XXX,XX,01,  Jessore Sadar Upazila,112384,489879,489859,20,01110
41,61,XX,XXX,XX,01,  Manirampur Upazila,94222,389283,389171,112,01110
41,90,XX,XXX,XX,01,  Sharsha Upazila,73035,299720,299644,76,01110
1,08,XX,XXX,XX,01,  Bagerhat Sadar Upazila,52040,217316,217298,18,01110
1,14,XX,XXX,XX,01,  Chitalmari Upazila,29931,137538,137482,56,01110
1,34,XX,XXX,XX,01,  Fakirhat Upazila,26659,110808,110796,12,01110
1,38,XX,XXX,XX,01,  Kachua Upazila,20905,87538,87499,39,01110
1,56,XX,XXX,XX,01,  Mollahat Upazila,25841,118004,117991,13,01110
1,58,XX,XXX,XX,01,  Mongla Upazila,23456,96751,95134,1617,01110
1,60,XX,XXX,XX,01,  Morrelganj Upazila,69482,267446,267298,148,01110
1,73,XX,XXX,XX,01,  Rampal Upazila,37720,153245,153228,17,01110
1,77,XX,XXX,XX,01,  Sarankhola Upazila,22163,92113,91804,309,01110
55,57,XX,XXX,XX,01,  Magura Sadar Upazila,64057,281752,281737,15,01110
55,66,XX,XXX,XX,01,  Mohammadpur Upazila,42660,197895,197884,11,01110
55,85,XX,XXX,XX,01,  Shalikha Upazila,35257,156503,156472,31,01110
55,95,XX,XXX,XX,01,  Sreepur Upazila,36812,161855,161855,0,01110
50,15,XX,XXX,XX,01,  Bheramara Upazila,40210,169337,169300,37,01110
50,39,XX,XXX,XX,01,  Daulatpur Upazila,110719,436926,436896,30,01110
50,63,XX,XXX,XX,01,  Khoksa Upazila,26840,107361,107339,22,01110
50,71,XX,XXX,XX,01,  Kumarkhali Upazila,73732,306543,306426,117,01110
50,79,XX,XXX,XX,01,  Kushtia Sadar Upazila,95690,393832,393798,34,01110
50,94,XX,XXX,XX,01,  Mirpur Upazila,74716,297313,297307,6,01110
57,47,XX,XXX,XX,01,  Gangni Upazila,69929,269368,269364,4,01110
57,60,XX,XXX,XX,01,  Mujib Nagar Upazila,22103,89122,89035,87,01110
