ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,12,XX,XXX,XX,01,  Batiaghata Upazila,38871,38757,22,92,164016,82889,81127.0,102.0,01110
47,17,XX,XXX,XX,01,  Dacope Upazila,33148,32995,12,141,138128,69226,68902.0,100.0,01110
47,30,XX,XXX,XX,01,  Dumuria Upazila,67399,67210,21,168,285847,143071,142776.0,100.0,01110
47,40,XX,XXX,XX,01,  Dighalia Upazila,26797,26601,15,181,115585,59220,56365.0,105.0,01110
47,53,XX,XXX,XX,01,  Koyra Upazila,43063,42977,8,78,182337,89628,92709.0,97.0,01110
47,64,XX,XXX,XX,01,  Paikgachha Upazila,56085,55945,23,117,231966,115696,116270.0,100.0,01110
47,69,XX,XXX,XX,01,  Phultala Upazila,12165,12158,3,4,52300,25984,26316.0,99.0,01110
47,75,XX,XXX,XX,01,  Rupsa Upazila,41895,41763,34,98,179519,90189,89330.0,101.0,01110
47,94,XX,XXX,XX,01,  Terokhada Upazila,23647,23573,12,62,104732,52306,52426.0,100.0,01110
18,07,XX,XXX,XX,01,  Alamdanga Upazila,66929,66892,15,22,267550,133996,133554.0,100.0,01110
18,23,XX,XXX,XX,01,  Chuadanga Sadar Upazila,46217,46179,10,28,185070,92361,92709.0,100.0,01110
18,31,XX,XXX,XX,01,  Damurhuda Upazila,55223,55182,27,14,228809,114887,113922.0,101.0,01110
18,55,XX,XXX,XX,01,  Jiban Nagar Upazila,34372,34353,6,13,141429,70722,70707.0,100.0,01110
65,28,XX,XXX,XX,01,  Kalia Upazila,40665,40590,14,61,184458,91148,93310.0,98.0,01110
65,52,XX,XXX,XX,01,  Lohagara Upazila,45314,45249,19,46,203304,97257,106047.0,92.0,01110
65,76,XX,XXX,XX,01,  Narail Sadar Upazila,50798,50764,19,15,221554,109216,112338.0,97.0,01110
44,14,XX,XXX,XX,01,  Harinakundu Upazila,41284,41232,5,47,169448,85137,84311.0,101.0,01110
44,19,XX,XXX,XX,01,  Jhenaidah Sadar Upazila,82961,82720,42,199,345391,171766,173625.0,99.0,01110
44,33,XX,XXX,XX,01,  Kaliganj Upazila,57204,57161,16,27,237025,118321,118704.0,100.0,01110
44,42,XX,XXX,XX,01,  Kotchandpur Upazila,26306,26299,4,3,108027,54118,53909.0,100.0,01110
44,71,XX,XXX,XX,01,  Maheshpur Upazila,73074,73045,7,22,304844,152375,152469.0,100.0,01110
44,80,XX,XXX,XX,01,  Shailkupa Upazila,74841,74707,39,95,326377,163128,163249.0,100.0,01110
41,04,XX,XXX,XX,01,  Abhaynagar Upazila,40922,40893,12,17,176578,88441,88137.0,100.0,01110
41,09,XX,XXX,XX,01,  Bagherpara Upazila,48048,47917,8,123,208607,103374,105233.0,98.0,01110
41,11,XX,XXX,XX,01,  Chaugachha Upazila,51296,51248,8,40,209948,105124,104824.0,100.0,01110
41,23,XX,XXX,XX,01,  Jhikargachha Upazila,62193,62135,19,39,257469,126756,130713.0,97.0,01110
41,38,XX,XXX,XX,01,  Keshabpur Upazila,54098,54059,11,28,219511,109709,109802.0,100.0,01110
41,47,XX,XXX,XX,01,  Jessore Sadar Upazila,112384,112052,104,228,489879,246596,243283.0,101.0,01110
41,61,XX,XXX,XX,01,  Manirampur Upazila,94222,94056,85,81,389283,192627,196656.0,98.0,01110
41,90,XX,XXX,XX,01,  Sharsha Upazila,73035,72977,19,39,299720,148940,150780.0,99.0,01110
1,08,XX,XXX,XX,01,  Bagerhat Sadar Upazila,52040,51987,22,31,217316,109089,108227.0,101.0,01110
1,14,XX,XXX,XX,01,  Chitalmari Upazila,29931,29893,13,25,137538,68786,68752.0,100.0,01110
1,34,XX,XXX,XX,01,  Fakirhat Upazila,26659,26624,13,22,110808,55658,55150.0,101.0,01110
1,38,XX,XXX,XX,01,  Kachua Upazila,20905,20869,8,28,87538,43124,44414.0,97.0,01110
1,56,XX,XXX,XX,01,  Mollahat Upazila,25841,25775,29,37,118004,58750,59254.0,99.0,01110
1,58,XX,XXX,XX,01,  Mongla Upazila,23456,23297,21,138,96751,49885,46866.0,106.0,01110
1,60,XX,XXX,XX,01,  Morrelganj Upazila,69482,69188,21,273,267446,129759,137687.0,94.0,01110
1,73,XX,XXX,XX,01,  Rampal Upazila,37720,37624,28,68,153245,76602,76643.0,100.0,01110
1,77,XX,XXX,XX,01,  Sarankhola Upazila,22163,19916,13,2234,92113,49108,43005.0,114.0,01110
55,57,XX,XXX,XX,01,  Magura Sadar Upazila,64057,63968,26,63,281752,140048,141704.0,99.0,01110
55,66,XX,XXX,XX,01,  Mohammadpur Upazila,42660,42619,14,27,197895,97116,100779.0,96.0,01110
55,85,XX,XXX,XX,01,  Shalikha Upazila,35257,35225,9,23,156503,77831,78672.0,99.0,01110
55,95,XX,XXX,XX,01,  Sreepur Upazila,36812,36781,11,20,161855,79600,82255.0,97.0,01110
50,15,XX,XXX,XX,01,  Bheramara Upazila,40210,40165,10,35,169337,83658,85679.0,98.0,01110
50,39,XX,XXX,XX,01,  Daulatpur Upazila,110719,110618,20,81,436926,218013,218913.0,100.0,01110
50,63,XX,XXX,XX,01,  Khoksa Upazila,26840,26827,5,8,107361,53392,53969.0,99.0,01110
50,71,XX,XXX,XX,01,  Kumarkhali Upazila,73732,73678,4,50,306543,152637,153906.0,99.0,01110
50,79,XX,XXX,XX,01,  Kushtia Sadar Upazila,95690,95546,24,120,393832,197914,195918.0,101.0,01110
50,94,XX,XXX,XX,01,  Mirpur Upazila,74716,74662,12,42,297313,148920,148393.0,100.0,01110
57,47,XX,XXX,XX,01,  Gangni Upazila,69929,69866,10,53,269368,133199,136169.0,98.0,01110
57,60,XX,XXX,XX,01,  Mujib Nagar Upazila,22103,22090,7,6,89122,44201,44921.0,98.0,01110
57,87,XX,XXX,XX,01,  Meherpur Sadar Upazila,53712,53675,14,23,213509,105516,107993.0,98.0,01110
87,04,XX,XXX,XX,01,  Assasuni Upazila,60017,59952,11,54,260169,129677,130492.0,99.0,01110
87,25,XX,XXX,XX,01,  Debhata Upazila,29110,29059,11,40,122577,61066,61511.0,99.0,01110
87,43,XX,XXX,XX,01,  Kalaroa Upazila,52207,52180,12,15,208709,102314,106395.0,96.0,01110
87,47,XX,XXX,XX,01,  Kaliganj Upazila,61052,60950,23,79,258026,127492,130534.0,98.0,01110
87,82,XX,XXX,XX,01,  Satkhira Sadar Upazila,82209,82087,33,89,347570,173012,174558.0,99.0,01110
87,86,XX,XXX,XX,01,  Shyamnagar Upazila,68340,68193,18,129,301000,144832,156168.0,93.0,01110
87,90,XX,XXX,XX,01,  Tala Upazila,70105,70049,13,43,290292,144637,145655.0,99.0,01110
42,40,XX,XXX,XX,01,  Jhalokati Sadar Upazila,37734,37667,13,54,161444,77517,83927.0,92.0,01110
42,43,XX,XXX,XX,01,  Kanthalia Upazila,28253,28170,4,79,114110,55551,58559.0,95.0,01110
42,73,XX,XXX,XX,01,  Nalchity Upazila,36013,35888,24,101,162751,77425,85326.0,91.0,01110
42,84,XX,XXX,XX,01,  Rajapur Upazila,30302,30226,16,60,132361,63270,69091.0,92.0,01110
78,38,XX,XXX,XX,01,  Bauphal Upazila,64128,63988,11,129,287368,136223,151145.0,90.0,01110
78,52,XX,XXX,XX,01,  Dashmina Upazila,24252,24224,3,25,104136,50857,53279.0,95.0,01110
78,55,XX,XXX,XX,01,  Dumki Upazila,12995,12972,6,17,58455,27633,30822.0,90.0,01110
78,57,XX,XXX,XX,01,  Galachipa Upazila,73926,73797,22,107,335601,166406,169195.0,98.0,01110
78,66,XX,XXX,XX,01,  Kala Para Upazila,48968,48772,20,176,202477,102129,100348.0,102.0,01110
78,76,XX,XXX,XX,01,  Mirzaganj Upazila,23154,23124,6,24,99310,48076,51234.0,94.0,01110
78,95,XX,XXX,XX,01,  Patuakhali Sadar Upazila,53808,53728,21,59,246625,119400,127225.0,94.0,01110
6,02,XX,XXX,XX,01,  Agailjhara Upazila,30434,30375,13,46,138599,67024,71575.0,94.0,01110
6,03,XX,XXX,XX,01,  Babuganj Upazila,29472,29429,16,27,130514,62675,67839.0,92.0,01110
6,07,XX,XXX,XX,01,  Bakerganj Upazila,67241,67141,30,70,294353,139273,155080.0,90.0,01110
6,10,XX,XXX,XX,01,  Banari Para Upazila,30278,30241,11,26,131306,64593,66713.0,97.0,01110
6,32,XX,XXX,XX,01,  Gaurnadi Upazila,32144,32107,9,28,146148,71004,75144.0,94.0,01110
6,36,XX,XXX,XX,01,  Hizla Upazila,27525,27434,10,81,131893,65770,66123.0,99.0,01110
6,51,XX,XXX,XX,01,  Barisal Sadar Upazila,39774,39714,21,39,187709,92227,95482.0,97.0,01110
6,62,XX,XXX,XX,01,  Mehendiganj Upazila,58107,58055,9,43,267244,130677,136567.0,96.0,01110
6,69,XX,XXX,XX,01,  Muladi Upazila,33866,33821,19,26,154285,72330,81955.0,88.0,01110
6,94,XX,XXX,XX,01,  Wazirpur Upazila,50364,50241,23,100,223243,107779,115464.0,93.0,01110
79,14,XX,XXX,XX,01,  Bhandaria Upazila,28559,28492,24,43,122899,59714,63185.0,95.0,01110
79,47,XX,XXX,XX,01,  Kawkhali Upazila,13867,13848,6,13,60489,30149,30340.0,99.0,01110
79,58,XX,XXX,XX,01,  Mathbaria Upazila,54386,54181,9,196,233990,114512,119478.0,96.0,01110
79,76,XX,XXX,XX,01,  Nazirpur Upazila,39581,39536,13,32,175678,87259,88419.0,99.0,01110
79,80,XX,XXX,XX,01,  Pirojpur Sadar Upazila,24371,24310,17,44,103414,50656,52758.0,96.0,01110
79,87,XX,XXX,XX,01,  Nesarabad Upazila,38337,38266,9,62,163008,79324,83684.0,95.0,01110
79,90,XX,XXX,XX,01,  Zianagar Upazila,15810,15765,15,30,71148,34944,36204.0,97.0,01110
9,18,XX,XXX,XX,01,  Bhola Sadar Upazila,70453,70289,18,146,343277,170197,173080.0,98.0,01110
9,21,XX,XXX,XX,01,  Burhanuddin Upazila,40479,40398,8,73,195459,95974,99485.0,96.0,01110
9,25,XX,XXX,XX,01,  Char Fasson Upazila,85756,85655,15,86,413522,206886,206636.0,100.0,01110
9,29,XX,XXX,XX,01,  Daulat Khan Upazila,31440,31407,5,28,151839,74834,77005.0,97.0,01110
9,54,XX,XXX,XX,01,  Lalmohan Upazila,53413,53372,4,37,247823,120972,126851.0,95.0,01110
9,65,XX,XXX,XX,01,  Manpura Upazila,16869,16807,5,57,75559,38227,37332.0,102.0,01110
9,91,XX,XXX,XX,01,  Tazumuddin Upazila,24184,24149,4,31,105999,54335,51664.0,105.0,01110
4,09,XX,XXX,XX,01,  Amtali Upazila,58128,58015,18,95,248994,121263,127731.0,95.0,01110
4,19,XX,XXX,XX,01,  Bamna Upazila,17753,17735,7,11,71820,35609,36211.0,98.0,01110
4,28,XX,XXX,XX,01,  Barguna Sadar Upazila,54733,54609,30,94,229108,111883,117225.0,95.0,01110
4,47,XX,XXX,XX,01,  Betagi Upazila,24753,24646,16,91,104359,50276,54083.0,93.0,01110
4,85,XX,XXX,XX,01,  Patharghata Upazila,35693,35559,14,120,135406,66313,69093.0,96.0,01110
52,02,XX,XXX,XX,01,  Aditmari Upazila,47670,47644,13,13,205441,102520,102921.0,100.0,01110
52,33,XX,XXX,XX,01,  Hatibandha Upazila,53122,53037,33,52,233927,116856,117071.0,100.0,01110
52,39,XX,XXX,XX,01,  Kaligang Upazila,53871,53823,15,33,226628,112694,113934.0,99.0,01110
52,55,XX,XXX,XX,01,  Lalmonirhat Sadar Upazila,65250,65175,20,55,272844,136267,136577.0,100.0,01110
52,70,XX,XXX,XX,01,  Patgram Upazila,41514,41447,15,52,188050,95221,92829.0,103.0,01110
77,04,XX,XXX,XX,01,  Atwari Upazila,29259,29208,10,41,122376,61047,61329.0,100.0,01110
77,25,XX,XXX,XX,01,  Boda Upazila,51634,51582,10,42,215094,107975,107119.0,101.0,01110
77,34,XX,XXX,XX,01,  Debiganj Upazila,49006,48933,13,60,209408,105362,104046.0,101.0,01110
77,73,XX,XXX,XX,01,  Panchagarh Sadar Upazila,49911,49853,25,33,225669,113407,112262.0,101.0,01110
77,90,XX,XXX,XX,01,  Tentulia Upazila,26589,26540,18,31,119948,60703,59245.0,102.0,01110
85,03,XX,XXX,XX,01,  Badarganj Upazila,65693,65590,23,80,262460,131328,131132.0,100.0,01110
85,27,XX,XXX,XX,01,  Gangachara Upazila,70402,70354,15,33,285524,144009,141515.0,102.0,01110
85,42,XX,XXX,XX,01,  Kaunia Upazila,41549,41494,6,49,166380,82561,83819.0,98.0,01110
85,49,XX,XXX,XX,01,  Rangpur Sadar Upazila,100132,99944,51,137,417544,210678,206866.0,102.0,01110
85,58,XX,XXX,XX,01,  Mithapukur Upazila,133329,133209,19,101,501071,248699,252372.0,99.0,01110
85,73,XX,XXX,XX,01,  Pirgachha Upazila,79104,78976,25,103,300282,147175,153107.0,96.0,01110
85,76,XX,XXX,XX,01,  Pirganj Upazila,97920,97817,31,72,370506,184380,186126.0,99.0,01110
85,92,XX,XXX,XX,01,  Taraganj Upazila,32255,32187,15,53,134606,67823,66783.0,102.0,01110
49,06,XX,XXX,XX,01,  Bhurungamari Upazila,50378,50335,9,34,201855,98597,103258.0,95.0,01110
49,08,XX,XXX,XX,01,  Char Rajibpur Upazila,13704,13691,1,12,58676,28154,30522.0,92.0,01110
49,09,XX,XXX,XX,01,  Chilmari Upazila,19748,19738,0,10,77626,37534,40092.0,94.0,01110
