ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,12,XX,XXX,XX,01,  Batiaghata Upazila,411,422,4411,4181,6671,6447,2245,1986,5896,5524,1538,870,01110
47,17,XX,XXX,XX,01,  Dacope Upazila,491,523,3305,3111,5965,5782,1278,1163,5088,4943,1022,661,01110
47,30,XX,XXX,XX,01,  Dumuria Upazila,1112,1104,7373,7211,12906,12239,2912,2638,9858,9646,1729,1033,01110
47,40,XX,XXX,XX,01,  Dighalia Upazila,416,397,3219,3039,5712,5539,1275,1110,4490,4609,1052,547,01110
47,53,XX,XXX,XX,01,  Koyra Upazila,614,606,5641,5301,9085,8718,2289,1987,7260,7504,1675,884,01110
47,64,XX,XXX,XX,01,  Paikgachha Upazila,593,593,6088,5786,9570,9350,2720,2474,8762,8533,1840,1038,01110
47,69,XX,XXX,XX,01,  Phultala Upazila,153,132,1421,1350,2499,2476,500,432,1905,1926,345,152,01110
47,75,XX,XXX,XX,01,  Rupsa Upazila,764,756,4884,4651,8466,8303,1989,1746,6273,6663,1968,995,01110
47,94,XX,XXX,XX,01,  Terokhada Upazila,444,403,3834,3632,6116,5867,1877,1672,3729,3850,1250,663,01110
18,07,XX,XXX,XX,01,  Alamdanga Upazila,385,386,8002,7807,10913,10819,4388,3881,8844,8913,2444,1004,01110
18,23,XX,XXX,XX,01,  Chuadanga Sadar Upazila,267,277,5701,5456,7912,7577,2821,2619,5733,6199,2436,1226,01110
18,31,XX,XXX,XX,01,  Damurhuda Upazila,442,412,6910,6687,10342,10094,3428,2971,8146,8647,2389,942,01110
18,55,XX,XXX,XX,01,  Jiban Nagar Upazila,304,295,4245,4165,6084,6127,1968,1718,5167,5620,1484,573,01110
65,28,XX,XXX,XX,01,  Kalia Upazila,488,478,6806,6638,10826,10409,3137,2693,7244,7321,2031,1157,01110
65,52,XX,XXX,XX,01,  Lohagara Upazila,645,555,7202,7137,11641,11135,2669,2504,7824,8237,1706,938,01110
65,76,XX,XXX,XX,01,  Narail Sadar Upazila,677,620,7142,6752,11390,10937,2550,2153,8006,8472,1613,722,01110
44,14,XX,XXX,XX,01,  Harinakundu Upazila,361,351,5109,4875,7620,7664,2457,2030,5938,6193,1304,547,01110
44,19,XX,XXX,XX,01,  Jhenaidah Sadar Upazila,851,882,10021,9895,16208,15983,4417,3796,12230,12850,2668,1188,01110
44,33,XX,XXX,XX,01,  Kaliganj Upazila,664,652,6960,6949,11405,10829,2860,2597,8300,8844,1715,942,01110
44,42,XX,XXX,XX,01,  Kotchandpur Upazila,263,329,3220,3048,5033,4888,1424,1187,3888,3908,799,390,01110
44,71,XX,XXX,XX,01,  Maheshpur Upazila,706,735,9017,8692,13700,13854,4654,3950,11656,12504,2901,1298,01110
44,80,XX,XXX,XX,01,  Shailkupa Upazila,641,561,9828,9961,14957,15036,4290,3834,11524,11317,2145,1029,01110
41,04,XX,XXX,XX,01,  Abhaynagar Upazila,627,613,4896,4712,8612,8125,1777,1470,6504,6577,1064,481,01110
41,09,XX,XXX,XX,01,  Bagherpara Upazila,587,616,6030,5963,9646,9459,2673,2268,8082,8390,1650,608,01110
41,11,XX,XXX,XX,01,  Chaugachha Upazila,677,679,6133,5937,9803,9448,2264,1979,8416,8319,1385,596,01110
41,23,XX,XXX,XX,01,  Jhikargachha Upazila,1038,1062,7534,7283,12470,11720,2645,2410,9419,9704,1866,880,01110
41,38,XX,XXX,XX,01,  Keshabpur Upazila,895,888,6060,6037,10864,9948,2241,1927,8298,8004,1270,663,01110
41,47,XX,XXX,XX,01,  Jessore Sadar Upazila,2108,2174,13599,13072,23701,22884,4915,4144,17978,19199,4031,1648,01110
41,61,XX,XXX,XX,01,  Manirampur Upazila,1442,1374,11083,10508,18581,18132,4145,3696,14336,14784,2435,1136,01110
41,90,XX,XXX,XX,01,  Sharsha Upazila,1098,1129,8980,8573,12930,12797,3535,2977,10523,11254,2479,1166,01110
1,08,XX,XXX,XX,01,  Bagerhat Sadar Upazila,650,616,5715,5502,10269,9768,2179,1868,7853,8165,1787,733,01110
1,14,XX,XXX,XX,01,  Chitalmari Upazila,508,458,4613,4484,7476,7265,2373,1961,5622,5619,1518,928,01110
1,34,XX,XXX,XX,01,  Fakirhat Upazila,393,368,2840,2757,4824,4713,1143,1003,3945,4123,830,462,01110
1,38,XX,XXX,XX,01,  Kachua Upazila,200,181,2605,2549,4453,4346,959,781,3062,3292,749,363,01110
1,56,XX,XXX,XX,01,  Mollahat Upazila,486,457,4043,3888,6633,6478,2024,1786,4936,5040,1282,827,01110
1,58,XX,XXX,XX,01,  Mongla Upazila,443,414,2249,2099,4308,4264,1035,868,3402,3563,995,465,01110
1,60,XX,XXX,XX,01,  Morrelganj Upazila,1078,1074,8762,8487,14773,14429,3128,2911,10262,10840,1977,1248,01110
1,73,XX,XXX,XX,01,  Rampal Upazila,508,503,3961,3760,7031,6699,1498,1337,5522,5547,1220,587,01110
1,77,XX,XXX,XX,01,  Sarankhola Upazila,296,279,2965,2850,4843,4809,1099,1019,3362,3498,812,430,01110
55,57,XX,XXX,XX,01,  Magura Sadar Upazila,634,582,9259,8723,15540,14511,3803,3453,10809,11064,2285,970,01110
55,66,XX,XXX,XX,01,  Mohammadpur Upazila,672,638,7152,6789,12149,11282,2849,2489,8299,8569,1771,761,01110
55,85,XX,XXX,XX,01,  Shalikha Upazila,382,367,4779,4457,8258,7761,1796,1561,6170,6127,1097,494,01110
55,95,XX,XXX,XX,01,  Sreepur Upazila,404,377,4758,4765,7975,7665,1971,1745,6198,6113,955,431,01110
50,15,XX,XXX,XX,01,  Bheramara Upazila,354,351,5043,5062,7746,7620,2677,2303,5955,6675,1766,654,01110
50,39,XX,XXX,XX,01,  Daulatpur Upazila,1318,1254,13136,13168,19745,19188,7463,6404,15092,15178,3792,1901,01110
