ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,12,35,052,01,01,  Patharghata,13,13,0,13,0,0,0,0,0,00000
47,12,35,052,02,01,  Baguladanga,3,3,0,3,0,0,0,0,0,00000
47,12,47,359,01,01,  Paschim Halia,49,46,3,45,3,0,0,1,0,00000
47,12,47,359,02,01,  Purba Halia,51,44,7,39,7,5,0,0,0,00000
47,12,47,359,03,01,  Chandmari,37,36,1,36,0,0,0,0,1,00000
47,12,47,710,01,01,  Naoailtala,70,69,1,67,1,2,0,0,0,00000
47,12,47,710,02,01,  Hajirabad,26,25,1,25,1,0,0,0,0,00000
47,12,59,127,01,01,  Barun Para,42,36,6,31,2,3,3,2,1,00000
47,12,59,127,02,01,  Mathbanga,15,15,0,15,0,0,0,0,0,00000
47,12,59,127,03,01,  Masiar Danga,18,18,0,18,0,0,0,0,0,00000
47,12,59,239,01,01,  Charkhali Machaila,20,19,1,19,0,0,0,0,1,00000
47,12,59,239,02,01,  Tengramari,13,9,4,9,0,0,0,0,4,00000
47,12,59,239,03,01,  Jharbhanga,13,11,2,11,0,0,0,0,2,00000
47,12,59,523,01,01,  Katamari,32,32,0,31,0,0,0,1,0,00000
47,12,59,523,02,01,  Gopalkhali,23,23,0,16,0,0,0,7,0,00000
47,12,59,523,03,01,  Deoatala,60,60,0,59,0,1,0,0,0,00000
47,12,59,546,01,01,  Katianangla,155,144,11,126,5,4,1,14,5,00000
47,12,59,546,02,01,  Amtala,104,98,6,93,3,5,2,0,1,00000
47,12,59,546,03,01,  Kodaldhoa,6,6,0,6,0,0,0,0,0,00000
47,12,59,546,04,01,  Gondhamari,14,14,0,14,0,0,0,0,0,00000
47,12,59,546,05,01,  Kanthaltala,6,6,0,6,0,0,0,0,0,00000
47,12,59,546,06,01,  Goalbari,3,3,0,3,0,0,0,0,0,00000
47,12,59,546,07,01,  Gangaram,17,17,0,17,0,0,0,0,0,00000
47,12,71,246,01,01,  Chhaygharia,45,34,11,5,0,0,0,29,11,00000
47,12,71,246,02,01,  Guptamari,12,10,2,7,0,1,0,2,2,00000
47,12,71,246,03,01,  Dauniafad,38,33,5,13,1,0,0,20,4,00000
47,12,71,246,04,01,  Chakrakhali,20,8,12,5,9,1,3,2,0,00000
47,12,71,246,05,01,  Badnakhali,12,11,1,11,0,0,0,0,1,00000
47,12,71,433,01,01,  Uttar Jalma,5,4,1,2,1,0,0,2,0,00000
47,12,71,433,02,01,  Kachubunia,2,2,0,0,0,0,0,2,0,00000
47,12,71,635,01,01,  Krishnanagar,389,327,62,142,23,11,2,174,37,00000
47,12,71,635,02,01,  Mahammad Nagar,433,396,37,99,7,17,0,280,30,00000
47,12,71,635,03,01,  Saubjpalli,127,116,11,53,3,1,1,62,7,00000
47,12,71,680,01,01,  Mathabhanga,19,15,4,8,2,4,1,3,1,00000
47,12,71,680,02,01,  Putimari,84,71,13,43,3,13,6,15,4,00000
47,12,71,800,01,01,  Uttar Raingamari,6,6,0,4,0,1,0,1,0,00000
47,12,71,800,02,01,  Dakshin Raingamari,4,1,3,1,3,0,0,0,0,00000
47,12,71,800,03,01,  Gajalmari,11,11,0,0,0,7,0,4,0,00000
