ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,12,35,052,01,01,  Patharghata,295,19,276,0,0,0,00000
47,12,35,052,02,01,  Baguladanga,140,0,140,0,0,0,00000
47,12,47,359,01,01,  Paschim Halia,1045,95,950,0,0,0,00000
47,12,47,359,02,01,  Purba Halia,1304,20,1284,0,0,0,00000
47,12,47,359,03,01,  Chandmari,413,109,304,0,0,0,00000
47,12,47,710,01,01,  Naoailtala,1336,1258,78,0,0,0,00000
47,12,47,710,02,01,  Hajirabad,361,361,0,0,0,0,00000
47,12,59,127,01,01,  Barun Para,850,79,771,0,0,0,00000
47,12,59,127,02,01,  Mathbanga,153,0,153,0,0,0,00000
47,12,59,127,03,01,  Masiar Danga,285,0,285,0,0,0,00000
47,12,59,239,01,01,  Charkhali Machaila,362,128,234,0,0,0,00000
47,12,59,239,02,01,  Tengramari,314,10,304,0,0,0,00000
47,12,59,239,03,01,  Jharbhanga,167,10,152,5,0,0,00000
47,12,59,523,01,01,  Katamari,417,0,417,0,0,0,00000
47,12,59,523,02,01,  Gopalkhali,305,92,213,0,0,0,00000
47,12,59,523,03,01,  Deoatala,1223,637,586,0,0,0,00000
47,12,59,546,01,01,  Katianangla,1599,1177,422,0,0,0,00000
47,12,59,546,02,01,  Amtala,1264,485,779,0,0,0,00000
47,12,59,546,03,01,  Kodaldhoa,65,3,62,0,0,0,00000
47,12,59,546,04,01,  Gondhamari,275,3,272,0,0,0,00000
47,12,59,546,05,01,  Kanthaltala,165,63,102,0,0,0,00000
47,12,59,546,06,01,  Goalbari,255,18,237,0,0,0,00000
47,12,59,546,07,01,  Gangaram,326,21,305,0,0,0,00000
47,12,71,246,01,01,  Chhaygharia,1352,14,1338,0,0,0,00000
47,12,71,246,02,01,  Guptamari,329,1,328,0,0,0,00000
47,12,71,246,03,01,  Dauniafad,823,117,398,308,0,0,00000
47,12,71,246,04,01,  Chakrakhali,1169,111,1056,2,0,0,00000
47,12,71,246,05,01,  Badnakhali,388,105,283,0,0,0,00000
47,12,71,433,01,01,  Uttar Jalma,429,44,381,4,0,0,00000
47,12,71,433,02,01,  Kachubunia,299,20,279,0,0,0,00000
47,12,71,635,01,01,  Krishnanagar,4634,4482,152,0,0,0,00000
47,12,71,635,02,01,  Mahammad Nagar,5988,5581,392,9,6,0,00000
47,12,71,635,03,01,  Saubjpalli,2569,2489,80,0,0,0,00000
47,12,71,680,01,01,  Mathabhanga,1232,1136,96,0,0,0,00000
47,12,71,680,02,01,  Putimari,2757,1613,1144,0,0,0,00000
