ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,XX,XX,XXX,XX,XX,Khulna Zila Total,1085893,547347,2318527,2316869,11111
18,XX,XX,XXX,XX,XX,Chuadanga Zila Total,290127,277464,1129015,1128804,11111
65,XX,XX,XXX,XX,XX,Narail Zila Total,239196,162607,721668,721490,11111
44,XX,XX,XXX,XX,XX,Jhenaidah Zila Total,485506,422332,1771304,1770608,11111
41,XX,XX,XXX,XX,XX,Jessore Zila Total,644190,656413,2764547,2763704,11111
1,XX,XX,XXX,XX,XX,Bagerhat Zila Total,978317,354223,1476090,1471670,11111
55,XX,XX,XXX,XX,XX,Magura Zila Total,256767,205902,918419,918143,11111
50,XX,XX,XXX,XX,XX,Kushtia Zila Total,397544,477289,1946838,1946449,11111
57,XX,XX,XXX,XX,XX,Meherpur Zila Total,185731,166312,655392,655220,11111
87,XX,XX,XXX,XX,XX,Satkhira Zila Total,943272,469890,1985959,1985566,11111
42,XX,XX,XXX,XX,XX,Jhalokati Zila Total,174646,158139,682669,682446,11111
78,XX,XX,XXX,XX,XX,Patuakhali Zila Total,796003,346462,1535854,1532301,11111
6,XX,XX,XXX,XX,XX,Barisal Zila Total,688070,513673,2324310,2321066,11111
79,XX,XX,XXX,XX,XX,Pirojpur Zila Total,315752,256002,1113257,1112590,11111
9,XX,XX,XXX,XX,XX,Bhola Zila Total,841017,372723,1776795,1775689,11111
4,XX,XX,XXX,XX,XX,Barguna Zila Total,452526,215842,892781,891795,11111
52,XX,XX,XXX,XX,XX,Lalmonirhat Zila Total,308232,290444,1256099,1255591,11111
77,XX,XX,XXX,XX,XX,Panchagarh Zila Total,347090,228581,987644,987113,11111
85,XX,XX,XXX,XX,XX,Rangpur Zila Total,593191,720180,2881086,2879858,11111
49,XX,XX,XXX,XX,XX,Kurigram Zila Total,554761,508045,2069273,2068995,11111
32,XX,XX,XXX,XX,XX,Gaibandha Zila Total,522571,612283,2379255,2378900,11111
73,XX,XX,XXX,XX,XX,Nilphamari Zila Total,382172,421572,1834231,1833642,11111
94,XX,XX,XXX,XX,XX,Thakurgaon Zila Total,440277,320786,1390042,1389720,11111
27,XX,XX,XXX,XX,XX,Dinajpur Zila Total,851104,715773,2990128,2987624,11111
10,XX,XX,XXX,XX,XX,Bogra Zila Total,716280,867137,3400874,3398131,11111
88,XX,XX,XXX,XX,XX,Sirajganj Zila Total,593561,714971,3097489,3096259,11111
81,XX,XX,XXX,XX,XX,Rajshahi Zila Total,599323,633758,2595197,2593890,11111
64,XX,XX,XXX,XX,XX,Naogaon Zila Total,848967,655801,2600157,2599192,11111
76,XX,XX,XXX,XX,XX,Pabna Zila Total,587155,590749,2523179,2522693,11111
70,XX,XX,XXX,XX,XX,Chapai Nawabganj Zila Total,420710,357982,1647521,1647184,11111
69,XX,XX,XXX,XX,XX,Natore Zila Total,469547,423875,1706673,1705914,11111
38,XX,XX,XXX,XX,XX,Joypurhat Zila Total,250174,242556,913768,912876,11111
13,XX,XX,XXX,XX,XX,Chandpur Zila Total,406568,506521,2416018,2414522,11111
3,XX,XX,XXX,XX,XX,Bandarban Zila Total,1106788,80102,388335,387129,11111
19,XX,XX,XXX,XX,XX,Comilla Zila Total,777468,1053572,5387288,5384697,11111
12,XX,XX,XXX,XX,XX,Brahmanbaria Zila Total,464856,538937,2840498,2839157,11111
51,XX,XX,XXX,XX,XX,Lakshmipur Zila Total,355930,365339,1729188,1727979,11111
46,XX,XX,XXX,XX,XX,Khagrachhari Zila Total,679333,133792,613917,613320,11111
22,XX,XX,XXX,XX,XX,Cox's Bazar Zila Total,615749,415954,2289990,2275084,11111
15,XX,XX,XXX,XX,XX,Chittagong Zila Total,1305438,1532014,7616352,7611401,11111
84,XX,XX,XXX,XX,XX,Rangamati Zila Total,1511322,128496,595979,594627,11111
30,XX,XX,XXX,XX,XX,Feni Zila Total,244723,277665,1437371,1436481,11111
75,XX,XX,XXX,XX,XX,Noakhali Zila Total,910799,593918,3108083,3106740,11111
29,XX,XX,XXX,XX,XX,Faridpur Zila Total,507274,420174,1912969,1911151,11111
72,XX,XX,XXX,XX,XX,Netrakona Zila Total,690483,479146,2229642,2228598,11111
39,XX,XX,XXX,XX,XX,Jamalpur Zila Total,522667,563367,2292674,2291648,11111
59,XX,XX,XXX,XX,XX,Munshiganj Zila Total,248166,313258,1445660,1439981,11111
35,XX,XX,XXX,XX,XX,Gopalganj Zila Total,362933,249872,1172415,1172072,11111
82,XX,XX,XXX,XX,XX,Rajbari Zila Total,269909,238153,1049778,1049472,11111
61,XX,XX,XXX,XX,XX,Mymensingh Zila Total,1085922,1155436,5110272,5108135,11111
67,XX,XX,XXX,XX,XX,Narayanganj Zila Total,169112,675652,2948217,2946549,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,446363,826458,3403912,3398306,11111
56,XX,XX,XXX,XX,XX,Manikganj Zila Total,341910,324794,1392867,1391900,11111
26,XX,XX,XXX,XX,XX,Dhaka Zila Total,361665,2786133,12043977,11996728,11111
86,XX,XX,XXX,XX,XX,Shariatpur Zila Total,290116,247880,1155824,1155007,11111
54,XX,XX,XXX,XX,XX,Madaripur Zila Total,278165,252149,1165952,1165349,11111
93,XX,XX,XXX,XX,XX,Tangail Zila Total,843703,870102,3605083,3603579,11111
48,XX,XX,XXX,XX,XX,Kishoreganj Zila Total,664365,627322,2911907,2910318,11111
89,XX,XX,XXX,XX,XX,Sherpur Zila Total,337217,341443,1358325,1358073,11111
68,XX,XX,XXX,XX,XX,Narsingdi Zila Total,284207,477976,2224944,2224098,11111
33,XX,XX,XXX,XX,XX,Gazipur Zila Total,446363,826458,3403912,3398306,11111
90,XX,XX,XXX,XX,XX,Sunamganj Zila Total,925947,440332,2467968,2462764,11111
36,XX,XX,XXX,XX,XX,Habiganj Zila Total,651516,393302,2089001,2088274,11111
