ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,XX,XX,XXX,XX,XX,Khulna Zila Total,60152,49123,46158,51965,27491,14500,72373,109592,5741,2197,97436,116155,11111
18,XX,XX,XXX,XX,XX,Chuadanga Zila Total,22789,18928,26049,26344,5271,2799,36255,54725,1001,376,50075,60520,11111
65,XX,XX,XXX,XX,XX,Narail Zila Total,16172,13191,13742,15582,3363,2139,19804,32526,698,278,25655,34346,11111
44,XX,XX,XXX,XX,XX,Jhenaidah Zila Total,41604,34290,35106,35949,12553,6887,54180,83104,2657,931,75674,92167,11111
41,XX,XX,XXX,XX,XX,Jessore Zila Total,68568,58959,54239,60052,23697,13945,84597,131778,5398,1913,116565,142137,11111
1,XX,XX,XXX,XX,XX,Bagerhat Zila Total,30014,27920,30425,31678,7399,4688,42473,63134,1448,689,55132,69703,11111
55,XX,XX,XXX,XX,XX,Magura Zila Total,22266,19605,16262,16479,5317,3825,25146,40103,1101,465,34423,45201,11111
50,XX,XX,XXX,XX,XX,Kushtia Zila Total,44540,35935,39373,39720,14219,7687,59325,91630,3346,1250,82737,101695,11111
57,XX,XX,XXX,XX,XX,Meherpur Zila Total,13275,10332,13870,15690,2983,1568,20701,31576,667,253,27434,34934,11111
87,XX,XX,XXX,XX,XX,Satkhira Zila Total,48371,41555,39268,48633,12979,6474,62842,1E+05,2590,757,81099,99649,11111
42,XX,XX,XXX,XX,XX,Jhalokati Zila Total,17106,16607,12233,13827,3523,2378,16525,27640,679,331,19903,30333,11111
78,XX,XX,XXX,XX,XX,Patuakhali Zila Total,31594,26850,28815,31788,7445,4557,38363,67608,1461,582,53676,76748,11111
6,XX,XX,XXX,XX,XX,Barisal Zila Total,54005,52772,49729,52940,15730,10255,60509,98449,2939,1376,76358,104790,11111
79,XX,XX,XXX,XX,XX,Pirojpur Zila Total,23520,23525,23786,23886,5836,3956,31057,47311,1058,530,37616,51503,11111
9,XX,XX,XXX,XX,XX,Bhola Zila Total,28512,25188,47706,49447,5583,2486,49483,83885,1094,329,65011,84557,11111
4,XX,XX,XXX,XX,XX,Barguna Zila Total,17216,13999,15477,16933,3420,2043,22943,40651,695,291,32746,47401,11111
52,XX,XX,XXX,XX,XX,Lalmonirhat Zila Total,26962,23040,26562,25118,6593,4012,35467,57857,1643,617,49267,63210,11111
77,XX,XX,XXX,XX,XX,Panchagarh Zila Total,21833,21150,24647,20419,5106,3349,31727,46130,1122,389,41466,49966,11111
85,XX,XX,XXX,XX,XX,Rangpur Zila Total,61522,52728,60184,58077,22462,13534,83336,133305,4842,1824,117868,146267,11111
49,XX,XX,XXX,XX,XX,Kurigram Zila Total,42708,29952,36779,44480,10588,4835,53541,102000,2126,603,78055,109129,11111
32,XX,XX,XXX,XX,XX,Gaibandha Zila Total,43531,34054,44352,48684,11175,5677,62845,116109,2476,821,95028,125483,11111
73,XX,XX,XXX,XX,XX,Nilphamari Zila Total,37907,32729,44609,40730,9590,5530,53276,85234,2076,721,71483,90517,11111
94,XX,XX,XXX,XX,XX,Thakurgaon Zila Total,32414,28297,30435,28803,8186,4230,42013,62718,1708,529,57905,70563,11111
27,XX,XX,XXX,XX,XX,Dinajpur Zila Total,69528,58022,64472,61309,21053,11766,89526,137628,4468,1559,125580,153868,11111
10,XX,XX,XXX,XX,XX,Bogra Zila Total,78817,55474,66361,76307,28068,13438,105520,166330,6491,1928,150917,183340,11111
88,XX,XX,XXX,XX,XX,Sirajganj Zila Total,59905,45004,68452,74437,16635,7619,99876,156216,3522,1129,129252,152455,11111
81,XX,XX,XXX,XX,XX,Rajshahi Zila Total,77227,57900,50599,51492,36328,19710,80543,120332,8216,2939,114602,136679,11111
64,XX,XX,XXX,XX,XX,Naogaon Zila Total,54520,40239,57036,59031,14846,6346,85591,134969,3255,911,117890,140429,11111
76,XX,XX,XXX,XX,XX,Pabna Zila Total,54213,44963,53695,55252,16341,9851,79405,124738,3759,1552,107557,130505,11111
70,XX,XX,XXX,XX,XX,Chapai Nawabganj Zila Total,30998,27711,44061,50016,7937,4319,56088,83480,1615,614,62567,78674,11111
69,XX,XX,XXX,XX,XX,Natore Zila Total,39575,31117,33683,35741,11640,6556,53007,83385,2796,1094,75835,91781,11111
38,XX,XX,XXX,XX,XX,Joypurhat Zila Total,21324,16160,16195,17722,6679,2900,26665,43102,1283,375,40920,49472,11111
13,XX,XX,XXX,XX,XX,Chandpur Zila Total,52953,59181,59770,67031,11806,6489,69741,1E+05,2100,728,75856,114365,11111
