ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,XX,XX,XXX,XX,XX,Khulna Zila Total,468009,196606,271403,154335,24582,1288,685,2181,185021.0,38802,61115,11111
18,XX,XX,XXX,XX,XX,Chuadanga Zila Total,358329,171907,186422,149556,6690,565,273,987,151926.0,20799,27533,11111
65,XX,XX,XXX,XX,XX,Narail Zila Total,183526,82285,101241,67183,3241,443,185,910,78524.0,13749,19291,11111
44,XX,XX,XXX,XX,XX,Jhenaidah Zila Total,551434,255667,295767,224118,9020,690,468,2044,244598.0,28815,41681,11111
41,XX,XX,XXX,XX,XX,Jessore Zila Total,645910,283274,362636,240322,19532,799,598,2630,278371.0,39523,64135,11111
1,XX,XX,XXX,XX,XX,Bagerhat Zila Total,256684,122199,134485,95840,6883,1268,357,2815,94938.0,22276,32307,11111
55,XX,XX,XXX,XX,XX,Magura Zila Total,264537,119033,145504,102156,3887,356,230,1266,119381.0,15255,22006,11111
50,XX,XX,XXX,XX,XX,Kushtia Zila Total,673756,319997,353759,281898,13663,1286,731,2871,295495.0,33942,43870,11111
57,XX,XX,XXX,XX,XX,Meherpur Zila Total,230121,110699,119422,98340,3162,383,222,692,102455.0,11284,13583,11111
87,XX,XX,XXX,XX,XX,Satkhira Zila Total,505114,208262,296852,173638,17796,960,603,2777,224415.0,30887,54038,11111
42,XX,XX,XXX,XX,XX,Jhalokati Zila Total,85841,38060,47781,27299,1758,435,156,1463,33639.0,8863,12228,11111
78,XX,XX,XXX,XX,XX,Patuakhali Zila Total,308622,137302,171320,106113,8565,1619,502,4577,127871.0,24993,34382,11111
6,XX,XX,XXX,XX,XX,Barisal Zila Total,404261,186511,217750,143565,10113,1775,690,3858,157079.0,37313,49868,11111
79,XX,XX,XXX,XX,XX,Pirojpur Zila Total,126690,59734,66956,42146,3101,689,178,3283,44924.0,13616,18753,11111
9,XX,XX,XXX,XX,XX,Bhola Zila Total,538678,262272,276406,207925,9154,3198,1164,3356,216057.0,47793,50031,11111
