ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Area in Acres,Total Households,Population-Total,Population-In Households,check_var
47,XX,XX,XXX,XX,03, Khulna Zila,19188,82655,82555,100,11110
18,XX,XX,XXX,XX,03, Chuadanga Zila,31506,129409,129363,46,11110
65,XX,XX,XXX,XX,03, Narail Zila,5481,25085,25084,1,11110
44,XX,XX,XXX,XX,03, Jhenaidah Zila,2217,8971,8971,0,11110
41,XX,XX,XXX,XX,03, Jessore Zila,13867,56982,56946,36,11110
1,XX,XX,XXX,XX,03, Bagerhat Zila,20047,84680,84634,46,11110
55,XX,XX,XXX,XX,03, Magura Zila,5011,22059,22059,0,11110
50,XX,XX,XXX,XX,03, Kushtia Zila,12202,48476,48475,1,11110
57,XX,XX,XXX,XX,03, Meherpur Zila,3662,14760,14760,0,11110
87,XX,XX,XXX,XX,03, Satkhira Zila,13384,57044,56955,89,11110
42,XX,XX,XXX,XX,03, Jhalokati Zila,6385,27169,27169,0,11110
78,XX,XX,XXX,XX,03, Patuakhali Zila,17320,77738,77669,69,11110
6,XX,XX,XXX,XX,03, Barisal Zila,15717,71959,71717,242,11110
79,XX,XX,XXX,XX,03, Pirojpur Zila,19130,84181,84078,103,11110
9,XX,XX,XXX,XX,03, Bhola Zila,26309,125885,125872,13,11110
4,XX,XX,XXX,XX,03, Barguna Zila,6379,26167,26167,0,11110
52,XX,XX,XXX,XX,03, Lalmonirhat Zila,8741,38322,38322,0,11110
77,XX,XX,XXX,XX,03, Panchagarh Zila,8126,34773,34704,69,11110
85,XX,XX,XXX,XX,03, Rangpur Zila,13908,55343,55338,5,11110
49,XX,XX,XXX,XX,03, Kurigram Zila,33829,141020,140966,54,11110
32,XX,XX,XXX,XX,03, Gaibandha Zila,21282,87108,87022,86,11110
73,XX,XX,XXX,XX,03, Nilphamari Zila,12670,54246,54199,47,11110
94,XX,XX,XXX,XX,03, Thakurgaon Zila,8345,35258,35167,91,11110
27,XX,XX,XXX,XX,03, Dinajpur Zila,14202,59779,59685,94,11110
10,XX,XX,XXX,XX,03, Bogra Zila,11198,46306,46290,16,11110
88,XX,XX,XXX,XX,03, Sirajganj Zila,14887,60145,60131,14,11110
81,XX,XX,XXX,XX,03, Rajshahi Zila,6038,23970,23944,26,11110
64,XX,XX,XXX,XX,03, Naogaon Zila,21163,88342,88175,167,11110
70,XX,XX,XXX,XX,03, Chapai Nawabganj Zila,10248,44549,44549,0,11110
38,XX,XX,XXX,XX,03, Joypurhat Zila,3150,11711,11711,0,11110
13,XX,XX,XXX,XX,03, Chandpur Zila,5862,26433,26433,0,11110
3,XX,XX,XXX,XX,03, Bandarban Zila,7989,38849,38825,24,11110
19,XX,XX,XXX,XX,03, Comilla Zila,26564,132729,132712,17,11110
12,XX,XX,XXX,XX,03, Brahmanbaria Zila,27831,146641,146013,628,11110
51,XX,XX,XXX,XX,03, Lakshmipur Zila,17809,80338,80294,44,11110
46,XX,XX,XXX,XX,03, Khagrachhari Zila,25839,119763,119637,126,11110
22,XX,XX,XXX,XX,03, Cox's Bazar Zila,37698,206488,206476,12,11110
15,XX,XX,XXX,XX,03, Chittagong Zila,35851,181527,181384,143,11110
84,XX,XX,XXX,XX,03, Rangamati Zila,13473,61820,61527,293,11110
30,XX,XX,XXX,XX,03, Feni Zila,1874,9957,9934,23,11110
75,XX,XX,XXX,XX,03, Noakhali Zila,25276,132240,132240,0,11110
29,XX,XX,XXX,XX,03, Faridpur Zila,17275,75853,75639,214,11110
72,XX,XX,XXX,XX,03, Netrakona Zila,13893,63997,63802,195,11110
39,XX,XX,XXX,XX,03, Jamalpur Zila,12568,51859,51845,14,11110
59,XX,XX,XXX,XX,03, Munshiganj Zila,15393,71287,70706,581,11110
35,XX,XX,XXX,XX,03, Gopalganj Zila,8832,43244,43244,0,11110
82,XX,XX,XXX,XX,03, Rajbari Zila,7179,31968,31963,5,11110
61,XX,XX,XXX,XX,03, Mymensingh Zila,53128,243131,243077,54,11110
67,XX,XX,XXX,XX,03, Narayanganj Zila,10299,46602,46602,0,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,4724,19322,19271,51,11110
56,XX,XX,XXX,XX,03, Manikganj Zila,7363,30127,30126,1,11110
26,XX,XX,XXX,XX,03, Dhaka Zila,452261,1893906,1892203,1703,11110
86,XX,XX,XXX,XX,03, Shariatpur Zila,3236,15074,15058,16,11110
54,XX,XX,XXX,XX,03, Madaripur Zila,6335,29358,29358,0,11110
93,XX,XX,XXX,XX,03, Tangail Zila,18252,74125,74125,0,11110
48,XX,XX,XXX,XX,03, Kishoreganj Zila,17561,80268,80182,86,11110
89,XX,XX,XXX,XX,03, Sherpur Zila,1389,5730,5730,0,11110
68,XX,XX,XXX,XX,03, Narsingdi Zila,20306,93187,93187,0,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,4724,19322,19271,51,11110
90,XX,XX,XXX,XX,03, Sunamganj Zila,14364,77565,77525,40,11110
36,XX,XX,XXX,XX,03, Habiganj Zila,13533,73217,73191,26,11110
91,XX,XX,XXX,XX,03, Sylhet Zila,27375,150461,150297,164,11110
58,XX,XX,XXX,XX,03, Maulvibazar Zila,12104,63236,63180,56,11110
