ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,XX,XX,XXX,XX,03, Khulna Zila,19188,19091,24,73,82655,41517,41138.0,101.0,11110
18,XX,XX,XXX,XX,03, Chuadanga Zila,31506,31395,16,95,129409,64687,64722.0,100.0,11110
65,XX,XX,XXX,XX,03, Narail Zila,5481,5478,0,3,25085,12475,12610.0,99.0,11110
44,XX,XX,XXX,XX,03, Jhenaidah Zila,2217,2216,1,0,8971,4466,4505.0,99.0,11110
41,XX,XX,XXX,XX,03, Jessore Zila,13867,13746,25,96,56982,28832,28150.0,102.0,11110
1,XX,XX,XXX,XX,03, Bagerhat Zila,20047,19921,26,100,84680,42314,42366.0,100.0,11110
55,XX,XX,XXX,XX,03, Magura Zila,5011,4979,7,25,22059,11079,10980.0,101.0,11110
50,XX,XX,XXX,XX,03, Kushtia Zila,12202,12149,11,42,48476,24014,24462.0,98.0,11110
57,XX,XX,XXX,XX,03, Meherpur Zila,3662,3639,5,18,14760,7213,7547.0,96.0,11110
87,XX,XX,XXX,XX,03, Satkhira Zila,13384,13290,14,80,57044,28621,28423.0,101.0,11110
42,XX,XX,XXX,XX,03, Jhalokati Zila,6385,6348,10,27,27169,13150,14019.0,94.0,11110
78,XX,XX,XXX,XX,03, Patuakhali Zila,17320,17250,15,55,77738,38616,39122.0,99.0,11110
6,XX,XX,XXX,XX,03, Barisal Zila,15717,15640,21,56,71959,35419,36540.0,97.0,11110
79,XX,XX,XXX,XX,03, Pirojpur Zila,19130,18966,23,141,84181,41633,42548.0,98.0,11110
9,XX,XX,XXX,XX,03, Bhola Zila,26309,26255,18,36,125885,62353,63532.0,98.0,11110
4,XX,XX,XXX,XX,03, Barguna Zila,6379,6370,3,6,26167,12923,13244.0,98.0,11110
52,XX,XX,XXX,XX,03, Lalmonirhat Zila,8741,8724,7,10,38322,19254,19068.0,101.0,11110
77,XX,XX,XXX,XX,03, Panchagarh Zila,8126,8067,7,52,34773,17562,17211.0,102.0,11110
85,XX,XX,XXX,XX,03, Rangpur Zila,13908,13769,24,115,55343,27987,27356.0,102.0,11110
49,XX,XX,XXX,XX,03, Kurigram Zila,33829,33683,20,126,141020,69455,71565.0,97.0,11110
32,XX,XX,XXX,XX,03, Gaibandha Zila,21282,21178,9,95,87108,43296,43812.0,99.0,11110
73,XX,XX,XXX,XX,03, Nilphamari Zila,12670,12619,8,43,54246,27289,26957.0,101.0,11110
94,XX,XX,XXX,XX,03, Thakurgaon Zila,8345,8298,10,37,35258,17933,17325.0,104.0,11110
27,XX,XX,XXX,XX,03, Dinajpur Zila,14202,14088,14,100,59779,30347,29432.0,103.0,11110
10,XX,XX,XXX,XX,03, Bogra Zila,11198,11170,9,19,46306,23384,22922.0,102.0,11110
88,XX,XX,XXX,XX,03, Sirajganj Zila,14887,14796,7,84,60145,29950,30195.0,99.0,11110
81,XX,XX,XXX,XX,03, Rajshahi Zila,6038,5990,6,42,23970,12121,11849.0,102.0,11110
64,XX,XX,XXX,XX,03, Naogaon Zila,21163,20843,28,292,88342,44685,43657.0,102.0,11110
70,XX,XX,XXX,XX,03, Chapai Nawabganj Zila,10248,10232,8,8,44549,22032,22517.0,98.0,11110
38,XX,XX,XXX,XX,03, Joypurhat Zila,3150,3141,3,6,11711,5822,5889.0,99.0,11110
13,XX,XX,XXX,XX,03, Chandpur Zila,5862,5651,1,210,26433,12967,13466.0,96.0,11110
3,XX,XX,XXX,XX,03, Bandarban Zila,7989,7847,22,120,38849,20133,18716.0,108.0,11110
19,XX,XX,XXX,XX,03, Comilla Zila,26564,26343,39,182,132729,65552,67177.0,98.0,11110
12,XX,XX,XXX,XX,03, Brahmanbaria Zila,27831,27626,25,180,146641,72453,74188.0,98.0,11110
51,XX,XX,XXX,XX,03, Lakshmipur Zila,17809,17759,18,32,80338,38859,41479.0,94.0,11110
46,XX,XX,XXX,XX,03, Khagrachhari Zila,25839,25420,50,369,119763,61390,58373.0,105.0,11110
22,XX,XX,XXX,XX,03, Cox's Bazar Zila,37698,37498,37,163,206488,104730,101758.0,103.0,11110
15,XX,XX,XXX,XX,03, Chittagong Zila,35851,35526,46,279,181527,88343,93184.0,95.0,11110
84,XX,XX,XXX,XX,03, Rangamati Zila,13473,13120,64,289,61820,33653,28167.0,119.0,11110
30,XX,XX,XXX,XX,03, Feni Zila,1874,1852,12,10,9957,4944,5013.0,99.0,11110
75,XX,XX,XXX,XX,03, Noakhali Zila,25276,25155,30,91,132240,64172,68068.0,94.0,11110
29,XX,XX,XXX,XX,03, Faridpur Zila,17275,17142,21,112,75853,36782,39071.0,94.0,11110
72,XX,XX,XXX,XX,03, Netrakona Zila,13893,13757,15,121,63997,32632,31365.0,104.0,11110
39,XX,XX,XXX,XX,03, Jamalpur Zila,12568,12517,11,40,51859,25551,26308.0,97.0,11110
59,XX,XX,XXX,XX,03, Munshiganj Zila,15393,14978,23,392,71287,36759,34528.0,106.0,11110
35,XX,XX,XXX,XX,03, Gopalganj Zila,8832,8786,16,30,43244,21330,21914.0,97.0,11110
82,XX,XX,XXX,XX,03, Rajbari Zila,7179,7159,3,17,31968,15653,16315.0,96.0,11110
61,XX,XX,XXX,XX,03, Mymensingh Zila,53128,52847,80,201,243131,123046,120085.0,102.0,11110
67,XX,XX,XXX,XX,03, Narayanganj Zila,10299,10122,18,159,46602,24077,22525.0,107.0,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,4724,4602,17,105,19322,10045,9277.0,108.0,11110
56,XX,XX,XXX,XX,03, Manikganj Zila,7363,7306,15,42,30127,14786,15341.0,96.0,11110
26,XX,XX,XXX,XX,03, Dhaka Zila,452261,434660,625,16976,1893906,1026310,867596.0,118.0,11110
86,XX,XX,XXX,XX,03, Shariatpur Zila,3236,3214,3,19,15074,7424,7650.0,97.0,11110
54,XX,XX,XXX,XX,03, Madaripur Zila,6335,6329,3,3,29358,14645,14713.0,100.0,11110
93,XX,XX,XXX,XX,03, Tangail Zila,18252,18199,7,46,74125,36070,38055.0,95.0,11110
48,XX,XX,XXX,XX,03, Kishoreganj Zila,17561,17338,13,210,80268,40534,39734.0,102.0,11110
89,XX,XX,XXX,XX,03, Sherpur Zila,1389,1377,1,11,5730,2946,2784.0,106.0,11110
68,XX,XX,XXX,XX,03, Narsingdi Zila,20306,20149,10,147,93187,47053,46134.0,102.0,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,4724,4602,17,105,19322,10045,9277.0,108.0,11110
90,XX,XX,XXX,XX,03, Sunamganj Zila,14364,14232,17,115,77565,39486,38079.0,104.0,11110
36,XX,XX,XXX,XX,03, Habiganj Zila,13533,13462,35,36,73217,35892,37325.0,96.0,11110
91,XX,XX,XXX,XX,03, Sylhet Zila,27375,26862,36,477,150461,77031,73430.0,105.0,11110
58,XX,XX,XXX,XX,03, Maulvibazar Zila,12104,12063,6,35,63236,31326,31910.0,98.0,11110
