ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,XX,XX,XXX,XX,03, Khulna Zila,1956,1743,1531,1829,590,388,2477,3976,122,47,3505,4269,11110
18,XX,XX,XXX,XX,03, Chuadanga Zila,2879,2463,2909,2883,649,406,4015,6121,135,62,5674,7001,11110
65,XX,XX,XXX,XX,03, Narail Zila,525,435,453,487,131,70,687,1020,51,17,891,1145,11110
44,XX,XX,XXX,XX,03, Jhenaidah Zila,163,148,179,185,27,20,295,437,13,5,386,442,11110
41,XX,XX,XXX,XX,03, Jessore Zila,1693,1296,1112,1236,671,419,1623,2652,217,77,2413,3063,11110
1,XX,XX,XXX,XX,03, Bagerhat Zila,1870,1818,1896,1848,443,329,2379,3776,112,58,3191,4202,11110
55,XX,XX,XXX,XX,03, Magura Zila,709,579,387,365,152,126,550,954,31,27,782,1048,11110
50,XX,XX,XXX,XX,03, Kushtia Zila,1073,995,1028,1115,293,167,1520,2395,51,32,2052,2579,11110
57,XX,XX,XXX,XX,03, Meherpur Zila,329,347,270,254,98,68,382,591,19,10,532,680,11110
87,XX,XX,XXX,XX,03, Satkhira Zila,1653,1549,1062,1322,488,304,1687,2896,98,33,2416,2883,11110
42,XX,XX,XXX,XX,03, Jhalokati Zila,657,705,507,531,171,122,709,1098,29,19,905,1283,11110
78,XX,XX,XXX,XX,03, Patuakhali Zila,1994,1663,1423,1454,669,349,1935,3369,109,32,2663,3835,11110
6,XX,XX,XXX,XX,03, Barisal Zila,1837,1892,1501,1670,595,401,1985,3023,105,48,2460,3258,11110
79,XX,XX,XXX,XX,03, Pirojpur Zila,1859,2154,1784,1940,492,416,2468,3658,108,64,3105,4029,11110
9,XX,XX,XXX,XX,03, Bhola Zila,2405,2217,3165,3519,492,264,3711,6042,99,28,4708,6198,11110
4,XX,XX,XXX,XX,03, Barguna Zila,555,500,456,457,104,94,711,1224,26,16,1017,1419,11110
52,XX,XX,XXX,XX,03, Lalmonirhat Zila,891,904,863,810,289,183,1098,1692,76,44,1452,1937,11110
77,XX,XX,XXX,XX,03, Panchagarh Zila,954,906,722,725,214,175,1045,1503,40,27,1464,1811,11110
85,XX,XX,XXX,XX,03, Rangpur Zila,1647,1446,1136,1085,377,312,1595,2382,88,44,2213,2770,11110
49,XX,XX,XXX,XX,03, Kurigram Zila,3358,2695,2775,3143,876,524,4026,6827,214,82,5396,7224,11110
32,XX,XX,XXX,XX,03, Gaibandha Zila,1999,1639,1817,1876,553,333,2430,4074,126,69,3537,4476,11110
73,XX,XX,XXX,XX,03, Nilphamari Zila,1135,1105,1298,1192,304,222,1562,2408,63,28,2043,2644,11110
94,XX,XX,XXX,XX,03, Thakurgaon Zila,1027,854,819,727,175,99,1064,1604,38,14,1462,1870,11110
27,XX,XX,XXX,XX,03, Dinajpur Zila,1511,1467,1281,1220,374,254,1774,2675,85,37,2533,2979,11110
10,XX,XX,XXX,XX,03, Bogra Zila,1008,707,991,1015,333,182,1334,2250,59,33,2066,2613,11110
88,XX,XX,XXX,XX,03, Sirajganj Zila,1395,933,1157,1273,371,231,1779,3095,81,33,2479,3014,11110
81,XX,XX,XXX,XX,03, Rajshahi Zila,676,539,435,423,229,122,775,1182,56,22,1190,1254,11110
64,XX,XX,XXX,XX,03, Naogaon Zila,2591,2319,1940,1950,711,456,2682,4092,168,60,3730,4874,11110
70,XX,XX,XXX,XX,03, Chapai Nawabganj Zila,860,881,1154,1364,263,167,1536,2189,53,27,1755,2092,11110
38,XX,XX,XXX,XX,03, Joypurhat Zila,271,196,163,229,58,39,348,548,12,6,548,644,11110
13,XX,XX,XXX,XX,03, Chandpur Zila,508,599,694,727,86,56,790,1243,19,5,974,1239,11110
3,XX,XX,XXX,XX,03, Bandarban Zila,529,469,1266,1212,98,49,1333,1854,17,10,1757,1898,11110
19,XX,XX,XXX,XX,03, Comilla Zila,2572,2758,3791,3683,674,357,4327,6826,139,57,5186,6950,11110
12,XX,XX,XXX,XX,03, Brahmanbaria Zila,2536,2710,4367,4163,559,433,4824,6628,90,69,5130,6789,11110
51,XX,XX,XXX,XX,03, Lakshmipur Zila,1708,1768,2045,2468,362,150,2189,4011,54,19,2754,3830,11110
46,XX,XX,XXX,XX,03, Khagrachhari Zila,2216,2220,3227,3298,312,180,4361,5193,51,34,5109,5626,11110
22,XX,XX,XXX,XX,03, Cox's Bazar Zila,3435,3753,7788,7196,786,441,8149,10354,161,58,8219,9941,11110
15,XX,XX,XXX,XX,03, Chittagong Zila,4107,4647,5704,5471,931,500,6860,9518,150,35,6531,8832,11110
84,XX,XX,XXX,XX,03, Rangamati Zila,1543,1250,1866,1448,467,165,2722,2610,34,14,3123,2814,11110
30,XX,XX,XXX,XX,03, Feni Zila,207,222,286,310,68,24,407,558,5,1,451,475,11110
75,XX,XX,XXX,XX,03, Noakhali Zila,2296,2465,3775,4488,496,205,4126,6496,73,27,4532,6253,11110
29,XX,XX,XXX,XX,03, Faridpur Zila,1318,1565,1871,1873,306,254,2151,3519,78,38,2676,3668,11110
72,XX,XX,XXX,XX,03, Netrakona Zila,1118,1266,1678,1492,267,200,2064,2727,76,46,2592,3046,11110
39,XX,XX,XXX,XX,03, Jamalpur Zila,949,988,1094,1050,200,156,1364,2289,51,35,1965,2549,11110
59,XX,XX,XXX,XX,03, Munshiganj Zila,1077,1507,2321,2124,203,185,3048,3549,45,23,3497,3664,11110
35,XX,XX,XXX,XX,03, Gopalganj Zila,996,1008,1011,1016,322,131,1249,1757,59,19,1461,2033,11110
82,XX,XX,XXX,XX,03, Rajbari Zila,661,728,700,615,172,140,911,1473,37,23,1257,1563,11110
61,XX,XX,XXX,XX,03, Mymensingh Zila,4198,4168,6415,5702,1367,850,8140,11326,263,136,9989,11538,11110
