ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,XX,XX,XXX,XX,03, Khulna Zila,17027,7258,9769,5507,941,81,27,171,6508.0,1499,2293,11110
18,XX,XX,XXX,XX,03, Chuadanga Zila,38935,18327,20608,15758,821,50,31,116,16489.0,2403,3267,11110
65,XX,XX,XXX,XX,03, Narail Zila,7607,3469,4138,2847,125,26,18,36,3326.0,560,669,11110
44,XX,XX,XXX,XX,03, Jhenaidah Zila,3610,1748,1862,1548,34,6,2,8,1638.0,186,188,11110
41,XX,XX,XXX,XX,03, Jessore Zila,10640,4555,6085,3611,724,19,14,32,3956.0,893,1391,11110
1,XX,XX,XXX,XX,03, Bagerhat Zila,12399,5853,6546,4526,380,35,20,88,4445.0,1204,1701,11110
55,XX,XX,XXX,XX,03, Magura Zila,4555,2056,2499,1652,121,4,4,15,1924.0,385,450,11110
50,XX,XX,XXX,XX,03, Kushtia Zila,14186,6599,7587,5633,396,23,11,115,6061.0,828,1119,11110
57,XX,XX,XXX,XX,03, Meherpur Zila,4161,2010,2151,1779,34,2,6,31,1840.0,198,271,11110
87,XX,XX,XXX,XX,03, Satkhira Zila,12149,4871,7278,3926,681,22,14,51,5157.0,872,1426,11110
42,XX,XX,XXX,XX,03, Jhalokati Zila,2856,1238,1618,901,67,8,9,53,1082.0,276,460,11110
78,XX,XX,XXX,XX,03, Patuakhali Zila,14515,6213,8302,4701,269,115,25,174,6237.0,1223,1771,11110
6,XX,XX,XXX,XX,03, Barisal Zila,9954,4469,5485,3486,257,36,23,77,3899.0,870,1306,11110
79,XX,XX,XXX,XX,03, Pirojpur Zila,6403,2962,3441,2031,215,29,10,89,2035.0,813,1181,11110
9,XX,XX,XXX,XX,03, Bhola Zila,33381,15729,17652,12486,532,137,45,186,13735.0,2920,3340,11110
4,XX,XX,XXX,XX,03, Barguna Zila,3692,1717,1975,1174,67,21,5,208,1434.0,314,469,11110
52,XX,XX,XXX,XX,03, Lalmonirhat Zila,9500,4121,5379,3641,408,22,19,93,4372.0,365,580,11110
77,XX,XX,XXX,XX,03, Panchagarh Zila,6694,2681,4013,2199,433,26,20,56,2880.0,400,680,11110
85,XX,XX,XXX,XX,03, Rangpur Zila,14199,6255,7944,5221,587,38,22,116,6235.0,880,1100,11110
49,XX,XX,XXX,XX,03, Kurigram Zila,45027,19402,25625,16364,1781,77,41,335,20313.0,2626,3490,11110
32,XX,XX,XXX,XX,03, Gaibandha Zila,26300,11601,14699,9362,794,156,56,232,11503.0,1851,2346,11110
73,XX,XX,XXX,XX,03, Nilphamari Zila,15034,6690,8344,5790,569,91,39,86,6768.0,723,968,11110
94,XX,XX,XXX,XX,03, Thakurgaon Zila,8891,3810,5081,3215,382,43,15,55,4008.0,497,676,11110
27,XX,XX,XXX,XX,03, Dinajpur Zila,14181,6313,7868,5398,644,25,19,101,5984.0,789,1221,11110
10,XX,XX,XXX,XX,03, Bogra Zila,14868,6835,8033,5702,850,46,17,43,5838.0,1044,1328,11110
88,XX,XX,XXX,XX,03, Sirajganj Zila,20876,9395,11481,7893,402,78,17,54,9590.0,1370,1472,11110
81,XX,XX,XXX,XX,03, Rajshahi Zila,6568,2934,3634,2502,238,18,8,58,2940.0,356,448,11110
64,XX,XX,XXX,XX,03, Naogaon Zila,21113,9556,11557,7902,977,72,34,148,8768.0,1434,1778,11110
70,XX,XX,XXX,XX,03, Chapai Nawabganj Zila,12741,6249,6492,5355,305,22,16,44,5289.0,828,882,11110
