ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,XX,XX,XXX,XX,03, Khulna Zila,82655,67659,14931,59,4,2,11110
18,XX,XX,XXX,XX,03, Chuadanga Zila,129409,124992,4386,27,1,3,11110
65,XX,XX,XXX,XX,03, Narail Zila,25085,15238,9806,40,0,1,11110
44,XX,XX,XXX,XX,03, Jhenaidah Zila,8971,8836,135,0,0,0,11110
41,XX,XX,XXX,XX,03, Jessore Zila,56982,51476,5478,13,13,2,11110
1,XX,XX,XXX,XX,03, Bagerhat Zila,84680,75204,9459,17,0,0,11110
55,XX,XX,XXX,XX,03, Magura Zila,22059,17402,4576,31,0,50,11110
50,XX,XX,XXX,XX,03, Kushtia Zila,48476,46900,1569,2,0,5,11110
57,XX,XX,XXX,XX,03, Meherpur Zila,14760,11310,133,3309,8,0,11110
87,XX,XX,XXX,XX,03, Satkhira Zila,57044,46484,10429,33,1,97,11110
42,XX,XX,XXX,XX,03, Jhalokati Zila,27169,24317,2852,0,0,0,11110
78,XX,XX,XXX,XX,03, Patuakhali Zila,77738,70607,7018,30,79,4,11110
6,XX,XX,XXX,XX,03, Barisal Zila,71959,61441,9816,696,0,6,11110
79,XX,XX,XXX,XX,03, Pirojpur Zila,84181,73591,10577,13,0,0,11110
9,XX,XX,XXX,XX,03, Bhola Zila,125885,118397,7480,8,0,0,11110
4,XX,XX,XXX,XX,03, Barguna Zila,26167,24158,2002,7,0,0,11110
52,XX,XX,XXX,XX,03, Lalmonirhat Zila,38322,29875,8442,4,1,0,11110
77,XX,XX,XXX,XX,03, Panchagarh Zila,34773,28447,5926,339,0,61,11110
85,XX,XX,XXX,XX,03, Rangpur Zila,55343,48849,5689,124,680,1,11110
49,XX,XX,XXX,XX,03, Kurigram Zila,141020,132832,8102,6,3,77,11110
32,XX,XX,XXX,XX,03, Gaibandha Zila,87108,79385,7651,2,0,70,11110
73,XX,XX,XXX,XX,03, Nilphamari Zila,54246,43865,10355,19,0,7,11110
94,XX,XX,XXX,XX,03, Thakurgaon Zila,35258,32242,2990,0,0,26,11110
27,XX,XX,XXX,XX,03, Dinajpur Zila,59779,49652,9059,520,0,548,11110
10,XX,XX,XXX,XX,03, Bogra Zila,46306,43236,3037,12,0,21,11110
88,XX,XX,XXX,XX,03, Sirajganj Zila,60145,56648,3473,24,0,0,11110
81,XX,XX,XXX,XX,03, Rajshahi Zila,23970,22393,1529,35,0,13,11110
64,XX,XX,XXX,XX,03, Naogaon Zila,88342,76028,11281,442,0,591,11110
70,XX,XX,XXX,XX,03, Chapai Nawabganj Zila,44549,42804,1727,0,1,17,11110
38,XX,XX,XXX,XX,03, Joypurhat Zila,11711,10719,978,3,0,11,11110
13,XX,XX,XXX,XX,03, Chandpur Zila,26433,25037,1396,0,0,0,11110
3,XX,XX,XXX,XX,03, Bandarban Zila,38849,27838,1234,1070,8605,102,11110
19,XX,XX,XXX,XX,03, Comilla Zila,132729,125198,7422,4,16,89,11110
12,XX,XX,XXX,XX,03, Brahmanbaria Zila,146641,132663,13961,13,4,0,11110
51,XX,XX,XXX,XX,03, Lakshmipur Zila,80338,77720,2618,0,0,0,11110
46,XX,XX,XXX,XX,03, Khagrachhari Zila,119763,58036,22810,897,37805,215,11110
22,XX,XX,XXX,XX,03, Cox's Bazar Zila,206488,189119,11285,48,5877,159,11110
15,XX,XX,XXX,XX,03, Chittagong Zila,181527,151930,26746,130,2368,353,11110
84,XX,XX,XXX,XX,03, Rangamati Zila,61820,28837,3580,86,29285,32,11110
30,XX,XX,XXX,XX,03, Feni Zila,9957,9394,563,0,0,0,11110
75,XX,XX,XXX,XX,03, Noakhali Zila,132240,128722,3490,27,1,0,11110
29,XX,XX,XXX,XX,03, Faridpur Zila,75853,68641,7212,0,0,0,11110
72,XX,XX,XXX,XX,03, Netrakona Zila,63997,50055,13464,401,2,75,11110
39,XX,XX,XXX,XX,03, Jamalpur Zila,51859,49862,1982,3,1,11,11110
59,XX,XX,XXX,XX,03, Munshiganj Zila,71287,64344,6876,61,2,4,11110
35,XX,XX,XXX,XX,03, Gopalganj Zila,43244,36212,6966,66,0,0,11110
82,XX,XX,XXX,XX,03, Rajbari Zila,31968,27831,4086,6,0,45,11110
61,XX,XX,XXX,XX,03, Mymensingh Zila,243131,230893,11221,953,29,35,11110
67,XX,XX,XXX,XX,03, Narayanganj Zila,46602,43152,3421,29,0,0,11110
33,XX,XX,XXX,XX,03, Gazipur Zila,19322,16149,3148,6,6,13,11110
