ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,XX,XX,XXX,XX,02, Khulna Zila,164723,159330,413,4980,694933,361338,333595.0,108.0,11110
18,XX,XX,XXX,XX,02, Chuadanga Zila,43217,42909,55,253,176748,88166,88582.0,100.0,11110
65,XX,XX,XXX,XX,02, Narail Zila,20349,20218,22,109,87267,43431,43836.0,99.0,11110
44,XX,XX,XXX,XX,02, Jhenaidah Zila,64445,63920,59,466,271221,137091,134130.0,102.0,11110
41,XX,XX,XXX,XX,02, Jessore Zila,106348,104340,178,1830,456570,235894,220676.0,107.0,11110
1,XX,XX,XXX,XX,02, Bagerhat Zila,25979,25443,75,461,110651,57063,53588.0,106.0,11110
55,XX,XX,XXX,XX,02, Magura Zila,22105,21920,46,139,98355,49065,49290.0,100.0,11110
50,XX,XX,XXX,XX,02, Kushtia Zila,43180,42344,101,735,187050,94970,92080.0,103.0,11110
57,XX,XX,XXX,XX,02, Meherpur Zila,16906,16704,17,185,68633,34505,34128.0,101.0,11110
87,XX,XX,XXX,XX,02, Satkhira Zila,33466,33093,37,336,140572,71126,69446.0,102.0,11110
42,XX,XX,XXX,XX,02, Jhalokati Zila,19452,19260,56,136,84834,42234,42600.0,99.0,11110
78,XX,XX,XXX,XX,02, Patuakhali Zila,27911,27258,53,600,124144,64101,60043.0,107.0,11110
6,XX,XX,XXX,XX,02, Barisal Zila,98751,96582,243,1926,447057,228439,218618.0,104.0,11110
79,XX,XX,XXX,XX,02, Pirojpur Zila,21961,21695,47,219,98450,50037,48413.0,103.0,11110
9,XX,XX,XXX,XX,02, Bhola Zila,23820,23467,55,298,117432,60291,57141.0,106.0,11110
4,XX,XX,XXX,XX,02, Barguna Zila,18403,17929,60,414,76927,39146,37781.0,104.0,11110
52,XX,XX,XXX,XX,02, Lalmonirhat Zila,20276,20103,36,137,90887,45987,44900.0,102.0,11110
77,XX,XX,XXX,XX,02, Panchagarh Zila,14056,13891,13,152,60376,30669,29707.0,103.0,11110
85,XX,XX,XXX,XX,02, Rangpur Zila,85888,84022,180,1686,387370,199176,188194.0,106.0,11110
49,XX,XX,XXX,XX,02, Kurigram Zila,43983,43503,73,407,185474,92777,92697.0,100.0,11110
32,XX,XX,XXX,XX,02, Gaibandha Zila,29400,28995,55,350,123416,61908,61508.0,101.0,11110
73,XX,XX,XXX,XX,02, Nilphamari Zila,49977,49640,110,227,235728,120374,115354.0,104.0,11110
94,XX,XX,XXX,XX,02, Thakurgaon Zila,28432,27910,65,457,126051,64426,61625.0,105.0,11110
27,XX,XX,XXX,XX,02, Dinajpur Zila,91112,89605,133,1374,393920,201579,192341.0,105.0,11110
10,XX,XX,XXX,XX,02, Bogra Zila,147921,145312,261,2348,624082,325379,298703.0,109.0,11110
88,XX,XX,XXX,XX,02, Sirajganj Zila,84287,83443,116,728,376432,191166,185266.0,103.0,11110
81,XX,XX,XXX,XX,02, Rajshahi Zila,192023,189046,444,2533,830649,425302,405347.0,105.0,11110
64,XX,XX,XXX,XX,02, Naogaon Zila,45090,44554,50,486,187225,96313,90912.0,106.0,11110
76,XX,XX,XXX,XX,02, Pabna Zila,89395,88216,129,1050,387675,196152,191523.0,102.0,11110
70,XX,XX,XXX,XX,02, Chapai Nawabganj Zila,59839,59443,59,337,275729,133299,142430.0,94.0,11110
69,XX,XX,XXX,XX,02, Natore Zila,55663,55108,78,477,228008,114752,113256.0,101.0,11110
38,XX,XX,XXX,XX,02, Joypurhat Zila,33045,32696,42,307,132199,66863,65336.0,102.0,11110
13,XX,XX,XXX,XX,02, Chandpur Zila,86059,84959,134,966,409291,201370,207921.0,97.0,11110
3,XX,XX,XXX,XX,02, Bandarban Zila,12761,12251,84,426,61574,34091,27483.0,124.0,11110
19,XX,XX,XXX,XX,02, Comilla Zila,140108,138065,407,1636,707597,357708,349889.0,102.0,11110
12,XX,XX,XXX,XX,02, Brahmanbaria Zila,59266,58809,65,392,301852,148270,153582.0,97.0,11110
51,XX,XX,XXX,XX,02, Lakshmipur Zila,37392,36984,69,339,182659,90687,91972.0,99.0,11110
46,XX,XX,XXX,XX,02, Khagrachhari Zila,20431,20020,92,319,96045,50703,45342.0,112.0,11110
22,XX,XX,XXX,XX,02, Cox's Bazar Zila,54407,53047,57,1303,292523,158972,133551.0,119.0,11110
15,XX,XX,XXX,XX,02, Chittagong Zila,632691,616259,1502,14930,2971102,1554368,1416734.0,110.0,11110
84,XX,XX,XXX,XX,02, Rangamati Zila,21129,20501,88,540,97807,52229,45578.0,115.0,11110
30,XX,XX,XXX,XX,02, Feni Zila,56248,54995,181,1072,283785,145196,138589.0,105.0,11110
75,XX,XX,XXX,XX,02, Noakhali Zila,68427,66964,152,1311,364460,182611,181849.0,100.0,11110
29,XX,XX,XXX,XX,02, Faridpur Zila,43461,42559,162,740,195247,98804,96443.0,102.0,11110
72,XX,XX,XXX,XX,02, Netrakona Zila,39627,39015,90,522,183186,92872,90314.0,103.0,11110
39,XX,XX,XXX,XX,02, Jamalpur Zila,81668,81010,80,578,336010,166825,169185.0,99.0,11110
59,XX,XX,XXX,XX,02, Munshiganj Zila,25045,24888,22,135,114819,58612,56207.0,104.0,11110
35,XX,XX,XXX,XX,02, Gopalganj Zila,18906,18395,26,485,85461,43514,41947.0,104.0,11110
82,XX,XX,XXX,XX,02, Rajbari Zila,23382,23139,46,197,104074,52046,52028.0,100.0,11110
61,XX,XX,XXX,XX,02, Mymensingh Zila,120821,118528,231,2062,554996,282565,272431.0,104.0,11110
67,XX,XX,XXX,XX,02, Narayanganj Zila,222450,217618,202,4630,942354,488283,454071.0,108.0,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,255831,248296,495,7040,1018252,541564,476688.0,114.0,11110
56,XX,XX,XXX,XX,02, Manikganj Zila,22561,22148,35,378,98583,49045,49538.0,99.0,11110
26,XX,XX,XXX,XX,02, Dhaka Zila,1684986,1569197,4303,111486,7423137,4119728,3303409.0,125.0,11110
86,XX,XX,XXX,XX,02, Shariatpur Zila,25364,25098,29,237,115970,57152,58818.0,97.0,11110
54,XX,XX,XXX,XX,02, Madaripur Zila,28454,28244,48,162,128452,63297,65155.0,97.0,11110
93,XX,XX,XXX,XX,02, Tangail Zila,109848,108248,321,1279,469660,236880,232780.0,102.0,11110
48,XX,XX,XXX,XX,02, Kishoreganj Zila,86970,84997,93,1880,408762,204148,204614.0,100.0,11110
89,XX,XX,XXX,XX,02, Sherpur Zila,43048,42754,59,235,182376,91553,90823.0,101.0,11110
68,XX,XX,XXX,XX,02, Narsingdi Zila,78271,75892,127,2252,354458,184136,170322.0,108.0,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,255831,248296,495,7040,1018252,541564,476688.0,114.0,11110
90,XX,XX,XXX,XX,02, Sunamganj Zila,31855,31317,44,494,178552,92374,86178.0,107.0,11110
36,XX,XX,XXX,XX,02, Habiganj Zila,33157,32335,30,792,171749,86239,85510.0,101.0,11110
91,XX,XX,XXX,XX,02, Sylhet Zila,118834,114290,342,4202,603088,319839,283249.0,113.0,11110
58,XX,XX,XXX,XX,02, Maulvibazar Zila,28151,27603,40,508,144843,74089,70754.0,105.0,11110
