ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 3-5 years-Attending school-Male,Population aged 3-5 years-Attending school-Female,Population aged 3-5 years-Not attending school-Male,Population aged 3-5 years-Not attending school-Female,Population aged 6-10 years-Attending school-Male,Population aged 6-10 years-Attending school-Female,Population aged 6-10 years-Not attending school-Male,Population aged 6-10 years-Not attending school-Female,Population aged 11-14 years-Attending school-Male,Population aged 11-14 years-Attending school-Female,Population aged 11-14 years-Not attending school-Male,Population aged 11-14 years-Not attending school-Female,check_var
47,XX,XX,XXX,XX,02, Khulna Zila,4192,4049,14313,13789,30178,28124,5633,4793,24741,24046,5068,3414,11110
18,XX,XX,XXX,XX,02, Chuadanga Zila,481,450,4446,4291,7285,7102,2022,1832,6274,6418,1530,809,11110
65,XX,XX,XXX,XX,02, Narail Zila,465,413,2328,2262,4355,4019,960,803,3295,3119,604,406,11110
44,XX,XX,XXX,XX,02, Jhenaidah Zila,1239,1152,6640,6470,12208,11542,2801,2354,9838,9525,1899,1028,11110
41,XX,XX,XXX,XX,02, Jessore Zila,2428,2320,10739,10491,19964,18849,4194,3572,15125,15532,3640,1996,11110
1,XX,XX,XXX,XX,02, Bagerhat Zila,581,541,2466,2470,4953,4673,962,868,3998,4230,852,621,11110
55,XX,XX,XXX,XX,02, Magura Zila,292,320,2674,2563,4625,4398,1128,1014,3789,3750,664,347,11110
50,XX,XX,XXX,XX,02, Kushtia Zila,887,866,3948,3794,7697,7234,1640,1632,6170,5929,1224,869,11110
57,XX,XX,XXX,XX,02, Meherpur Zila,278,325,1572,1548,3057,2776,584,505,2401,2364,513,236,11110
87,XX,XX,XXX,XX,02, Satkhira Zila,684,644,3321,3207,6417,5782,1130,1023,4838,4854,936,596,11110
42,XX,XX,XXX,XX,02, Jhalokati Zila,551,533,2035,1997,4553,4281,730,684,3569,3330,613,484,11110
78,XX,XX,XXX,XX,02, Patuakhali Zila,554,511,3030,2922,5561,5203,1227,1196,4620,4383,973,720,11110
6,XX,XX,XXX,XX,02, Barisal Zila,2619,2717,10914,10529,21760,19983,4240,3776,16719,16293,3957,3019,11110
79,XX,XX,XXX,XX,02, Pirojpur Zila,590,533,2399,2316,4948,4547,759,645,4401,3709,692,387,11110
9,XX,XX,XXX,XX,02, Bhola Zila,534,499,3404,3274,6071,5555,1527,1635,4865,4663,1127,1237,11110
4,XX,XX,XXX,XX,02, Barguna Zila,410,391,1845,1937,3647,3435,683,673,2991,2656,503,385,11110
52,XX,XX,XXX,XX,02, Lalmonirhat Zila,288,273,2950,2832,4451,4322,1283,1248,3121,3436,894,595,11110
77,XX,XX,XXX,XX,02, Panchagarh Zila,328,240,1663,1564,2942,2772,493,484,2178,2211,540,351,11110
85,XX,XX,XXX,XX,02, Rangpur Zila,1696,1659,9527,9104,16637,15427,4812,4887,13433,13227,3707,3505,11110
49,XX,XX,XXX,XX,02, Kurigram Zila,440,434,5799,5574,8215,7963,2741,2543,6498,6642,1579,1132,11110
32,XX,XX,XXX,XX,02, Gaibandha Zila,401,398,3576,3349,5517,5043,1737,1728,4274,4135,1013,923,11110
73,XX,XX,XXX,XX,02, Nilphamari Zila,1070,1107,6757,6567,11110,10611,3379,2986,8085,8563,2888,2218,11110
94,XX,XX,XXX,XX,02, Thakurgaon Zila,561,570,3310,3182,5980,5596,1241,1282,4798,4715,907,785,11110
27,XX,XX,XXX,XX,02, Dinajpur Zila,1741,1658,9794,9606,17064,16033,4142,3947,14099,13107,3244,2662,11110
10,XX,XX,XXX,XX,02, Bogra Zila,2881,2683,15475,14546,26651,24486,6997,6434,20885,20047,5143,3638,11110
88,XX,XX,XXX,XX,02, Sirajganj Zila,1574,1386,11266,10862,17822,16851,5846,4993,12394,12726,3945,2508,11110
81,XX,XX,XXX,XX,02, Rajshahi Zila,3689,3648,18395,17735,34569,32550,7665,6622,28211,28372,6233,3268,11110
64,XX,XX,XXX,XX,02, Naogaon Zila,702,643,4614,4202,7416,7010,2315,2000,5871,5829,1406,894,11110
76,XX,XX,XXX,XX,02, Pabna Zila,1648,1541,10328,10383,17310,16237,4863,4253,13114,13113,3144,1990,11110
70,XX,XX,XXX,XX,02, Chapai Nawabganj Zila,1175,1227,7232,6972,12669,12461,3185,2642,10010,11077,3033,1346,11110
69,XX,XX,XXX,XX,02, Natore Zila,921,956,5501,5315,9886,9400,2227,2026,7513,7440,1455,904,11110
38,XX,XX,XXX,XX,02, Joypurhat Zila,536,579,3206,2961,5732,5377,1090,1171,4402,4226,732,626,11110
13,XX,XX,XXX,XX,02, Chandpur Zila,2204,2189,12421,11502,21616,20454,4876,4084,15160,16242,4038,2437,11110
3,XX,XX,XXX,XX,02, Bandarban Zila,445,422,1671,1527,3474,3091,668,575,2542,2428,654,391,11110
19,XX,XX,XXX,XX,02, Comilla Zila,3987,3880,20943,20491,37198,34829,9811,8865,26690,25993,7074,5126,11110
12,XX,XX,XXX,XX,02, Brahmanbaria Zila,1506,1425,11111,10689,16597,15928,5164,4695,10369,11774,3555,2341,11110
51,XX,XX,XXX,XX,02, Lakshmipur Zila,916,889,5695,5477,9926,9224,2310,2252,6945,6955,2011,1412,11110
46,XX,XX,XXX,XX,02, Khagrachhari Zila,535,522,2589,2541,5063,4743,982,934,4035,3830,994,700,11110
22,XX,XX,XXX,XX,02, Cox's Bazar Zila,1915,1750,9553,9275,15091,14636,4875,4308,9190,9777,4365,3143,11110
15,XX,XX,XXX,XX,02, Chittagong Zila,21107,20303,68695,66792,128387,119052,33158,31368,92440,87516,29738,28990,11110
84,XX,XX,XXX,XX,02, Rangamati Zila,616,589,2273,2107,4988,4455,834,775,4016,3821,820,551,11110
30,XX,XX,XXX,XX,02, Feni Zila,1263,1162,9011,8562,15548,13841,3641,3383,12103,10682,2474,1886,11110
75,XX,XX,XXX,XX,02, Noakhali Zila,1760,1755,11348,10992,20357,18219,4988,4670,15553,14487,3543,2866,11110
29,XX,XX,XXX,XX,02, Faridpur Zila,1090,1038,4666,4510,9102,8598,2162,1917,6464,6790,1592,1163,11110
72,XX,XX,XXX,XX,02, Netrakona Zila,860,787,5802,5590,9476,8540,3155,2789,6608,6370,2145,1693,11110
39,XX,XX,XXX,XX,02, Jamalpur Zila,1238,1171,10532,10327,16369,15019,5226,4651,11527,11142,2946,2188,11110
59,XX,XX,XXX,XX,02, Munshiganj Zila,529,480,3208,3042,5402,5036,1383,1234,4013,3854,1047,720,11110
35,XX,XX,XXX,XX,02, Gopalganj Zila,510,564,2380,2147,4577,4262,1028,913,3410,3278,760,571,11110
82,XX,XX,XXX,XX,02, Rajbari Zila,435,412,2680,2451,4605,4350,934,893,3553,3693,702,438,11110
61,XX,XX,XXX,XX,02, Mymensingh Zila,3225,3021,15025,14605,27464,24919,7220,6675,19982,18848,5506,4265,11110
67,XX,XX,XXX,XX,02, Narayanganj Zila,5239,5030,24492,23837,39884,38395,12715,11200,25453,26407,11256,9258,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,5284,4952,25867,24665,39603,36598,12778,12021,25525,23729,9021,8881,11110
56,XX,XX,XXX,XX,02, Manikganj Zila,503,526,2448,2378,4399,4336,972,831,3074,3195,581,406,11110
26,XX,XX,XXX,XX,02, Dhaka Zila,45453,43450,149811,144738,267330,245497,73047,72832,191971,179170,79266,87711,11110
86,XX,XX,XXX,XX,02, Shariatpur Zila,610,561,3368,3262,6062,5886,1371,1184,4223,4745,1094,680,11110
54,XX,XX,XXX,XX,02, Madaripur Zila,716,701,3551,3545,6895,6560,1463,1320,4790,5020,1089,825,11110
93,XX,XX,XXX,XX,02, Tangail Zila,2476,2439,11923,11579,22468,20779,5211,4611,18836,15915,3165,2194,11110
48,XX,XX,XXX,XX,02, Kishoreganj Zila,2128,1904,12970,12579,22982,21218,6136,5187,14825,15765,4764,2988,11110
89,XX,XX,XXX,XX,02, Sherpur Zila,963,917,5504,5366,9511,9013,3042,2707,6276,6381,2121,1347,11110
68,XX,XX,XXX,XX,02, Narsingdi Zila,1699,1719,10396,9876,16948,16281,5055,4291,11487,12209,4038,2276,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,5284,4952,25867,24665,39603,36598,12778,12021,25525,23729,9021,8881,11110
90,XX,XX,XXX,XX,02, Sunamganj Zila,914,818,6116,5899,8813,8548,3235,2944,5711,5655,2505,2196,11110
36,XX,XX,XXX,XX,02, Habiganj Zila,762,666,5798,5659,8660,8195,2652,2344,5285,5496,2034,1661,11110
91,XX,XX,XXX,XX,02, Sylhet Zila,3620,3299,17353,16394,26710,25524,8392,7756,18909,17735,6659,6411,11110
58,XX,XX,XXX,XX,02, Maulvibazar Zila,765,756,4374,4090,7159,6741,1986,1789,4873,4846,1678,1416,11110
