ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 7+ and not attending school-Both,Population aged 7+ and not attending school-Male,Population aged 7+ and not attending school-Female,Employment Status-Employed-Male,Employment Status-Employed-Female,Employment Status-Looking for work-Male,Employment Status-Looking for work-Female,Employment Status-Household work-Male,Employment Status-Household work-Female,Employment Status-Do not work-Male,Employment Status-Do not work-Female,check_var
47,XX,XX,XXX,XX,02, Khulna Zila,96139,41412,54727,30901,10237,288,155,371,29845.0,9852,14490,11110
18,XX,XX,XXX,XX,02, Chuadanga Zila,38795,17133,21662,13904,1748,81,48,104,15469.0,3044,4397,11110
65,XX,XX,XXX,XX,02, Narail Zila,15768,6877,8891,5346,781,30,17,75,6017.0,1426,2076,11110
44,XX,XX,XXX,XX,02, Jhenaidah Zila,62463,28069,34394,23437,2346,95,70,216,25409.0,4321,6569,11110
41,XX,XX,XXX,XX,02, Jessore Zila,77508,33184,44324,26115,6598,138,90,254,28234.0,6677,9402,11110
1,XX,XX,XXX,XX,02, Bagerhat Zila,15169,7169,8000,5612,1095,76,15,143,4957.0,1338,1933,11110
55,XX,XX,XXX,XX,02, Magura Zila,19500,8427,11073,6855,781,40,45,74,8055.0,1458,2192,11110
50,XX,XX,XXX,XX,02, Kushtia Zila,32484,14250,18234,11560,2328,69,51,123,12253.0,2498,3602,11110
57,XX,XX,XXX,XX,02, Meherpur Zila,14056,6342,7714,5300,496,18,15,29,5946.0,995,1257,11110
87,XX,XX,XXX,XX,02, Satkhira Zila,22769,9102,13667,7419,1816,39,27,71,8864.0,1573,2960,11110
42,XX,XX,XXX,XX,02, Jhalokati Zila,9374,4312,5062,2964,283,34,20,72,3295.0,1242,1464,11110
78,XX,XX,XXX,XX,02, Patuakhali Zila,14669,6355,8314,4821,1117,54,20,124,4839.0,1356,2338,11110
6,XX,XX,XXX,XX,02, Barisal Zila,52102,23604,28498,17751,3697,264,98,417,17278.0,5172,7425,11110
79,XX,XX,XXX,XX,02, Pirojpur Zila,7910,3642,4268,2588,336,35,13,120,2602.0,899,1317,11110
9,XX,XX,XXX,XX,02, Bhola Zila,17509,7999,9510,5850,655,82,32,112,6462.0,1955,2361,11110
4,XX,XX,XXX,XX,02, Barguna Zila,8256,3603,4653,2414,473,49,28,153,2760.0,987,1392,11110
52,XX,XX,XXX,XX,02, Lalmonirhat Zila,20599,8912,11687,7014,1307,101,25,139,8259.0,1658,2096,11110
77,XX,XX,XXX,XX,02, Panchagarh Zila,9913,4150,5763,3386,801,63,27,43,3837.0,658,1098,11110
85,XX,XX,XXX,XX,02, Rangpur Zila,81364,35498,45866,27892,7914,260,138,333,29142.0,7013,8672,11110
49,XX,XX,XXX,XX,02, Kurigram Zila,54426,23803,30623,19742,2685,165,46,366,23151.0,3530,4741,11110
32,XX,XX,XXX,XX,02, Gaibandha Zila,28032,12160,15872,9530,1460,92,34,216,11637.0,2322,2741,11110
73,XX,XX,XXX,XX,02, Nilphamari Zila,59827,27285,32542,21491,3101,364,162,285,23264.0,5145,6015,11110
94,XX,XX,XXX,XX,02, Thakurgaon Zila,22497,9469,13028,7590,1763,47,26,61,8569.0,1771,2670,11110
27,XX,XX,XXX,XX,02, Dinajpur Zila,73295,32031,41264,25126,6644,179,122,372,26803.0,6354,7695,11110
10,XX,XX,XXX,XX,02, Bogra Zila,119772,53766,66006,43407,7085,251,93,681,46689.0,9427,12139,11110
88,XX,XX,XXX,XX,02, Sirajganj Zila,91073,41316,49757,33453,3656,259,102,268,36486.0,7336,9513,11110
81,XX,XX,XXX,XX,02, Rajshahi Zila,162887,72057,90830,58085,9734,418,209,1279,65157.0,12275,15730,11110
64,XX,XX,XXX,XX,02, Naogaon Zila,38717,17402,21315,14298,2989,104,54,180,14027.0,2820,4245,11110
76,XX,XX,XXX,XX,02, Pabna Zila,86032,40468,45564,33209,3673,282,113,510,33256.0,6467,8522,11110
70,XX,XX,XXX,XX,02, Chapai Nawabganj Zila,60994,28940,32054,22748,1866,240,50,308,23864.0,5644,6274,11110
69,XX,XX,XXX,XX,02, Natore Zila,51710,22763,28947,19168,2494,150,63,258,21794.0,3187,4596,11110
38,XX,XX,XXX,XX,02, Joypurhat Zila,25308,10637,14671,8762,1436,64,31,113,10869.0,1698,2335,11110
13,XX,XX,XXX,XX,02, Chandpur Zila,70757,33093,37664,23488,1950,254,85,499,25610.0,8852,10019,11110
3,XX,XX,XXX,XX,02, Bandarban Zila,11255,5163,6092,3944,804,36,26,87,3796.0,1096,1466,11110
19,XX,XX,XXX,XX,02, Comilla Zila,131724,59542,72182,43222,6489,775,242,925,47434.0,14620,18017,11110
12,XX,XX,XXX,XX,02, Brahmanbaria Zila,60903,27873,33030,20010,2199,286,75,457,22300.0,7120,8456,11110
51,XX,XX,XXX,XX,02, Lakshmipur Zila,30346,13727,16619,9587,889,159,70,228,11086.0,3753,4574,11110
46,XX,XX,XXX,XX,02, Khagrachhari Zila,16145,6755,9390,5105,699,105,20,113,6757.0,1432,1914,11110
22,XX,XX,XXX,XX,02, Cox's Bazar Zila,74926,38761,36165,32089,3332,294,113,715,25603.0,5663,7117,11110
15,XX,XX,XXX,XX,02, Chittagong Zila,466982,211264,255718,160220,66136,2687,1058,3642,130745.0,44715,57779,11110
84,XX,XX,XXX,XX,02, Rangamati Zila,13859,5924,7935,4625,870,66,34,123,5372.0,1110,1659,11110
30,XX,XX,XXX,XX,02, Feni Zila,41817,19201,22616,14302,1841,333,73,356,15085.0,4210,5617,11110
