ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,XX,XX,XXX,XX,02, Khulna Zila,41138,30901,10237,2406,361,5906,1495,22589,8381,11110
18,XX,XX,XXX,XX,02, Chuadanga Zila,15652,13904,1748,5749,176,1559,312,6596,1260,11110
65,XX,XX,XXX,XX,02, Narail Zila,6127,5346,781,2594,83,481,80,2271,618,11110
44,XX,XX,XXX,XX,02, Jhenaidah Zila,25783,23437,2346,10917,216,1987,290,10533,1840,11110
41,XX,XX,XXX,XX,02, Jessore Zila,32713,26115,6598,7128,425,3257,1386,15730,4787,11110
1,XX,XX,XXX,XX,02, Bagerhat Zila,6707,5612,1095,716,49,258,36,4638,1010,11110
55,XX,XX,XXX,XX,02, Magura Zila,7636,6855,781,2711,44,607,69,3537,668,11110
50,XX,XX,XXX,XX,02, Kushtia Zila,13888,11560,2328,2862,65,1398,386,7300,1877,11110
57,XX,XX,XXX,XX,02, Meherpur Zila,5796,5300,496,2111,35,32,5,3157,456,11110
87,XX,XX,XXX,XX,02, Satkhira Zila,9235,7419,1816,2730,387,780,98,3909,1331,11110
42,XX,XX,XXX,XX,02, Jhalokati Zila,3247,2964,283,651,8,268,30,2045,245,11110
78,XX,XX,XXX,XX,02, Patuakhali Zila,5938,4821,1117,977,62,775,109,3069,946,11110
6,XX,XX,XXX,XX,02, Barisal Zila,21448,17751,3697,4694,245,2655,541,10402,2911,11110
79,XX,XX,XXX,XX,02, Pirojpur Zila,2924,2588,336,679,32,191,14,1718,290,11110
9,XX,XX,XXX,XX,02, Bhola Zila,6505,5850,655,2410,87,516,73,2924,495,11110
4,XX,XX,XXX,XX,02, Barguna Zila,2887,2414,473,735,96,230,23,1449,354,11110
52,XX,XX,XXX,XX,02, Lalmonirhat Zila,8321,7014,1307,1833,150,269,51,4912,1106,11110
77,XX,XX,XXX,XX,02, Panchagarh Zila,4187,3386,801,677,45,59,21,2650,735,11110
85,XX,XX,XXX,XX,02, Rangpur Zila,35806,27892,7914,5189,562,4808,1329,17895,6023,11110
49,XX,XX,XXX,XX,02, Kurigram Zila,22427,19742,2685,10609,558,843,274,8290,1853,11110
32,XX,XX,XXX,XX,02, Gaibandha Zila,10990,9530,1460,3818,147,429,42,5283,1271,11110
73,XX,XX,XXX,XX,02, Nilphamari Zila,24592,21491,3101,7411,338,2820,437,11260,2326,11110
94,XX,XX,XXX,XX,02, Thakurgaon Zila,9353,7590,1763,1928,115,455,75,5207,1573,11110
27,XX,XX,XXX,XX,02, Dinajpur Zila,31770,25126,6644,7034,895,2146,590,15946,5159,11110
10,XX,XX,XXX,XX,02, Bogra Zila,50492,43407,7085,15532,500,7202,941,20673,5644,11110
88,XX,XX,XXX,XX,02, Sirajganj Zila,37109,33453,3656,8003,192,9832,1073,15618,2391,11110
81,XX,XX,XXX,XX,02, Rajshahi Zila,67819,58085,9734,29960,1891,5510,994,22615,6849,11110
64,XX,XX,XXX,XX,02, Naogaon Zila,17287,14298,2989,4485,463,1672,248,8141,2278,11110
76,XX,XX,XXX,XX,02, Pabna Zila,36882,33209,3673,13719,400,5396,984,14094,2289,11110
70,XX,XX,XXX,XX,02, Chapai Nawabganj Zila,24614,22748,1866,10829,358,2681,329,9238,1179,11110
69,XX,XX,XXX,XX,02, Natore Zila,21662,19168,2494,10340,437,1402,174,7426,1883,11110
38,XX,XX,XXX,XX,02, Joypurhat Zila,10198,8762,1436,3674,293,462,113,4626,1030,11110
13,XX,XX,XXX,XX,02, Chandpur Zila,25438,23488,1950,9075,203,2030,174,12383,1573,11110
3,XX,XX,XXX,XX,02, Bandarban Zila,4748,3944,804,1310,349,345,26,2289,429,11110
19,XX,XX,XXX,XX,02, Comilla Zila,49711,43222,6489,14385,422,4528,1080,24309,4987,11110
12,XX,XX,XXX,XX,02, Brahmanbaria Zila,22209,20010,2199,5855,186,1582,142,12573,1871,11110
51,XX,XX,XXX,XX,02, Lakshmipur Zila,10476,9587,889,3419,138,1463,91,4705,660,11110
46,XX,XX,XXX,XX,02, Khagrachhari Zila,5804,5105,699,1725,120,556,32,2824,547,11110
22,XX,XX,XXX,XX,02, Cox's Bazar Zila,35421,32089,3332,12633,353,1701,183,17755,2796,11110
15,XX,XX,XXX,XX,02, Chittagong Zila,226356,160220,66136,14275,1111,33854,29546,112091,35479,11110
84,XX,XX,XXX,XX,02, Rangamati Zila,5495,4625,870,1486,273,796,93,2343,504,11110
30,XX,XX,XXX,XX,02, Feni Zila,16143,14302,1841,3215,61,1367,276,9720,1504,11110
75,XX,XX,XXX,XX,02, Noakhali Zila,18839,16605,2234,5932,353,1172,159,9501,1722,11110
29,XX,XX,XXX,XX,02, Faridpur Zila,13048,10964,2084,3419,86,1286,161,6259,1837,11110
72,XX,XX,XXX,XX,02, Netrakona Zila,16787,14746,2041,6173,254,1666,263,6907,1524,11110
39,XX,XX,XXX,XX,02, Jamalpur Zila,41267,37055,4212,19580,727,3767,751,13708,2734,11110
59,XX,XX,XXX,XX,02, Munshiganj Zila,9381,8536,845,1884,60,899,72,5753,713,11110
35,XX,XX,XXX,XX,02, Gopalganj Zila,4514,4005,509,2043,80,347,46,1615,383,11110
82,XX,XX,XXX,XX,02, Rajbari Zila,7457,6746,711,2144,36,822,101,3780,574,11110
61,XX,XX,XXX,XX,02, Mymensingh Zila,42633,36909,5724,10441,268,5744,937,20724,4519,11110
67,XX,XX,XXX,XX,02, Narayanganj Zila,91635,66348,25287,4977,348,23931,13680,37440,11259,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,107212,69589,37623,7416,636,29419,26607,32754,10380,11110
56,XX,XX,XXX,XX,02, Manikganj Zila,7555,6679,876,3375,78,464,120,2840,678,11110
26,XX,XX,XXX,XX,02, Dhaka Zila,652335,433931,218404,9315,1241,89522,59113,335094,158050,11110
86,XX,XX,XXX,XX,02, Shariatpur Zila,8044,7643,401,4130,81,826,61,2687,259,11110
54,XX,XX,XXX,XX,02, Madaripur Zila,7046,6187,859,3012,278,989,72,2186,509,11110
93,XX,XX,XXX,XX,02, Tangail Zila,43787,39802,3985,16986,427,4303,430,18513,3128,11110
48,XX,XX,XXX,XX,02, Kishoreganj Zila,36163,32391,3772,10018,429,3940,593,18433,2750,11110
89,XX,XX,XXX,XX,02, Sherpur Zila,22772,20148,2624,8075,268,2758,459,9315,1897,11110
68,XX,XX,XXX,XX,02, Narsingdi Zila,28798,24454,4344,3626,125,8363,1992,12465,2227,11110
33,XX,XX,XXX,XX,02, Gazipur Zila,107212,69589,37623,7416,636,29419,26607,32754,10380,11110
90,XX,XX,XXX,XX,02, Sunamganj Zila,17148,14814,2334,4978,198,1281,105,8555,2031,11110
36,XX,XX,XXX,XX,02, Habiganj Zila,12664,11233,1431,3952,159,1695,138,5586,1134,11110
91,XX,XX,XXX,XX,02, Sylhet Zila,44251,35675,8576,4178,451,6337,664,25160,7461,11110
58,XX,XX,XXX,XX,02, Maulvibazar Zila,10681,9025,1656,1562,89,699,31,6764,1536,11110
