ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Total,Muslim,Hindu,Christian,Buddhist,Others,check_var
47,XX,XX,XXX,XX,02, Khulna Zila,694933,613715,71496,9526,76,120,11110
18,XX,XX,XXX,XX,02, Chuadanga Zila,176748,167690,8612,72,8,366,11110
65,XX,XX,XXX,XX,02, Narail Zila,87267,66419,20743,70,0,35,11110
44,XX,XX,XXX,XX,02, Jhenaidah Zila,271221,235464,34996,546,4,211,11110
41,XX,XX,XXX,XX,02, Jessore Zila,456570,404992,50096,1259,87,136,11110
1,XX,XX,XXX,XX,02, Bagerhat Zila,110651,93580,15265,1776,20,10,11110
55,XX,XX,XXX,XX,02, Magura Zila,98355,82627,15575,144,6,3,11110
50,XX,XX,XXX,XX,02, Kushtia Zila,187050,168033,18435,146,68,368,11110
57,XX,XX,XXX,XX,02, Meherpur Zila,68633,65715,2643,245,1,29,11110
87,XX,XX,XXX,XX,02, Satkhira Zila,140572,125853,14058,653,8,0,11110
42,XX,XX,XXX,XX,02, Jhalokati Zila,84834,74396,10417,7,6,8,11110
78,XX,XX,XXX,XX,02, Patuakhali Zila,124144,105441,18436,51,205,11,11110
6,XX,XX,XXX,XX,02, Barisal Zila,447057,397682,45738,3544,84,9,11110
79,XX,XX,XXX,XX,02, Pirojpur Zila,98450,83071,15346,17,16,0,11110
9,XX,XX,XXX,XX,02, Bhola Zila,117432,104540,12852,36,4,0,11110
4,XX,XX,XXX,XX,02, Barguna Zila,76927,64871,12016,13,23,4,11110
52,XX,XX,XXX,XX,02, Lalmonirhat Zila,90887,81166,9460,259,1,1,11110
77,XX,XX,XXX,XX,02, Panchagarh Zila,60376,56832,3505,24,4,11,11110
85,XX,XX,XXX,XX,02, Rangpur Zila,387370,358504,28273,154,59,380,11110
49,XX,XX,XXX,XX,02, Kurigram Zila,185474,170775,14617,57,2,23,11110
32,XX,XX,XXX,XX,02, Gaibandha Zila,123416,106950,16425,41,0,0,11110
73,XX,XX,XXX,XX,02, Nilphamari Zila,235728,216100,18909,459,22,238,11110
94,XX,XX,XXX,XX,02, Thakurgaon Zila,126051,110087,14645,471,118,730,11110
27,XX,XX,XXX,XX,02, Dinajpur Zila,393920,339812,45451,5138,47,3472,11110
10,XX,XX,XXX,XX,02, Bogra Zila,624082,574885,48284,685,89,139,11110
88,XX,XX,XXX,XX,02, Sirajganj Zila,376432,347897,28432,33,17,53,11110
81,XX,XX,XXX,XX,02, Rajshahi Zila,830649,773743,47563,6413,116,2814,11110
64,XX,XX,XXX,XX,02, Naogaon Zila,187225,161674,23634,781,2,1134,11110
76,XX,XX,XXX,XX,02, Pabna Zila,387675,363211,24158,264,19,23,11110
