ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Households-Total,Households-General,Households-Institutional,Households-Others,Population-Both,Population-Male,Population-Female,Sex Ratio,check_var
47,XX,XX,XXX,XX,01, Khulna Zila,363436,362083,175,1178,1540939,772831,768108.0,101.0,11110
18,XX,XX,XXX,XX,01, Chuadanga Zila,202741,202606,58,77,822858,411966,410892.0,100.0,11110
65,XX,XX,XXX,XX,01, Narail Zila,136777,136603,52,122,609316,297621,311695.0,95.0,11110
44,XX,XX,XXX,XX,01, Jhenaidah Zila,355670,355164,113,393,1491112,744845,746267.0,100.0,11110
41,XX,XX,XXX,XX,01, Jessore Zila,536198,535337,266,595,2250995,1121567,1129428.0,99.0,11110
1,XX,XX,XXX,XX,01, Bagerhat Zila,308197,305173,168,2856,1280759,640761,639998.0,100.0,11110
55,XX,XX,XXX,XX,01, Magura Zila,178786,178593,60,133,798005,394595,403410.0,98.0,11110
50,XX,XX,XXX,XX,01, Kushtia Zila,421907,421496,75,336,1711312,854534,856778.0,100.0,11110
57,XX,XX,XXX,XX,01, Meherpur Zila,145744,145631,31,82,571999,282916,289083.0,98.0,11110
87,XX,XX,XXX,XX,01, Satkhira Zila,423040,422470,121,449,1788343,883030,905313.0,98.0,11110
42,XX,XX,XXX,XX,01, Jhalokati Zila,132302,131951,57,294,570666,273763,296903.0,92.0,11110
78,XX,XX,XXX,XX,01, Patuakhali Zila,301231,300605,89,537,1333972,650724,683248.0,95.0,11110
6,XX,XX,XXX,XX,01, Barisal Zila,399205,398558,161,486,1805294,873352,931942.0,94.0,11110
79,XX,XX,XXX,XX,01, Pirojpur Zila,214911,214398,93,420,930626,456558,474068.0,96.0,11110
9,XX,XX,XXX,XX,01, Bhola Zila,322594,322077,59,458,1533478,761425,772053.0,99.0,11110
4,XX,XX,XXX,XX,01, Barguna Zila,191060,190564,85,411,789687,385344,404343.0,95.0,11110
52,XX,XX,XXX,XX,01, Lalmonirhat Zila,261427,261126,96,205,1126890,563558,563332.0,100.0,11110
77,XX,XX,XXX,XX,01, Panchagarh Zila,206399,206116,76,207,892495,448494,444001.0,101.0,11110
85,XX,XX,XXX,XX,01, Rangpur Zila,620384,619571,185,628,2438373,1216653,1221720.0,100.0,11110
49,XX,XX,XXX,XX,01, Kurigram Zila,430233,429920,63,250,1742779,848210,894569.0,95.0,11110
32,XX,XX,XXX,XX,01, Gaibandha Zila,561601,561124,78,399,2168731,1063923,1104808.0,96.0,11110
73,XX,XX,XXX,XX,01, Nilphamari Zila,358925,358647,99,179,1544257,775301,768956.0,101.0,11110
94,XX,XX,XXX,XX,01, Thakurgaon Zila,284009,283721,75,213,1228733,618922,609811.0,101.0,11110
27,XX,XX,XXX,XX,01, Dinajpur Zila,610459,609562,282,615,2536429,1276744,1259685.0,101.0,11110
10,XX,XX,XXX,XX,01, Bogra Zila,708018,707118,235,665,2730486,1360043,1370443.0,99.0,11110
88,XX,XX,XXX,XX,01, Sirajganj Zila,615797,614825,167,805,2660912,1330252,1330660.0,100.0,11110
81,XX,XX,XXX,XX,01, Rajshahi Zila,435697,435295,70,332,1740578,872467,868111.0,101.0,11110
64,XX,XX,XXX,XX,01, Naogaon Zila,589548,588878,172,498,2324590,1159229,1165361.0,99.0,11110
76,XX,XX,XXX,XX,01, Pabna Zila,501354,500675,109,570,2135504,1066782,1068722.0,100.0,11110
70,XX,XX,XXX,XX,01, Chapai Nawabganj Zila,287895,287571,59,265,1327243,654887,672356.0,97.0,11110
69,XX,XX,XXX,XX,01, Natore Zila,368212,367813,110,289,1478665,739431,739234.0,100.0,11110
38,XX,XX,XXX,XX,01, Joypurhat Zila,206361,206157,70,134,769858,386599,383259.0,101.0,11110
13,XX,XX,XXX,XX,01, Chandpur Zila,414600,413241,203,1156,1980294,931494,1048800.0,89.0,11110
3,XX,XX,XXX,XX,01, Bandarban Zila,59352,58616,133,603,287912,149126,138786.0,107.0,11110
19,XX,XX,XXX,XX,01, Comilla Zila,886900,884576,674,1650,4546962,2151758,2395204.0,90.0,11110
12,XX,XX,XXX,XX,01, Brahmanbaria Zila,451840,451125,171,544,2392005,1145988,1246017.0,92.0,11110
51,XX,XX,XXX,XX,01, Lakshmipur Zila,310138,309512,138,488,1466191,698234,767957.0,91.0,11110
46,XX,XX,XXX,XX,01, Khagrachhari Zila,87522,87063,101,358,398109,201700,196409.0,103.0,11110
22,XX,XX,XXX,XX,01, Cox's Bazar Zila,323849,322857,227,765,1790979,905902,885077.0,102.0,11110
15,XX,XX,XXX,XX,01, Chittagong Zila,863472,857932,1593,3947,4463723,2196143,2267580.0,97.0,11110
84,XX,XX,XXX,XX,01, Rangamati Zila,93894,92793,249,852,436352,227194,209158.0,109.0,11110
30,XX,XX,XXX,XX,01, Feni Zila,219543,218614,226,703,1143629,543988,599641.0,91.0,11110
75,XX,XX,XXX,XX,01, Noakhali Zila,500215,498689,277,1249,2611383,1238386,1372997.0,90.0,11110
29,XX,XX,XXX,XX,01, Faridpur Zila,359438,358853,189,396,1641869,806659,835210.0,97.0,11110
72,XX,XX,XXX,XX,01, Netrakona Zila,425626,425155,92,379,1982459,985802,996657.0,99.0,11110
39,XX,XX,XXX,XX,01, Jamalpur Zila,469131,468653,75,403,1904805,936348,968457.0,97.0,11110
59,XX,XX,XXX,XX,01, Munshiganj Zila,272820,270798,275,1747,1259554,626181,633373.0,99.0,11110
35,XX,XX,XXX,XX,01, Gopalganj Zila,222134,221554,183,397,1043710,513024,530686.0,97.0,11110
82,XX,XX,XXX,XX,01, Rajbari Zila,207592,207054,65,473,913736,452300,461436.0,98.0,11110
61,XX,XX,XXX,XX,01, Mymensingh Zila,981487,979199,300,1988,4312145,2133513,2178632.0,98.0,11110
67,XX,XX,XXX,XX,01, Narayanganj Zila,442903,435348,399,7156,1959261,1009078,950183.0,106.0,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,565903,556863,652,8388,2366338,1223701,1142637.0,107.0,11110
56,XX,XX,XXX,XX,01, Manikganj Zila,294870,294287,104,479,1264157,612528,651629.0,94.0,11110
26,XX,XX,XXX,XX,01, Dhaka Zila,648886,635773,650,12463,2726934,1409754,1317180.0,107.0,11110
86,XX,XX,XXX,XX,01, Shariatpur Zila,219280,218223,63,994,1024780,494499,530281.0,93.0,11110
54,XX,XX,XXX,XX,01, Madaripur Zila,217360,217008,94,258,1008142,496640,511502.0,97.0,11110
93,XX,XX,XXX,XX,01, Tangail Zila,742002,740131,236,1635,3061298,1484420,1576878.0,94.0,11110
48,XX,XX,XXX,XX,01, Kishoreganj Zila,522791,521579,117,1095,2422877,1187560,1235317.0,96.0,11110
89,XX,XX,XXX,XX,01, Sherpur Zila,297006,296638,61,307,1170219,581889,588330.0,99.0,11110
68,XX,XX,XXX,XX,01, Narsingdi Zila,379399,377896,256,1247,1777299,871754,905545.0,96.0,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,565903,556863,652,8388,2366338,1223701,1142637.0,107.0,11110
90,XX,XX,XXX,XX,01, Sunamganj Zila,394113,393203,73,837,2211851,1104246,1107605.0,100.0,11110
36,XX,XX,XXX,XX,01, Habiganj Zila,346612,345860,99,653,1844035,903460,940575.0,96.0,11110
91,XX,XX,XXX,XX,01, Sylhet Zila,449872,448273,266,1333,2680639,1330095,1350544.0,98.0,11110
58,XX,XX,XXX,XX,01, Maulvibazar Zila,320922,320049,112,761,1710983,839313,871670.0,96.0,11110
