ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,Population aged 15-19 years-Attending school-Male,Population aged 15-19 years-Attending school-Female,Population aged 15-19 years-Not attending school-Male,Population aged 15-19 years-Not attending school-Female,Population aged 20-24 years-Attending school-Male,Population aged 20-24 years-Attending school-Female,Population aged 20-24 years-Not attending school-Male,Population aged 20-24 years-Not attending school-Female,Population aged 25-29 years-Attending school-Male,Population aged 25-29 years-Attending school-Female,Population aged 25-29 years-Not attending school-Male,Population aged 25-29 years-Not attending school-Female,check_var
47,XX,XX,XXX,XX,01, Khulna Zila,34924,28144,30008,35259,11672,5144,47944,74438,2333,813,63165,76562,11110
18,XX,XX,XXX,XX,01, Chuadanga Zila,15173,12276,19371,19181,3148,1314,26912,40273,569,160,36771,44173,11110
65,XX,XX,XXX,XX,01, Narail Zila,13125,10598,11895,13438,2428,1451,16853,27758,459,182,21554,28780,11110
44,XX,XX,XXX,XX,01, Jhenaidah Zila,33080,27116,30090,30278,9160,4660,46317,70724,1792,581,64146,77549,11110
41,XX,XX,XXX,XX,01, Jessore Zila,53372,45795,44231,49091,14305,7888,68104,108459,3123,1126,93624,115605,11110
1,XX,XX,XXX,XX,01, Bagerhat Zila,25439,23191,26296,27494,5804,3448,36694,54868,1130,501,47233,60076,11110
55,XX,XX,XXX,XX,01, Magura Zila,18707,16351,14122,14348,3998,2602,21971,34874,797,327,29687,39129,11110
50,XX,XX,XXX,XX,01, Kushtia Zila,36478,29104,35428,35314,9826,4853,52868,81488,2226,770,73038,89801,11110
57,XX,XX,XXX,XX,01, Meherpur Zila,11112,8361,12358,13979,2324,1094,18333,27942,496,179,23881,30577,11110
87,XX,XX,XXX,XX,01, Satkhira Zila,42474,36058,35492,43765,10389,4768,56885,91273,2031,583,72653,89683,11110
42,XX,XX,XXX,XX,01, Jhalokati Zila,13817,13593,10252,11516,2528,1718,13636,22894,457,248,15961,24568,11110
78,XX,XX,XXX,XX,01, Patuakhali Zila,25343,21507,25323,28053,4891,3011,33134,59204,939,382,45688,66422,11110
6,XX,XX,XXX,XX,01, Barisal Zila,39042,38554,38687,41088,7572,4781,45130,75784,1393,655,55552,79337,11110
79,XX,XX,XXX,XX,01, Pirojpur Zila,18831,18815,20198,20009,3950,2829,26036,39414,777,385,30769,42508,11110
9,XX,XX,XXX,XX,01, Bhola Zila,22861,19906,41992,43226,3832,1557,42409,72720,798,226,55550,72740,11110
4,XX,XX,XXX,XX,01, Barguna Zila,14388,11463,13769,15185,2703,1474,20274,36172,513,188,28417,41645,11110
52,XX,XX,XXX,XX,01, Lalmonirhat Zila,23874,19862,23661,22302,5539,3166,31530,52155,1372,471,43801,56624,11110
77,XX,XX,XXX,XX,01, Panchagarh Zila,19207,18185,22445,18536,4201,2649,28750,41781,922,272,37258,45215,11110
85,XX,XX,XXX,XX,01, Rangpur Zila,45998,40011,51012,48382,12213,6301,70014,115320,2686,869,99795,124730,11110
49,XX,XX,XXX,XX,01, Kurigram Zila,34228,23042,30155,36894,7585,3185,44100,86311,1511,401,65041,92537,11110
