ZL,UZ,UN/WA,MZ/MH,Vill,RMO,Administrative Unit Residence Community,"Population aged 7+, not attending school and employed-Both","Population aged 7+, not attending school and employed-Male","Population aged 7+, not attending school and employed-Female",Field of Activity-Agriculture-Male,Field of Activity-Agriculture-Female,Field of Activity-Industry-Male,Field of Activity-Industry-Female,Field of Activity-Service-Male,Field of Activity-Service-Female,check_var
47,XX,XX,XXX,XX,01, Khulna Zila,131331,117927,13404,84064,5310,11280,2975,22583,5119,11110
18,XX,XX,XXX,XX,01, Chuadanga Zila,124015,119894,4121,104742,1768,2847,506,12305,1847,11110
65,XX,XX,XXX,XX,01, Narail Zila,61325,58990,2335,50159,1056,2197,288,6634,991,11110
44,XX,XX,XXX,XX,01, Jhenaidah Zila,205773,199133,6640,171539,2306,8425,1077,19169,3257,11110
41,XX,XX,XXX,XX,01, Jessore Zila,222806,210596,12210,167570,4629,12395,2844,30631,4737,11110
1,XX,XX,XXX,XX,01, Bagerhat Zila,91110,85702,5408,62579,2227,2984,508,20139,2673,11110
55,XX,XX,XXX,XX,01, Magura Zila,96634,93649,2985,80641,926,3024,522,9984,1537,11110
50,XX,XX,XXX,XX,01, Kushtia Zila,275644,264705,10939,204052,3339,17037,2390,43616,5210,11110
57,XX,XX,XXX,XX,01, Meherpur Zila,93893,91261,2632,80800,1461,1343,116,9118,1055,11110
87,XX,XX,XXX,XX,01, Satkhira Zila,177592,162293,15299,135640,9953,5128,751,21525,4595,11110
42,XX,XX,XXX,XX,01, Jhalokati Zila,24842,23434,1408,16914,415,1803,259,4717,734,11110
78,XX,XX,XXX,XX,01, Patuakhali Zila,103770,96591,7179,78390,3720,4743,563,13458,2896,11110
6,XX,XX,XXX,XX,01, Barisal Zila,128487,122328,6159,100694,3424,5676,413,15958,2322,11110
79,XX,XX,XXX,XX,01, Pirojpur Zila,40077,37527,2550,28202,978,2383,285,6942,1287,11110
9,XX,XX,XXX,XX,01, Bhola Zila,197556,189589,7967,161135,5225,7171,526,21283,2216,11110
4,XX,XX,XXX,XX,01, Barguna Zila,40261,37927,2334,31858,1240,1545,179,4524,915,11110
52,XX,XX,XXX,XX,01, Lalmonirhat Zila,149924,139173,10751,122202,7020,3839,480,13132,3251,11110
77,XX,XX,XXX,XX,01, Panchagarh Zila,105726,95975,9751,76063,5362,6205,1112,13707,3277,11110
85,XX,XX,XXX,XX,01, Rangpur Zila,355225,334200,21025,278725,12265,14358,1903,41117,6857,11110
49,XX,XX,XXX,XX,01, Kurigram Zila,263014,249190,13824,226974,8963,5091,624,17125,4237,11110
32,XX,XX,XXX,XX,01, Gaibandha Zila,332869,317677,15192,275137,8700,9607,942,32933,5550,11110
73,XX,XX,XXX,XX,01, Nilphamari Zila,227565,214564,13001,185540,7602,6191,595,22833,4804,11110
94,XX,XX,XXX,XX,01, Thakurgaon Zila,141815,130893,10922,111429,7063,2416,351,17048,3508,11110
27,XX,XX,XXX,XX,01, Dinajpur Zila,293824,271987,21837,223125,12995,8032,1161,40830,7681,11110
10,XX,XX,XXX,XX,01, Bogra Zila,381303,363233,18070,302989,7126,22092,3294,38152,7650,11110
88,XX,XX,XXX,XX,01, Sirajganj Zila,408294,389702,18592,277821,6258,67313,6185,44568,6149,11110
81,XX,XX,XXX,XX,01, Rajshahi Zila,227741,216953,10788,192732,6319,4872,456,19349,4013,11110
64,XX,XX,XXX,XX,01, Naogaon Zila,307579,290787,16792,255906,9306,7208,1541,27673,5945,11110
76,XX,XX,XXX,XX,01, Pabna Zila,334161,318346,15815,250299,5604,23784,2560,44263,7651,11110
70,XX,XX,XXX,XX,01, Chapai Nawabganj Zila,202471,195296,7175,162018,3326,5602,1030,27676,2819,11110
69,XX,XX,XXX,XX,01, Natore Zila,214020,205620,8400,181646,4820,4720,853,19254,2727,11110
38,XX,XX,XXX,XX,01, Joypurhat Zila,90445,86044,4401,74482,2627,2371,258,9191,1516,11110
13,XX,XX,XXX,XX,01, Chandpur Zila,138796,133246,5550,101956,2492,9045,599,22245,2459,11110
3,XX,XX,XXX,XX,01, Bandarban Zila,70700,50501,20199,46286,19255,2308,235,1907,709,11110
19,XX,XX,XXX,XX,01, Comilla Zila,389574,368991,20583,259481,6833,23399,2930,86111,10820,11110
12,XX,XX,XXX,XX,01, Brahmanbaria Zila,255485,238379,17106,181471,7937,14678,1938,42230,7231,11110
51,XX,XX,XXX,XX,01, Lakshmipur Zila,128323,121666,6657,94601,3432,6449,607,20616,2618,11110
46,XX,XX,XXX,XX,01, Khagrachhari Zila,59980,47874,12106,44528,11409,876,134,2470,563,11110
22,XX,XX,XXX,XX,01, Cox's Bazar Zila,234250,218356,15894,157011,7516,9955,908,51390,7470,11110
15,XX,XX,XXX,XX,01, Chittagong Zila,339535,309731,29804,170640,9086,34964,6401,104127,14317,11110
84,XX,XX,XXX,XX,01, Rangamati Zila,65082,47507,17575,43943,15915,969,135,2595,1525,11110
30,XX,XX,XXX,XX,01, Feni Zila,64654,61896,2758,34461,793,5388,439,22047,1526,11110
75,XX,XX,XXX,XX,01, Noakhali Zila,199362,188270,11092,133413,6112,9614,1009,45243,3971,11110
29,XX,XX,XXX,XX,01, Faridpur Zila,203531,194463,9068,158824,2972,9899,2201,25740,3895,11110
72,XX,XX,XXX,XX,01, Netrakona Zila,311448,293566,17882,266749,9487,6790,1508,20027,6887,11110
39,XX,XX,XXX,XX,01, Jamalpur Zila,345083,325735,19348,288113,10817,6943,1415,30679,7116,11110
59,XX,XX,XXX,XX,01, Munshiganj Zila,130760,118755,12005,75714,4331,14440,2638,28601,5036,11110
35,XX,XX,XXX,XX,01, Gopalganj Zila,80547,76500,4047,65058,2074,2383,304,9059,1669,11110
82,XX,XX,XXX,XX,01, Rajbari Zila,133449,127979,5470,104239,1651,5133,504,18607,3315,11110
61,XX,XX,XXX,XX,01, Mymensingh Zila,623779,590108,33671,471009,12486,27987,7326,91112,13859,11110
67,XX,XX,XXX,XX,01, Narayanganj Zila,229404,184020,45384,48134,1615,59262,27257,76624,16512,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,242386,187774,54612,91326,3080,49320,38708,47128,12824,11110
56,XX,XX,XXX,XX,01, Manikganj Zila,165738,158374,7364,130399,3138,7726,1453,20249,2773,11110
26,XX,XX,XXX,XX,01, Dhaka Zila,294599,237698,56901,90470,3089,56948,31279,90280,22533,11110
86,XX,XX,XXX,XX,01, Shariatpur Zila,117589,110821,6768,91488,3249,4411,504,14922,3015,11110
54,XX,XX,XXX,XX,01, Madaripur Zila,115867,106510,9357,85436,2930,6354,487,14720,5940,11110
93,XX,XX,XXX,XX,01, Tangail Zila,435330,413797,21533,319173,6954,30724,6969,63900,7610,11110
48,XX,XX,XXX,XX,01, Kishoreganj Zila,334585,316979,17606,252396,7702,17569,1849,47014,8055,11110
89,XX,XX,XXX,XX,01, Sherpur Zila,199604,186266,13338,162460,6431,6225,1268,17581,5639,11110
68,XX,XX,XXX,XX,01, Narsingdi Zila,206210,191508,14702,110893,2562,30137,4783,50478,7357,11110
33,XX,XX,XXX,XX,01, Gazipur Zila,242386,187774,54612,91326,3080,49320,38708,47128,12824,11110
90,XX,XX,XXX,XX,01, Sunamganj Zila,318323,298657,19666,260612,11321,7366,983,30679,7362,11110
36,XX,XX,XXX,XX,01, Habiganj Zila,241816,215945,25871,175937,15786,7969,3014,32039,7071,11110
91,XX,XX,XXX,XX,01, Sylhet Zila,253990,232077,21913,154767,6922,24462,5171,52848,9820,11110
58,XX,XX,XXX,XX,01, Maulvibazar Zila,188507,150548,37959,101675,17455,13396,9378,35477,11126,11110
