thana_Name,Shukhi,Apon,Pill_total,Condom,Inj_vial,Inj_siringe,IUD_normal,IUD_partum,IUD_total,IUD_remove,Imp_normal,Imp_Jadel,Imp_total,implant_remove,ecp,misoprostol,mrm_pack,inj_mgs4,mnp_saset,ifa_number,sanitary_pad,per_male,femalenormal,femalepn,female_total,Permanent_method,Year,Month,District,Division,program
Bhola Sadar,2033705,13961,2047666,2197812,944542,520367,8857,448,9305,270,13495,148,13643,1570,6015,27935,3566,6280,177321,1224888,289,12279,771,195,951,13230,2018,12,0305,03,distributionGO_thanaconsuprocess
Daulatkhan,1170943,5931,1176874,1683632,523945,305899,3635,34,3669,50,2869,18,2887,233,4343,9703,0,0,0,158250,1,186,293,19,310,496,2018,12,0305,03,distributionGO_thanaconsuprocess
Tajumuddin,764903,3274,768177,1101356,411956,239922,1946,0,1946,19,1946,0,1946,34,6157,8018,0,0,0,0,0,859,227,2,229,1088,2018,12,0305,03,distributionGO_thanaconsuprocess
Borhanuddin,1363617,7640,1371257,803312,367333,195240,4047,84,4131,53,6314,33,6347,1030,4620,15280,0,0,0,0,3,1136,532,63,590,1726,2018,12,0305,03,distributionGO_thanaconsuprocess
Lalmohan,2019211,9325,2028536,2445112,804332,500964,5205,243,5448,89,5364,26,5390,206,9506,25547,43297,990,623045,1211204,3006,3548,567,99,672,4220,2018,12,0305,03,distributionGO_thanaconsuprocess
Charfashion,2764716,11124,2775840,3676772,1022089,627860,7315,11,7326,29,8064,0,8064,119,6966,25957,0,0,0,0,0,1827,942,120,1050,2877,2018,12,0305,03,distributionGO_thanaconsuprocess
Monpura,454654,3568,458222,744611,260020,150613,1758,0,1758,78,875,0,875,30,469,1123,2,0,0,1767,2,152,123,0,123,275,2018,12,0305,03,distributionGO_thanaconsuprocess
Baraigram,3191564,9666,3201230,3867210,429992,222105,5029,69,5098,423,9246,16,9262,2563,5175,8436,19,0,0,0,344,116,6287,474,6759,6875,2018,12,0114,01,distributionGO_thanaconsuprocess
Natore Sadar,3761547,16460,3778007,5177320,313152,148399,11137,887,12024,1049,11634,730,12364,2666,4393,11539,139,0,0,0,149,2316,6766,2034,8703,11019,2018,12,0114,01,distributionGO_thanaconsuprocess
Bagatipara,1199429,5105,1204534,1589451,83594,36075,1583,0,1583,151,3677,84,3761,1133,1966,6225,0,0,0,118514,74,107,2249,389,2638,2745,2018,12,0114,01,distributionGO_thanaconsuprocess
Singra,4720245,19494,4739739,4451269,339146,192373,6406,11,6417,526,9594,784,10378,3134,5235,11932,0,0,0,0,113,1294,3796,284,4074,5368,2018,12,0114,01,distributionGO_thanaconsuprocess
Lalpur,2724479,5951,2730430,2904130,311031,154015,3387,34,3421,366,7245,100,7345,1910,3059,5508,0,0,0,0,299,47,4068,986,5054,5101,2018,12,0114,01,distributionGO_thanaconsuprocess
Gurudashpur,2723451,9019,2732470,3003758,218143,118098,2386,8,2394,78,6664,559,7223,1555,2516,5306,0,0,0,202459,18,965,3466,869,4335,5300,2018,12,0114,01,distributionGO_thanaconsuprocess
Bagerhat Sadar,2765521,10382,2775903,3439947,300292,157380,8439,0,8439,399,7370,47,7417,1929,4471,8703,1,0,0,0,278,1931,2328,437,2747,4678,2018,12,0209,02,distributionGO_thanaconsuprocess
Fakirhat,1290192,8685,1298877,1595097,122295,61550,3079,1,3080,366,2989,66,3055,616,2245,6152,5,0,0,174299,119,1141,1497,49,1535,2676,2018,12,0209,02,distributionGO_thanaconsuprocess
Sarankhola,1482779,4071,1486850,1780445,183997,106117,3519,12,3531,271,1501,10,1511,297,1979,3724,0,0,0,24168,29,1688,217,153,370,2058,2018,12,0209,02,distributionGO_thanaconsuprocess
Morralganj,4099972,9321,4109293,3349587,358947,180584,8695,122,8817,333,3134,100,3234,62,3926,6223,2,0,0,63850,288,3571,819,32,849,4420,2018,12,0209,02,distributionGO_thanaconsuprocess
Kachua,1311022,4060,1315082,1853902,102236,58465,2570,16,2586,176,3094,198,3292,647,1169,9326,26,0,0,151,5,702,815,0,816,1518,2018,12,0209,02,distributionGO_thanaconsuprocess
Mollahat,1495897,5691,1501588,1568078,90654,41500,2990,8,2998,144,1763,0,1763,46,1633,6252,51,0,13,52,0,782,1429,149,1576,2358,2018,12,0209,02,distributionGO_thanaconsuprocess
