"","variable","description"
"1","hhid","Case Identification"
"2","hvidx","Line number"
"3","hv000","Country code and phase"
"4","hv001","Cluster number"
"5","hv002","Household number"
"6","hv003","Respondent's line number (answering Household questionnaire)"
"7","hv004","Ultimate area unit"
"8","hv005","Household sample weight (6 decimals)"
"9","hv006","Month of interview"
"10","hv007","Year of interview"
"11","hv008","Date of interview (CMC)"
"12","hv009","Number of household members"
"13","hv010","Number of eligible women in household"
"14","hv011","Number of eligible men in household"
"15","hv012","Number of de jure members"
"16","hv013","Number of de facto members"
"17","hv014","Number of children 5 and under (de jure)"
"18","hv015","Result of household interview"
"19","hv016","Day of interview"
"20","hv017","Number of visits"
"21","hv018","Interviewer identification"
"22","hv019","Keyer identification"
"23","hv020","Ever-married sample"
"24","hv021","Primary sampling unit"
"25","hv022","Sample strata for sampling errors"
"26","hv023","Stratification used in sample design"
"27","hv024","Region"
"28","hv025","Type of place of residence"
"29","hv026","Place of residence"
"30","hv027","Household selected for male interview"
"31","hv028","Household weight for male subsample (6 decimals)"
"32","hv030","Field supervisor"
"33","hv031","Field editor"
"34","hv032","Office editor"
"35","hv035","Number of eligible children for height and weight"
"36","hv040","Cluster altitude in meters"
"37","hv041","Total adults measured"
"38","hv042","Household selected for hemoglobin"
"39","hv044","NA - Household selected for Domestic Violence module"
"40","hv201","Source of drinking water"
"41","hv202","NA - Source of non-drinking water"
"42","hv204","Time to get to water source (minutes)"
"43","hv205","Type of toilet facility"
"44","hv206","Has electricity"
"45","hv207","Has radio"
"46","hv208","Has television"
"47","hv209","Has refrigerator"
"48","hv210","Has bicycle"
"49","hv211","Has motorcycle/scooter"
"50","hv212","NA - Has car/truck"
"51","hv213","Main floor material"
"52","hv214","Main wall material"
"53","hv215","Main roof material"
"54","hv216","Number of rooms used for sleeping"
"55","hv217","Relationship structure"
"56","hv218","Line number of head of household"
"57","hv219","Sex of head of household"
"58","hv220","Age of head of household"
"59","hv221","Has telephone (land-line)"
"60","hv225","Share toilet with other households"
"61","hv226","Type of cooking fuel"
"62","hv227","NA - Has mosquito bed net for sleeping"
"63","hv228","NA - Children under 5 slept under mosquito bed net last night"
"64","hv230a","Place where household members wash their hands"
"65","hv230b","Presence of water at hand washing place"
"66","hv232","Items present: Soap or detergent"
"67","hv232b","Items present: Ash, mud, sand"
"68","hv232c","Items present: soap"
"69","hv232d","Items present: detergent"
"70","hv232e","NA - Items present: CS"
"71","hv232y","Items present: None"
"72","hv234","NA - Result of salt test for iodine (PPM)"
"73","hv234a","Result of salt test for iodine"
"74","hv235","Location of source for water"
"75","hv236","NA - Person fetching water"
"76","hv237","Anything done to water to make safe to drink"
"77","hv237a","Water usually treated by: boil"
"78","hv237b","Water usually treated by: add bleach/chlorine"
"79","hv237c","Water usually treated by: strain through a cloth"
"80","hv237d","Water usually treated by: use water filter"
"81","hv237e","Water usually treated by: solar disinfection"
"82","hv237f","Water usually treated by: let it stand and settle"
"83","hv237g","Water usually treated by: Alum"
"84","hv237h","NA - Water usually treated by: CS"
"85","hv237i","NA - Water usually treated by: CS"
"86","hv237j","NA - Water usually treated by: CS"
"87","hv237k","NA - Water usually treated by: CS"
"88","hv237x","Water usually treated by: other"
"89","hv237z","Water usually treated by: don't know"
"90","hv238","Number of households sharing toilet"
"91","hv239","NA - Food cooked on stove or open fire"
"92","hv240","NA - Household has a chimney, hood or neither"
"93","hv241","Food cooked in the house/ separate building/ outdoors"
"94","hv242","Household has separate room used as kitchen"
"95","hv243a","Has mobile telephone"
"96","hv243b","NA - Has watch"
"97","hv243c","NA - Has animal-drawn cart"
"98","hv243d","NA - Has boat with a motor"
"99","hv244","Owns land usable for agriculture"
"100","hv245","Hectares of agricultural land (1 decimal)"
"101","hv246","Owns livestock, herds or farm animals"
"102","hv246a","NA - Owns cattle"
"103","hv246b","Owns cows/ bulls"
"104","hv246c","NA - Owns horses/ donkeys/ mules"
"105","hv246d","NA - Owns goats"
"106","hv246e","NA - Owns sheep"
"107","hv246f","NA - Owns chickens"
"108","hv246g","Owns Bulls/ Buffaloes"
"109","hv246h","Owns Goats/ Sheep"
"110","hv246i","Owns Chickens/ ducks"
"111","hv246j","NA - Owns CS"
"112","hv246k","NA - Owns CS"
"113","hv247","Has bank account"
"114","hv252","Frequency household members smoke inside the house"
"115","hv253","NA - Has dwelling been sprayed against mosquitoes in last 12 months"
"116","hv253a","NA - Dwelling sprayed by: government worker/program"
"117","hv253b","NA - Dwelling sprayed by: private company"
"118","hv253c","NA - Dwelling sprayed by: NGO"
"119","hv253d","NA - Dwelling sprayed by: CS"
"120","hv253e","NA - Dwelling sprayed by: CS"
"121","hv253f","NA - Dwelling sprayed by: CS"
"122","hv253g","NA - Dwelling sprayed by: CS"
"123","hv253h","NA - Dwelling sprayed by: CS"
"124","hv253x","NA - Dwelling sprayed by: other"
"125","hv253z","NA - Dwelling sprayed by: don't know"
"126","hv270","Wealth index"
"127","hv271","Wealth index factor score (5 decimals)"
"128","hml1","NA - Number of mosquito bed nets"
"129","hml1a","NA - Number of mosquito bed nets with specific information"
"130","hml2","NA - Number of children under mosquito bed net previous night"
"131","shdistrict","Type of district"
"132","shupazila","Upazila"
"133","shadult35","Adults above 35 years"
"134","shhtec","Health technician number"
"135","sh104a","Share water source with other households"
"136","sh104b","Total households share water source"
"137","sh110g","Has Almirah/Wardrc"
"138","sh110h","Has table"
"139","sh110i","Has chair"
"140","sh110j","Has electric fan"
"141","sh110k","Has DVD/VCD player"
"142","sh110l","Has water pumps"
"143","sh118a","Has autobike"
"144","sh118b","Has rickshaw"
"145","sh122a","Owns homestead"
"146","sh122c","Amount of land"
"147","hv101","Relationship to head"
"148","hv102","Usual resident"
"149","hv103","Slept last night"
"150","hv104","Sex of household member"
"151","hv105","Age of household members"
"152","hv106","Highest educational level attained"
"153","hv107","Highest year of education completed"
"154","hv108","Education completed in single years"
"155","hv109","Educational attainment"
"156","hv110","NA - Member still in school"
"157","hv111","NA - Mother alive"
"158","hv112","NA - Mother's line number"
"159","hv113","NA - Father alive"
"160","hv114","NA - Father's line number"
"161","hv115","NA - Current marital status"
"162","hv116","Currently, formerly, never married"
"163","hv117","Eligibility for female interview"
"164","hv118","Eligibility for male interview"
"165","hv120","Children eligibility for height/weight and hemoglobin"
"166","hv121","Member attended school during current school year"
"167","hv122","Educational level during current school year"
"168","hv123","Grade of education during current school year"
"169","hv124","Education in single years - current school year"
"170","hv125","NA - Member attended school during previous school year"
"171","hv126","NA - Educational level during previous school year"
"172","hv127","NA - Grade of education during previous school year"
