"Source","File","Variable","Description"
"MICS5","ch5","HH1","Cluster number"
"MICS5","ch5","HH2","Household number"
"MICS5","ch5","LN","Line number"
"MICS5","ch5","UF1","Cluster number"
"MICS5","ch5","UF2","Household number"
"MICS5","ch5","UF4","Child's line number"
"MICS5","ch5","UF6","Mother / Caretaker's line number"
"MICS5","ch5","UF7","Interviewer number"
"MICS5","ch5","UF8D","Day of interview"
"MICS5","ch5","UF8M","Month of interview"
"MICS5","ch5","UF8Y","Year of interview"
"MICS5","ch5","UF9","Result of interview for children under 5"
"MICS5","ch5","UF10","Field editor"
"MICS5","ch5","UF11","Data entry clerk"
"MICS5","ch5","UF12H","Start of interview - Hour"
"MICS5","ch5","UF12M","Start of interview - Minutes"
"MICS5","ch5","UF13H","End of interview - Hour"
"MICS5","ch5","UF13M","End of interview - Minutes"
"MICS5","ch5","AG1D","Day of birth of child"
"MICS5","ch5","AG1M","Month of birth of child"
"MICS5","ch5","AG1Y","Year of birth of child"
"MICS5","ch5","AG2","Age of child"
"MICS5","ch5","BR1","Birth certificate"
"MICS5","ch5","BR2","Birth registered"
"MICS5","ch5","BR3","Know how to register birth"
"MICS5","ch5","EC1","Number of children's books or picture books for child"
"MICS5","ch5","EC2A","Homemade toys"
"MICS5","ch5","EC2B","Toys from shops"
"MICS5","ch5","EC2C","Household objects or outside objects"
"MICS5","ch5","EC3A","In past week, days left alone for more than 1 hour"
"MICS5","ch5","EC3B","In past week, days left with other child for more than 1 hour"
"MICS5","ch5","EC5","Attends early childhood education programme"
"MICS5","ch5","EC6","Within last 7 days, hours attended education"
"MICS5","ch5","EC7AA","Books-Mother"
"MICS5","ch5","EC7AB","Books-Father"
"MICS5","ch5","EC7AX","Books-Other"
"MICS5","ch5","EC7AY","Books-No one"
"MICS5","ch5","EC7BA","Tell stories-Mother"
"MICS5","ch5","EC7BB","Tell stories-Father"
"MICS5","ch5","EC7BX","Tell stories-Other"
"MICS5","ch5","EC7BY","Tell stories-No one"
"MICS5","ch5","EC7CA","Sang songs-Mother"
"MICS5","ch5","EC7CB","Sang songs-Father"
"MICS5","ch5","EC7CX","Sang songs-Other"
"MICS5","ch5","EC7CY","Sang songs-No one"
"MICS5","ch5","EC7DA","Took outside-Mother"
"MICS5","ch5","EC7DB","Took outside-Father"
"MICS5","ch5","EC7DX","Took outside-Other"
"MICS5","ch5","EC7DY","Took outside-No one"
"MICS5","ch5","EC7EA","Played with-Mother"
"MICS5","ch5","EC7EB","Played with-Father"
"MICS5","ch5","EC7EX","Played with-Other"
"MICS5","ch5","EC7EY","Played with-No one"
"MICS5","ch5","EC7FA","Named/counted-Mother"
"MICS5","ch5","EC7FB","Named/counted-Father"
"MICS5","ch5","EC7FX","Named/counted-Other"
"MICS5","ch5","EC7FY","Named/counted-No one"
"MICS5","ch5","EC8","Child identifies at least ten letters of the alphabet"
"MICS5","ch5","EC9","Child reads at least four simple, popular words"
"MICS5","ch5","EC10","Child knows name and recognizes symbol of all numbers from 1-10"
"MICS5","ch5","EC11","Child able to pick up small object with 2 fingers"
"MICS5","ch5","EC12","Child sometimes too sick to play"
"MICS5","ch5","EC13","Child follows simple directions"
"MICS5","ch5","EC14","Child able to do something independently"
"MICS5","ch5","EC15","Child gets along well with other children"
"MICS5","ch5","EC16","Child kicks, bites or hits other children or adults"
"MICS5","ch5","EC17","Child gets distracted easily"
"MICS5","ch5","BF1","Child ever been breastfed"
"MICS5","ch5","BF2","Child still being breastfed"
"MICS5","ch5","BF3","Child drank plain water yesterday"
"MICS5","ch5","BF4","Child drank infant formula yesterday"
"MICS5","ch5","BF5","Times child drank infant formula"
"MICS5","ch5","BF6","Child drank milk yesterday"
"MICS5","ch5","BF7","Times child drank milk"
"MICS5","ch5","BF8","Child drank juice or juice drinks yesterday"
"MICS5","ch5","BF9","Child drank broth/soup yesterday"
"MICS5","ch5","BF10","Child drank or ate vitamin or mineral supplements yesterday"
"MICS5","ch5","BF11","Child drank ORS yesterday"
"MICS5","ch5","BF12","Child drank any other liquid yesterday"
"MICS5","ch5","BF13","Child drank or ate yogurt yesterday"
"MICS5","ch5","BF14","Times drank or ate yogurt"
"MICS5","ch5","BF15","Child ate thin porridge yesterday"
"MICS5","ch5","BF16","Child ate solid or semi-solid food yesterday"
"MICS5","ch5","BF17","Times child ate solid or semi-solid food"
"MICS5","ch5","BF18","Child drank anything else from the bottle with a nipple yesterday"
"MICS5","ch5","CA1","Child had diarrhoea in last 2 weeks"
"MICS5","ch5","CA2","Child drank less or more during illness"
"MICS5","ch5","CA3","Child ate less or more during illness"
"MICS5","ch5","CA4A","Drank fluid made from special packet (ORS)"
"MICS5","ch5","CA4B","Rice-based ORS packet for diarrhoea"
"MICS5","ch5","CA4C","Sugar and salt solution for diarrhoea"
"MICS5","ch5","CA4D","Green coconut water for diarrhoea"
"MICS5","ch5","CA4E","Rice water for diarrhoea"
"MICS5","ch5","CA4F","Boiled rice water for diarrhoea"
"MICS5","ch5","CA5","Anything else given to treat the diarrhoea"
"MICS5","ch5","CA6A","Other treatment (pill or syrup): Antibiotic"
"MICS5","ch5","CA6B","Other treatment (pill or syrup): Antimotility"
"MICS5","ch5","CA6C","Other treatment (pill or syrup): Zinc"
"MICS5","ch5","CA6G","Other treatment (pill or syrup): Other (not antibiotic, antimotility or zinc)"
"MICS5","ch5","CA6H","Other treatment (pill or syrup): Unknown"
"MICS5","ch5","CA6L","Other treatment (injection): Antibiotic"
"MICS5","ch5","CA6M","Other treatment (injection): Non-antibiotic"
"MICS5","ch5","CA6N","Other treatment (injection): Unknown"
"MICS5","ch5","CA6O","Other treatment: Intravenous"
"MICS5","ch5","CA6Q","Other treatment: Home remedy/Herbal medicine"
"MICS5","ch5","CA6X","Other treatment: Other"
"MICS5","ch5","CA7","Child ill with cough in last 2 weeks"
"MICS5","ch5","CA8","Difficulty breathing during illness with cough"
"MICS5","ch5","CA9","Symptoms due to problem in chest or blocked nose"
"MICS5","ch5","CA10","Sought advice or treatment for illness"
"MICS5","ch5","CA11A","Place sought care: (public sector) Government hospital"
"MICS5","ch5","CA11B","Place sought care: (public sector) Government health center"
"MICS5","ch5","CA11C","Place sought care: (public sector) Government health post"
"MICS5","ch5","CA11D","Place sought care: (public sector) Village health worker"
