DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,DPT1_Children12M,DPT2_Children12M,DPT3_Children12M,OPV1_Children12M,OPV2_Children12M,OPV3_Children12M,Measles_Children12M,Fully_Children12M,TT1_Woman15-49Y,TT2_Woman15-49Y,TT3_Woman15-49Y,TT4_Woman15-49Y,TT5_Woman15-49Y,TT1_Woman18-25Y,TT2_Woman18-25Y,TT3_Woman18-25Y,TT4_Woman18-25Y,TT5_Woman18-25Y,MeaslesCoverage_Children9M-9Y,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_3stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,Year
06,Barisal ,10,Barisal,67,B.Baria,B.Baria,94.8,90.3,84.6,59.4,90.3,84.6,82.2,63.0,48.5,95.2,92.9,71.0,40.5,17.6,82.9,78.1,58.6,25.7,9.0,76.2,96.7,94.3,96.2,93.8,7.6,89.6,89.6,78.6,2006
01,Bagerhat ,40,Khulna,94,Bagerhat,Bagerhat,98.1,94.7,93.6,84.4,94.7,93.6,91.4,79.4,72.2,95.2,92.4,71.4,38.6,20.0,89.5,84.8,68.1,41.9,21.9,86.7,97.6,98.6,97.1,94.8,33.3,94.3,94.3,83.4,2006
03,Bandarban ,20,Chittagong,95,Bandarban,Bandarban,88.1,86.8,85.1,78.3,86.8,85.1,83.2,64.9,60.3,85.2,82.9,63.8,40.5,20.5,83.8,80.0,58.1,32.4,17.6,83.8,94.3,92.4,90.5,83.3,41.4,88.9,88.9,89.1,2006
04,Barguna ,10,Barisal,93,Barguna,Barguna,99.5,99.5,96.8,81.5,99.5,97.6,93.5,84.7,71.6,98.1,97.1,73.3,38.1,15.7,94.8,93.8,70.5,37.6,15.2,90.0,97.1,98.1,96.2,94.8,54.3,97.0,97.0,,2006
06,Barisal ,10,Barisal,93,Barisal,Barisal,99.0,98.3,98.1,81.1,98.3,98.1,96.0,86.9,71.4,95.7,93.3,76.7,47.6,21.9,91.9,88.1,67.6,30.0,12.4,94.8,100.0,99.5,98.6,98.1,44.3,97.1,97.1,97.4,2006
06,Barisal ,10,Barisal,89,Barisal CC,Barisal CC,99.0,97.4,96.1,85.7,97.4,96.1,94.9,79.4,73.4,98.1,96.7,74.3,38.6,13.8,80.5,77.1,50.0,22.9,9.0,91.4,98.1,98.1,98.1,95.2,51.4,95.1,95.1,92.0,2006
06,Barisal ,10,Barisal,67,Barisal Division,Barisal Division,98.9,98.0,96.4,83.5,98.1,96.6,94.2,79.9,71.1,95.6,93.5,69.5,36.1,16.1,88.4,83.5,59.7,28.0,11.0,91.5,96.9,96.5,95.8,92.7,41.9,92.9,92.9,89.6,2006
09,Bhola ,10,Barisal,91,Bhola,Bhola,99.5,99.5,93.8,81.5,99.5,93.8,88.3,69.2,65.5,92.4,89.5,70.5,37.6,19.5,89.0,82.4,50.0,20.0,6.2,82.4,87.6,84.8,82.9,71.9,24.8,72.2,72.2,67.7,2006
10,Bogra ,50,Rajshahi,91,Bogra,Bogra,99.5,99.5,98.1,90.2,99.5,98.1,95.5,84.1,80.8,99.5,97.6,81.4,51.4,27.1,96.2,92.9,72.9,47.1,24.8,80.5,92.4,92.9,95.7,84.3,42.4,85.2,80.5,75.9,2006
13,Chandpur ,20,Chittagong,94,Chandpur,Chandpur,98.6,98.6,97.9,88.1,98.6,97.9,94.9,84.3,77.0,98.1,97.6,86.7,57.1,31.0,95.7,94.3,74.3,44.3,20.0,83.3,96.7,97.1,98.6,94.8,33.8,95.8,84.2,89.7,2006
70,Chapai Nawabganj ,50,Rajshahi,97,Chapai Nawabganj,Chapai Nawabganj,99.5,97.0,97.3,83.5,97.0,97.3,91.9,80.2,72.5,97.1,93.8,80.5,59.0,31.9,91.9,87.6,69.0,49.0,30.5,99.0,100.0,100.0,100.0,100.0,8.1,99.5,77.1,,2006
15,Chittagong ,20,Chittagong,95,Chittagong,Chittagong,99.0,99.0,98.6,85.1,99.0,98.6,96.4,81.5,71.7,98.1,96.2,74.8,45.7,22.4,88.1,84.3,62.9,31.4,11.4,97.6,99.5,99.5,99.5,99.5,41.4,96.1,96.1,97.3,2006
15,Chittagong ,20,Chittagong,92,Chittagong CC,Chittagong CC,99.5,97.9,95.4,84.1,97.9,95.4,91.9,78.9,73.2,97.1,96.2,73.8,33.3,17.6,78.1,71.9,51.0,27.1,12.9,86.7,98.6,97.1,97.1,94.3,33.8,94.8,94.8,90.7,2006
