DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,DPT1_Children12M,HB1_Children12M,OPV2_Children12M,DPT2_Children12M,HB2_Children12M,OPV3_Children12M,DPT3_Children12M,HB3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,DPT1_Children23M,HB1_Children23M,OPV2_Children23M,DPT2_Children23M,HB2_Children23M,OPV3_Children23M,DPT3_Children23M,HB3_Children23M,Measles_Children23M,Fully_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_18NID_Children0-5M,OPVCoverage_MeaslesCampaign_Children0-5M,OPVCoverage_Both_Children0-5M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,MeaslesCoverage_Children9-59M,Year
06,Barisal ,10,Barisal,67,B.Baria,B.Baria,95.5,95.0,95.0,95.0,94.6,94.6,94.6,92.2,89.5,89.5,87.7,84.7,96.2,95.7,95.7,95.7,95.2,95.2,95.2,92.9,90.2,90.2,90.6,87.7,96.7,96.2,81.9,57.1,32.9,93.8,91.9,81.0,56.7,32.4,93.8,96.7,94.8,92.9,42.4,96.7,92.9,90.0,86.7,2010
01,Bagerhat ,40,Khulna,94,Bagerhat,Bagerhat,97.4,96.9,96.9,96.9,95.1,94.2,94.2,87.6,83.3,83.3,74.8,69.4,99.0,98.6,98.6,98.6,96.8,95.9,95.9,91.0,85.0,85.0,81.2,73.9,91.0,89.0,82.4,59.5,37.1,81.0,79.0,64.8,38.6,22.9,88.6,95.2,90.0,87.6,51.4,95.2,87.6,95.7,94.8,2010
03,Bandarban ,20,Chittagong,95,Bandarban,Bandarban,83.2,83.2,83.2,83.2,82.4,82.4,82.4,78.4,75.7,75.7,68.4,65.3,85.2,85.2,85.2,85.2,82.4,82.4,82.4,78.4,75.7,75.7,73.0,69.9,81.4,79.5,63.3,46.7,32.4,75.2,74.3,64.3,46.7,32.4,74.3,83.8,74.3,71.4,44.3,83.8,77.6,81.4,51.9,2010
04,Barguna ,10,Barisal,93,Barguna,Barguna,100.0,99.5,99.5,99.5,97.9,97.9,97.9,93.9,91.1,91.1,83.8,80.8,100.0,99.5,99.5,99.5,97.9,97.9,97.9,94.6,91.8,91.8,88.2,85.2,99.0,94.3,73.3,39.5,21.0,93.8,89.5,67.1,38.1,14.3,91.4,90.5,97.1,89.5,45.2,95.2,91.9,84.8,83.8,2010
06,Barisal ,10,Barisal,93,Barisal,Barisal,99.0,98.4,98.4,98.4,97.9,97.2,97.2,93.7,88.1,88.1,84.7,78.1,99.0,99.0,99.0,99.0,98.6,97.9,97.9,95.1,88.8,88.8,90.4,83.2,94.8,92.4,75.2,52.4,29.0,88.6,83.3,66.7,42.4,23.8,88.1,92.9,80.0,75.7,30.5,93.3,93.3,81.0,81.9,2010
06,Barisal ,10,Barisal,67,Barisal Division,Barisal Division,,,,,,,,,,,,,99.5,99.3,99.3,99.3,98.3,98.2,98.2,96.1,90.7,90.7,90.5,84.6,97.3,94.5,76.7,50.7,30.5,91.6,87.9,73.0,45.4,25.9,90.6,94.5,91.2,87.8,44.1,94.5,94.6,85.9,84.8,2010
09,Bhola ,10,Barisal,22,BCC,BCC,99.0,99.0,99.0,99.0,96.2,96.2,96.2,94.1,89.2,89.2,86.4,80.5,99.0,99.0,99.0,99.0,96.9,96.9,96.9,95.5,90.6,90.6,89.4,83.5,99.0,96.7,83.8,50.5,29.5,93.3,90.0,72.4,39.0,22.9,92.9,95.2,85.2,84.3,50.5,93.8,93.8,85.2,79.5,2010
09,Bhola ,10,Barisal,91,Bhola,Bhola,97.8,97.4,97.4,97.4,96.9,96.9,96.9,94.2,90.4,90.4,88.2,84.3,98.6,98.1,98.1,98.1,97.6,97.6,97.6,94.9,91.2,91.2,89.0,85.1,97.1,91.9,65.7,48.1,29.5,89.5,84.3,69.5,42.4,26.2,91.4,91.9,92.4,85.2,49.0,92.9,92.9,85.2,79.0,2010
10,Bogra ,50,Rajshahi,91,Bogra,Bogra,100.0,99.5,99.5,99.5,99.5,99.5,99.5,98.3,92.7,92.7,93.5,87.6,100.0,99.5,99.5,99.5,99.5,99.5,99.5,98.3,92.7,92.7,95.5,89.6,99.5,97.6,90.5,73.8,47.1,96.2,95.2,90.5,70.0,47.1,94.3,99.0,93.8,92.9,45.7,99.5,98.1,98.6,89.0,2010
19,Comilla ,20,Chittagong,18,CCC,CCC,97.6,97.6,97.6,97.6,97.1,97.1,97.1,95.4,87.9,87.9,85.9,78.2,99.0,99.0,99.0,99.0,98.6,98.6,98.6,96.9,89.4,89.4,91.3,83.6,98.6,97.6,79.5,50.5,30.0,88.1,86.2,71.0,44.8,21.0,95.2,97.1,93.3,91.9,33.8,96.2,92.9,85.2,82.9,2010
13,Chandpur ,20,Chittagong,94,Chandpur,Chandpur,97.6,97.6,97.6,97.6,97.6,97.6,97.6,95.6,83.8,83.8,92.2,79.9,97.6,97.6,97.6,97.6,97.6,97.6,97.6,95.6,83.8,83.8,92.2,79.9,99.5,99.0,83.8,69.5,53.8,70.5,69.5,60.5,46.7,36.7,96.7,97.1,95.7,94.8,24.8,97.6,97.1,97.1,95.7,2010
70,Chapai Nawabganj ,50,Rajshahi,97,Chapai Nawabganj,Chapai Nawabganj,99.0,98.6,98.6,98.6,95.9,95.9,95.9,92.6,90.2,90.2,82.2,79.6,99.0,98.6,98.6,98.6,95.9,95.9,95.9,93.9,90.8,90.8,84.2,80.9,95.7,94.3,80.5,64.3,51.0,97.1,92.9,76.2,60.0,41.0,86.7,94.8,93.8,91.4,20.5,93.8,91.4,91.9,86.7,2010
15,Chittagong ,20,Chittagong,95,Chittagong,Chittagong,100.0,100.0,100.0,100.0,98.4,98.4,98.4,95.6,85.9,85.9,88.7,78.9,100.0,100.0,100.0,100.0,99.0,99.0,99.0,96.8,86.5,86.5,92.7,82.3,100.0,100.0,91.9,74.8,49.5,100.0,99.5,88.6,71.0,50.0,99.5,99.5,100.0,99.5,93.3,99.5,99.0,100.0,100.0,2010
15,Chittagong ,20,Chittagong,73,Chittagong Division,Chittagong Division,,,,,,,,,,,,,96.4,96.3,96.3,96.3,95.0,95.0,95.0,92.1,85.8,85.8,86.8,80.0,94.4,93.1,78.5,58.4,37.1,87.2,85.0,72.3,50.7,31.3,90.1,95.0,88.9,87.6,42.1,94.6,90.4,91.3,83.9,2010
15,Chittagong ,20,Chittagong,85,Chittagong Slum,Chittagong Slum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9,89.5,69.5,42.9,22.4,,,,,,,,,,2010
18,Chuadanga ,40,Khulna,95,Chuadanga,Chuadanga,99.0,99.0,99.0,99.0,96.8,96.8,96.8,95.8,90.2,90.2,85.9,79.9,99.0,99.0,99.0,99.0,97.4,97.4,97.4,96.4,90.8,90.8,89.3,83.2,98.6,98.6,82.9,59.0,41.0,95.7,91.0,70.0,46.7,24.8,95.2,96.2,95.7,95.2,53.8,94.3,96.7,89.5,83.3,2010
19,Comilla ,20,Chittagong,93,Comilla,Comilla,99.5,99.5,99.5,99.5,97.4,97.4,97.4,94.5,88.6,88.6,85.7,79.6,99.5,99.5,99.5,99.5,97.4,97.4,97.4,95.7,89.8,89.8,94.3,88.2,93.3,92.9,76.2,57.6,34.3,87.1,86.2,75.2,48.1,28.6,91.4,96.2,96.2,95.7,81.9,96.2,94.3,90.0,96.2,2010
22,Cox's Bazar ,20,Chittagong,87,Coxs Bazar,Coxs Bazar,100.0,100.0,100.0,100.0,99.5,99.5,99.5,94.5,83.7,83.7,84.8,72.6,100.0,100.0,100.0,100.0,99.5,99.5,99.5,95.2,83.7,83.7,90.6,77.5,97.6,96.7,87.1,72.9,50.5,93.3,91.9,78.6,60.0,36.2,93.8,97.6,91.0,90.0,21.0,96.7,99.5,95.2,86.2,2010
15,Chittagong ,20,Chittagong,42,Ctg Slum,Ctg Slum,98.6,98.1,98.1,98.1,94.1,94.1,94.1,89.3,84.4,84.4,74.9,69.1,98.6,98.1,98.1,98.1,94.9,94.9,94.9,90.1,84.4,84.4,79.9,73.2,99.5,98.1,75.7,52.4,26.7,,,,,,94.8,97.6,73.3,72.9,33.3,97.6,85.7,94.3,72.4,2010
26,Dhaka ,30,Dhaka,22,DCC,DCC,100.0,99.4,99.4,99.4,97.3,97.3,97.3,89.1,84.7,84.7,74.7,69.9,100.0,99.4,99.4,99.4,97.3,97.3,97.3,92.2,87.2,87.2,80.1,74.7,99.5,99.0,77.1,44.8,26.7,96.7,90.5,69.5,45.2,28.6,96.2,99.0,93.3,93.3,36.7,98.6,91.0,92.9,92.9,2010
26,Dhaka ,30,Dhaka,91,Dhaka,Dhaka,99.5,99.5,99.5,99.5,98.9,98.9,98.9,93.6,89.9,89.9,82.9,78.9,99.5,99.5,99.5,99.5,99.5,99.5,99.5,96.1,91.2,91.2,92.9,87.6,97.6,95.7,79.0,54.3,33.8,95.2,91.9,71.4,48.6,32.4,89.5,98.6,91.4,91.4,29.0,97.1,94.3,94.3,85.2,2010
26,Dhaka ,30,Dhaka,60,Dhaka Division,Dhaka Division,,,,,,,,,,,,,99.4,99.2,99.2,99.2,98.2,97.9,97.9,94.4,89.2,89.2,88.0,82.2,97.4,95.8,83.0,61.3,38.7,93.5,90.3,76.1,53.3,32.8,91.6,97.4,93.1,92.0,32.2,97.1,92.1,94.4,88.7,2010
26,Dhaka ,30,Dhaka,75,Dhaka Slum,Dhaka Slum,98.6,98.6,98.6,98.6,96.2,96.2,96.2,87.9,84.0,84.0,74.4,70.3,98.6,98.6,98.6,98.6,97.1,97.1,97.1,89.9,85.0,85.0,77.4,72.3,92.9,90.0,68.1,49.5,30.5,88.6,84.3,61.0,41.0,18.6,88.1,98.6,95.2,94.3,26.2,97.6,87.6,95.7,82.9,2010
