DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_Infants6-11M,VitACoverage_Children12-59M,VitACoverage_PostPartum,AnthelminticCoverage_Children24-59M,Year
06,Barisal ,10,Barisal,67,B.Baria,B.Baria,98.1,94.0,91.2,90.8,88.8,88.0,88.0,78.5,74.9,98.1,94.0,91.2,90.8,88.8,89.4,88.7,83.3,79.1,2.8,5.0,6.6,4.1,3.4,10.2,97.6,96.7,81.9,62.4,41.9,84.8,79.5,64.3,43.8,28.1,94.3,90.0,86.7,85.2,42.4,87.1,24.3,77.1,2013
01,Bagerhat ,40,Khulna,94,Bagerhat,Bagerhat,99.5,97.5,96.0,97.5,95.5,95.6,95.6,94.6,91.0,99.5,97.5,96.0,97.5,95.5,96.1,96.1,96.2,92.6,2.5,4.5,5.1,0.5,1.0,2.9,99.0,97.1,82.9,60.0,35.7,92.9,88.6,78.1,56.2,37.1,88.1,99.0,99.5,99.0,92.9,96.7,47.6,97.1,2013
03,Bandarban ,20,Chittagong,95,Bandarban,Bandarban,99.5,98.0,91.5,96.6,96.1,94.6,96.1,86.7,81.1,99.5,98.0,91.5,96.6,96.1,94.6,96.1,89.2,83.6,6.6,7.2,7.2,5.0,1.9,5.7,95.2,92.9,81.9,66.2,46.7,98.6,97.6,92.9,79.5,62.4,85.7,96.7,97.1,96.7,94.8,94.8,69.0,96.2,2013
04,Barguna ,10,Barisal,93,Barguna,Barguna,100.0,96.1,92.9,96.3,92.3,91.4,92.0,83.2,76.6,100.0,96.1,92.9,96.3,92.3,92.7,92.0,85.9,77.9,4.5,7.9,10.6,6.7,1.4,8.1,98.1,97.1,81.4,61.9,40.5,90.5,85.2,60.5,37.1,18.6,91.4,96.7,94.3,93.8,77.1,92.9,76.2,90.0,2013
06,Barisal ,10,Barisal,93,Barisal,Barisal,99.0,97.2,92.4,96.3,95.7,94.0,94.0,84.4,78.9,99.0,97.2,92.4,96.3,95.7,95.2,94.0,88.6,81.9,4.9,5.5,8.1,4.8,1.4,6.3,99.0,96.7,90.5,78.1,60.0,89.0,88.1,74.8,51.9,32.4,92.9,95.7,95.2,95.2,83.8,89.0,39.5,89.0,2013
06,Barisal ,10,Barisal,89,Barisal CC,Barisal CC,,,,,,,,,,100.0,96.4,93.5,94.7,94.0,94.9,91.9,81.4,77.9,,,,,,,,,,,,,,,,,,,,,,,,,2013
06,Barisal ,10,Barisal,67,Barisal Division,Barisal Division,99.5,96.5,92.0,95.0,93.3,91.9,92.1,83.2,77.5,99.5,96.5,92.0,95.0,93.3,92.4,92.2,86.3,80.2,4.8,6.6,9.0,4.3,2.6,8.6,98.6,96.5,86.5,68.1,47.8,89.3,85.7,69.4,45.2,24.9,96.3,95.6,94.5,93.9,80.0,90.4,40.9,87.6,2013
09,Bhola ,10,Barisal,22,BCC,BCC,100.0,96.4,93.5,94.7,94.0,94.2,91.2,80.7,77.1,,,,,,,,,,2.9,3.7,7.1,5.2,2.9,11.0,98.6,97.1,88.1,62.4,41.0,93.8,91.4,75.2,45.2,26.2,89.5,98.6,98.1,97.1,90.5,93.8,55.2,92.9,2013
09,Bhola ,10,Barisal,91,Bhola,Bhola,98.6,93.5,92.3,89.2,85.0,86.0,86.6,81.1,76.2,98.6,93.5,92.3,89.2,85.0,86.6,86.6,82.9,77.4,1.2,5.7,7.7,2.2,5.9,13.2,97.6,94.8,91.4,84.8,67.1,90.0,86.7,74.3,51.0,27.6,89.0,89.0,87.1,86.7,56.7,79.5,35.7,75.2,2013
10,Bogra ,50,Rajshahi,91,Bogra,Bogra,100.0,96.1,94.4,95.2,94.1,92.4,91.3,84.7,81.4,100.0,96.1,94.4,95.2,94.1,92.4,91.3,85.3,81.9,1.7,2.8,4.0,2.5,4.3,11.9,98.6,97.6,82.4,58.6,37.1,91.4,89.0,79.5,57.6,35.7,94.3,98.1,96.2,96.2,82.9,89.0,20.5,87.1,2013
19,Comilla ,20,Chittagong,18,CCC,CCC,98.6,92.1,87.1,90.0,87.9,86.7,87.4,77.1,70.2,,,,,,,,,,5.8,8.1,10.2,11.4,3.9,6.3,99.0,98.1,79.0,61.4,37.6,91.0,88.6,71.9,50.0,30.5,,99.0,99.0,99.0,98.6,99.5,37.1,97.1,2013
13,Chandpur ,20,Chittagong,94,Chandpur,Chandpur,99.5,99.5,95.3,98.1,97.5,92.7,92.1,85.7,79.8,99.5,99.5,95.3,98.1,97.5,93.9,92.7,86.9,81.0,4.3,4.9,8.2,4.0,3.8,9.1,98.1,95.7,84.8,65.7,41.0,93.8,90.5,74.3,53.3,30.0,90.0,84.8,81.4,78.1,65.7,67.6,27.1,62.4,2013
70,Chapai Nawabganj ,50,Rajshahi,97,Chapai Nawabganj,Chapai Nawabganj,100.0,91.9,88.5,91.5,90.4,90.7,90.7,89.1,84.8,100.0,91.9,88.5,91.5,90.4,90.7,90.7,92.0,87.8,4.0,4.6,5.4,1.3,3.4,4.8,97.1,96.7,88.1,64.3,42.9,93.3,91.0,75.2,53.8,34.8,91.0,96.7,96.7,96.2,82.4,90.0,25.2,84.8,2013
15,Chittagong ,20,Chittagong,95,Chittagong,Chittagong,100.0,96.7,92.2,96.7,95.6,94.6,94.6,91.2,86.5,100.0,96.7,92.2,96.7,95.6,94.6,94.6,91.7,87.1,4.4,5.6,7.5,3.0,1.4,4.3,99.5,99.0,90.5,77.1,55.2,96.2,95.2,87.1,68.1,42.9,97.6,99.0,99.5,99.0,92.4,99.5,29.5,95.2,2013
15,Chittagong ,20,Chittagong,92,Chittagong CC,Chittagong CC,,,,,,,,,,98.6,92.1,87.1,90.0,87.9,87.4,87.4,82.5,74.8,,,,,,,,,,,,,,,,,,,,,,,,,2013
