DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,DropoutPENTA1-PENTA3_Male23M,DropoutPENTA1-PENTA3_Female23M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Male23M,DropoutPENTA1-Measles_Female23M,DropoutPENTA1-Measles_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,Measles2ndDoseCrude,Measles2ndDose_Children18M,Measles2ndDose_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TetanusAtBirth_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,VitACoverage_Infants6-11M,VitACoverage_Children12-59M,Year
01,Bagerhat ,40,Khulna,94,Bagerhat,Bagerhat,98.2,97.4,97.4,97.1,97.1,91.0,91.0,92.2,88.3,98.2,97.4,97.4,96.8,96.8,90.8,90.8,90.3,86.8,3.1,0.8,1.9,4.9,1.8,3.4,1.4,3.1,4.7,2.6,83.4,76.0,80.4,98.1,97.8,85.3,61.9,36.5,89.1,88.6,87.6,74.9,50.2,29.7,75.7,82.0,2016
03,Bandarban ,20,Chittagong,95,Bandarban,Bandarban,99.0,96.3,96.3,94.8,94.8,87.8,87.8,89.8,83.9,99.0,96.3,96.3,94.8,94.8,87.8,87.8,86.3,80.9,1.4,1.6,1.5,4.3,5.0,4.7,4.3,7.2,8.5,4.8,82.0,71.2,76.7,94.8,92.2,86.1,79.6,65.3,89.2,93.4,92.6,85.0,74.6,61.2,78.4,84.1,2016
04,Barguna ,10,Barisal,93,Barguna,Barguna,99.7,98.8,98.8,98.3,98.3,93.6,93.6,94.9,91.1,99.7,98.8,98.8,97.9,97.9,93.0,93.0,91.0,87.6,0.4,0.0,0.3,2.6,1.4,2.1,2.2,2.9,3.9,2.3,90.5,80.7,86.6,98.8,97.4,88.4,64.4,36.3,80.2,95.4,93.7,74.5,49.2,30.1,92.6,96.8,2016
06,Barisal ,10,Barisal,93,Barisal,Barisal,99.7,99.1,99.1,99.3,99.3,96.0,96.0,97.1,94.6,99.7,99.1,99.1,99.3,99.3,95.5,95.5,93.1,91.0,0.0,0.0,,0.0,0.0,0.0,1.9,2.3,3.3,2.8,98.7,92.1,96.6,100.0,100.0,96.7,79.3,60.0,97.6,96.4,96.4,88.9,75.6,59.8,100.0,100.0,2016
06,Barisal ,10,Barisal,89,Barisal CC,Barisal CC,99.8,98.3,98.3,97.7,97.7,91.3,91.3,90.4,85.4,99.8,98.0,98.0,97.5,97.5,90.9,90.9,87.3,82.3,0.4,2.7,1.4,4.1,6.8,5.3,2.9,4.1,5.7,4.2,88.6,80.0,83.3,99.4,99.4,91.9,74.8,55.2,98.7,98.4,97.9,91.0,60.2,36.7,97.4,93.7,2016
06,Barisal ,10,Barisal,67,Barisal Division,Barisal Division,99.7,99.2,99.2,98.8,98.8,94.0,94.0,94.8,90.7,99.7,98.9,98.9,98.5,98.5,93.5,93.5,91.2,87.5,0.5,0.6,0.5,1.8,1.8,1.8,2.2,3.3,4.7,3.0,93.8,85.7,90.1,98.9,98.3,91.1,72.2,50.4,94.3,94.0,92.9,82.4,62.9,44.5,90.3,93.6,2016
09,Bhola ,10,Barisal,91,Bhola,Bhola,99.8,99.8,99.8,99.8,99.8,94.5,94.5,96.6,91.9,99.8,99.8,99.8,99.8,99.8,94.5,94.5,95.4,91.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.6,5.2,3.3,99.0,91.4,94.3,100.0,100.0,94.1,79.0,56.1,99.6,98.5,98.5,94.8,80.8,65.0,97.7,98.4,2016
10,Bogra ,50,Rajshahi,91,Bogra,Bogra,99.8,98.7,98.7,97.8,97.8,93.6,93.6,93.7,91.3,99.8,98.7,98.7,97.8,97.8,93.6,93.6,89.0,86.5,1.2,1.6,1.4,3.6,3.0,3.3,1.6,2.4,3.8,3.0,83.3,75.4,80.5,100.0,98.2,91.4,75.3,58.0,92.3,96.0,92.8,81.9,60.9,42.7,90.2,92.7,2016
12,Brahmanbaria ,20,Chittagong,96,Brahmanbaria,Brahmanbaria,100.0,98.1,98.1,97.8,97.8,95.1,95.1,96.9,94.1,100.0,98.1,98.1,97.8,97.8,95.1,95.1,94.2,91.5,0.0,0.7,0.3,1.9,1.8,1.9,0.7,1.5,2.4,1.1,96.0,92.6,95.2,99.7,99.1,96.9,85.9,67.9,97.5,94.9,93.6,88.7,80.7,66.4,85.1,87.7,2016
13,Chandpur ,20,Chittagong,94,Chandpur,Chandpur,100.0,100.0,100.0,99.5,99.5,91.8,91.8,97.0,89.8,100.0,99.8,99.8,99.2,99.2,91.0,91.0,92.5,85.8,0.0,0.0,0.0,0.3,1.2,0.8,5.1,6.9,8.3,2.4,94.9,84.8,90.8,99.0,99.0,93.7,79.5,63.6,96.4,94.9,94.1,89.0,75.9,59.2,90.9,91.9,2016
